JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tá mé sásta an cheist a fhreagairt.
JoeMcHugh	Minister of State at the Department of Communications, Energy and Natural Resources (Deputy Joe McHugh)	2002-09-12	None	Tá soláthar de €46.736 milliún ar fáil i 2017 don chlár Gaeilge, Gaeltachta agus oileán. Tá suim reatha de €35.769 milliún san áireamh anseo, maraon le suim €10.967 milliún do chaiteachas caipitil. Bhí ollchaiteachas de €16.355 milliún san iomlán do chlár C go dtí deireadh mhí an Mheithimh 2017. Mar a thuigfidh an coiste, tá réimse leathan oibre agus gníomhaíochtaí idir lámha agam féin agus ag mo chuid oifigigh chun tacú leis an Ghaeilge. Is orainn atá an fhreagracht fhoriomlán as cur i bhfeidhm na Straitéise 20 Bliain don Ghaeilge 2010-2030. Tá sé tábhachtach a aithint go bhfuil an obair agus an infheistíocht atá á déanamh i gcaitheamh an ama i leith an raon leathan scéimeanna, bearta, clár agus tionscnamh atá á mhaoiniú ó rannóg na Gaeltachta de chuid na Roinne lárnach d’fheidhmiú na straitéise 20 bliain. Chuige sin, tá sé i gceist go mbeidh plean gníomhaíochta don tréimhse ó 2017 go 2022, ina mbeidh spriocanna sonracha agus amscálaí ina leith, á chur i dtoll a chéile ag mo Roinn agus á fhoilsiú gan mhoill. Ó cuireadh tús leis an phróiseas pleanála teanga trí bliana ó shin, is ar ullmhúchán pleananna a bhí an próiseas dírithe. Lean an obair seo ar aghaidh i gcaitheamh na bliana anuraidh. Níos túisce i mbliana, fógraíodh go raibh allúntas ar fiú €850,000 in iomlán á chur ar fáil ag mo Roinn chun cabhrú le feidhmiú an phróisis pleanála teanga sa bhliain reatha. Agus tús á chur le feidhmiú na bpleananna teanga sna limistéir Gaeltachta i mbliana, tógadh céim mhór chun tosaigh le feidhmiú an phróisis agus dá réir, le feidhmiú na straitéise. Tá an chéad trí cinn de na pleananna sin seolta agam anois agus beidh allúntas de €100,000 an ceann curtha ar fáil sa chéad bhliain chun tús a chur lena gcur i bhfeidhm.  Is tráthúil go bhfuil tús á chur leis an phróiseas seo comhthreomhar le cur i bhfeidhm an pholasaí don oideachas Gaeltachta ag an Roinn Oideachais agus Scileanna, mar tá an dá bheartas polasaí seo fite fuaite lena chéile. Tabharfaidh an t-allúntas seo deis do na coistí áitiúla oifigigh pleanála teanga a fhostú chun tús a chur le cur i bhfeidhm a gcuid pleananna. Anuas air sin, dár ndóigh, beidh fáil ag na coistí seo sa ghearrthéarma ar na tacaíochtaí éagsúla atá ar fáil faoin réimse leathan scéimeanna atá á riaradh ag mo Roinn agus ag Údarás na Gaeltachta. Caithfear a chur san áireamh anseo nach bhfuil ach trí cinn de phleananna teanga seolta go fóill. De réir mar a thagann tuilleadh pleananna chun cinn, beidh mo Roinn agus an t-údarás in ann anailís a dhéanamh ar na riachtanais comónta atá sonraithe ag na pobail éagsúla ina gcuid pleananna agus scéimeanna an dá eagraíocht a leasú le freastal ar na héilimh sin. Ag baint úsáide as an gcur chuige seo, táim thar a bheith muiníneach go mbeidh an Stát in ann freastal ar an mbealach is cuí agus is éifeachtaí ar riachtanais an phobail taobh istigh de na hacmhainní atá ar fáil.  Is é €6.687 milliún an bhunlíne úr caipitil i mbuiséid 2017 d’Údarás na Gaeltachta, €1 milliún níos airde ná an bunlíne i mbuiséid 2016.Anuas ar sin, tá áthas orm gur éirigh liom maoiniú breise de €1.5 milliún a chur ar fáil do bhuiséad caipitil Údarás na Gaeltachta níos túisce i mbliana, rud a thugann buiséid caipitil na heagraíochta go dtí €8.187 milliún i 2017. Cuirfidh an maoiniú breise seo ar chumas Údarás na Gaeltachta poist a choinneáil ina gcliantchomhlachtaí sa Ghaeltacht agus tuilleadh infheistíochta a mhealladh go ceantair Ghaeltachta. Chuige sin, is í mo thuiscint go bhfuil sí mar aidhm ag an údarás 500 post úr a chruthú sa Ghaeltacht i 2017.  Tá roinnt céimeanna tógtha anseo in Éirinn agus sa Bhruiséil chun tabhairt faoi dheireadh a chur leis an maolú maidir le húsáid na Gaeilge in institiúidí an Aontais Eorpaigh i 2021. Tá thart ar €1 milliún á chur ar fáil i mbliana don earnáil tríú leibhéal chun cúrsaí oiliúna cuí do na poist san Aontas a sholáthar. Tá borradh ag teacht faoi na hiarrachtaí seo faoi láthair agus tá tuilleadh aistritheoirí fostaithe ag na hinstitiúidí Eorpacha i mbliana chun a chur ar a gcumas tuilleadh ábhair a aistriú go Gaeilge. An mhí seo caite, d’eagraigh mo Roinn, i gcomhar le Coimisiún na hEorpa, comhdháil i mBaile Átha Cliath ar mhaithe le gréasáin de shaineolaithe a bhunú in Éirinn chun tacú le haistritheoirí san Eoraip. Leis na forbairtí seo uile, táim lán-mhuiníneach go mbeidh ar ár gcumas deireadh a chur leis an maolú i 2021. Maidir le teagasc na Gaeilge in ollscoileanna thar lear, tá ag éirí go han-mhaith leis an gclár seo agus tá méadú leanúnach tagtha ar na hiarratais faoin scéim ó bhliain go bliain. Mar léiriú ar sin, tá deontais de €1.8 milliún san iomlán ceadaithe don tréimhse 2016-2017 go 2018-2019 le os cionn 40 ollscoil agus coláistí tríú leibhéal timpeall an domhain. Cuireann an scéim seo go mór le scoláireacht na Gaeilge i measc an phobail acadúil idirnáisiúnta agus méadaítear stádas na teanga dá réir. Táim dóchasach go mbeidh ról lárnach agus tábhachtach ag na dreamanna éagsúla sin maidir le bliain na Gaeilge 2018. Tá obair leanúnach ar bun againn chun cuidiú le cur chun cinn na Gaeilge tríd an teicneolaíocht. Tá forbairtí móra déanta agus á ndéanamh ar chorpas na Gaeilge leis an bhfoclóir nua foclóir.ie agus an suíomh téarma.ie. Chomh maith leis sin, tá tacaíocht á tabhairt ag mo Roinn d’Acadamh Ríoga na hÉireann chun foclóir stairiúil na Gaeilge a chur i gcrích. Anuas ar na forbairtí seo go léir, tá an tionscadal taighde abair.ie i gColáiste na Tríonóide ag déanamh tuilleadh forbartha ar shintéiseoir Gaeilge, is é sin, córas inar féidir téacs scríofa a aistriú go caint bheo i gcanúintí éagsúla. Ceadaíodh beart maoinithe de €621,000 chomh maith i mbliana d’Ollscoil Chathair Bhaile Átha Cliath chun taighde tábhachtach eile a dhéanamh maidir leis an Ghaeilge sa ré teicneolaíochta. Chun na deiseanna teicneolaíochta seo ar fad a threisiú san am amach romhainn, tá plean digiteach don Ghaeilge á ullmhú faoi láthair ag an dá ollscoil le tacaíocht na Roinne agus tá súil agam go mbeidh sé réidh le seoladh roimh dheireadh na bliana.  Tar éis athbhreithniú cuimsitheach a dhéanamh ar Bhille na dteangacha oifigiúla (leasú), a dréachtaíodh anuraidh, agus tréimhse comhairliúchán leis na páirtithe leasmhara, foilsíodh ceannteidil úr an Bhille níos túisce i mbliana. Tá an Bille á dhréachtú faoi láthair agus tá na ceannteidil curtha faoi bhráid an Chomhchoiste Gaeilge, Gaeltachta agus Oileáin le scrúdú, mar atá a fhios ag an Chathaoirleach. Beidh an cheist maidir le hearcú daoine le Gaeilge don tseirbhís phoiblí lárnach don reachtaíocht seo. Tá an Foras Teanga ar ceann de na sé chomhlacht forfheidhmithe a bunaíodh faoin Acht um Chomhaontú na Breataine-na hÉireann 1999. D’éirigh liom €750,000 breise a fháil, curtha san áireamh sna Meastacháin Athbhreithnithe do 2017, don Fhoras Teanga. Tá tograí éagsúla ar a gcaithfidh Foras na Gaeilge an t-airgead breise sin ceadaithe agam i mbliana. San áireamh anseo, tá an costas a bhaineann le bogadh na heagraíochta go dtí ceannáras úr ar Shráid Amiens.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Gabhaim buíochas leis an Teachta faoi choinne na ceisteanna. Ar an chéad cheist fadúda pleanáil teanga, mar atá a fhios ag an Teachta, tá comhrá ag dul ar aghaidh idir mo chuid oifigeach, Údarás na Gaeltachta agus na heagraíochtaí ábhartha anois. Bhí cruinniú idir mo chuid oifigeach, oifigigh ó Údarás na Gaeltachta agus dream ó Chois Fharraige an tseachtain seo caite. Tá mé ag fanacht ar thoradh an chomhrá sin. Tá an comhrá ar bun faoi láthair. Tá sé de dhíth. Sílim go bhfuil cúpla deacracht agus fadhb ann. Tá mé ar iarraidh spáis faoi choinne na gcomhráite atá ag dul ar aghaidh maidir leis sin. Maidir leis an cheist faoi choinne deiseanna fostaíochta, tá mé ar an pháirc peile céanna leis an Teachta maidir leis sin. B'fhéidir go mbeidh deiseanna ag daoine ó na ceantair Gaeltachta le hoideachas tríú leibhéal teacht ar ais.Níl an iomarca airgid bhreise ar fáil ach, é sin ráite, bhí suas le €200,000 ar fáil in 2014 agus beidh €2.6 milliún ar fáil an bhliain seo chugainn faoi choinne pleanála teanga. Is tús é sin. Chuala mé an díospóireacht agus na smaointe fadúda acmhainní. Bhí an Cathaoirleach ag caint fadúda na hacmhainní fosta. Níl a fhios agam go mbeadh achan duine ag aontú leis an seanfhocal "tús maith, leath na hoibre". Tá an tús de dhíth. Agus rudaí faoin reachtaíocht ag dul ar aghaidh, tá dualgas againn uilig maidir le pleanáil teanga. Níl a fhios agam cad a tharlóidh maidir leis na hacmhainní amach anseo. Faoi choinne Fhoras na Gaeilge, tá an fhreagracht as plé a dhéanamh ar chomh-mhaoiniú ón Tuaisceart ar Shinn Féin. Tá díomá mhór orm nach bhfuil an Fheidhmeannas ar bun i Stormont sa Tuaisceart. Tá achan duine ar an tuairim chéanna. Táimid dóchasach go mbeadh Feidhmeannas ann amach anseo agus go rachadh gnó an Rialtais ar aghaidh i Stormont. B'fhéidir go mbeadh an Chomhairle Aireachta Thuaidh-Theas ag dul ar aghaidh fosta maidir leis an phlé atá de dhíth. Agus é sin ráite, tá an comhrá ag dul ar aghaidh i gcónaí idir mo chuid oifigeach agus na hoifigigh sa Tuaisceart. Chím teachtaireacht an Teachta fosta. Maidir le maoiniú díreach do na ceanneagrais, rinne an Roinn cinneadh maoiniú a chur ar fáil i leith digitiú An Claidheamh Soluis agus chartlann Chonradh na Gaeilge. Beidh maoiniú ar fáil fadúda sin. Maidir leis an scéim tacaíochta agus an €1.9 milliún, beidh mé sásta dul ar ais chuig an Teachta fadúda an méid atá caite-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tá na figiúirí agamsa. Tá €1.299 milliún caite faoi chlár C3. Faoi choinne na n-oileán, tá €679,000 caite.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tá brón orm, an déarfaidh an Teachta é sin arís?
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Yes.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Bheadh muid dóchasach go mbeadh sé caite faoi dheireadh na bliana.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Dá mbeadh an t-airgead agam, chaithfinn é.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Ní sé ach mí na Samhna go fóill.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Tá cúpla seachtaine agam.
