SeanSherlock	Minister of State at the Department of Jobs, Enterprise and Innovation (Deputy Sean Sherlock)	None	I move amendment No. 54:
In page 15, to delete lines 15 to 23 and substitute the following:"(4) Following a review under subsection (1) -(a ) where the Court is satisfied that to do so would promote harmonious relations between workers and employers and assist in the avoidance of industrial unrest, the Court may recommend that-(i) the joint labour committee is maintained in its current form,(ii) the joint labour committee is amalgamated with another joint labour committee, or(iii) the establishment order pursuant to which the joint labour committee was established is amended,or(b ) where the Court is satisfied that it is no longer appropriate to maintain a joint labour committee the Court may recommend that the joint labour committee is abolished.”.Section 11 inserts a new section 41A, after section 41 of the 1946 Act, to provide that the Labour Court will, following the commencement of this Act and at regular five year intervals thereafter, conduct a review of all establishment orders in respect of existing joint labour committees.  The purpose of this amendment is to provide for a more explicit ordering of the priority ranking of the principles and policies to be taken into account by the Labour Court in carrying out these periodic reviews of a joint labour committee.  In this regard, priority considerations are the "common good" or public interest objectives of establishing harmonious industrial relations between workers and employers and the avoidance of industrial unrest.  As regards the outcome of the review process, the amendment also specifies that the Labour Court may recommend retention of the JLC in its current form as well as recommending in favour of an amendment of the existing establishment order or the amalgamation of the JLC with another JLC or its abolition.
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 55:
In page 15, line 24, to delete "(4) Where the Court" and substitute "(5) Where the Court".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 56:
In page 15, line 25, to delete "subsection (3)" and substitute "subsection (4)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 57:
In page 15, line 27, to delete "(5) As soon as practicable" and substitute "(6) As soon as practicable".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 58:
In page 15, line 28, to delete "subsection (4)" and substitute "subsection (5)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 59:
In page 15, line 30, to delete "subsection (2)" and substitute "subsection (3)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 61:
In page 15, line 33, to delete "(6) Where the Minister" and substitute "(7) Where the Minister".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 62:
In page 15, lines 33 and 34, to delete "subsection (2)" and substitute "subsection (3)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 64:
In page 15, line 43, to delete "(7) An order under subsection (5)" and substitute "(8) An order under subsection (6)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 65:
In page 16, line 1, to delete "(8) Every order under subsection (5)" and substitute "(9) Every order under subsection (6)".
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 66:
In page 16, to delete lines 12 to 15 and substitute the following:"42A.-(1) Subject to this section and section 42B, a joint labour committee may, where it is satisfied that such proposals would promote harmonious relations between workers and employers and avoid industrial unrest, submit proposals for an employment regulation order to the Court.".Section 12 sets out, inter alia, the principles and policies that should guide the formulation of joint labour committees of proposals on the fixing of remuneration and conditions of employment and the regulation of the joint labour committee decision-making process.  The purpose of this amendment is to provide for a more explicit ordering of the priority ranking of the principles and policies to be taken into account by a joint labour committee in considering proposals for the making or variation of an employment regulation order.  In this regard, the priority considerations that should inform the deliberations of a JLC in deciding whether to propose an ERO are the public interest objectives of establishing harmonious industrial relations between workers and employers and the avoidance of industrial unrest.
SeanSherlock	Deputy Sean Sherlock	None	Section 12 provides for a number of amendments that are required to the legislative provisions relating to the operation of joint labour committees.  It accordingly inserts into the 1946 Act a new section 42A, which includes at section 42A(4) a provision that the JLC may make proposals to fix a minimum hourly rate of remuneration and not more than two higher hourly rates of remuneration based on length of service in the sector or enterprise concerned for all or any such workers.This amendment proposes to provide that skill levels in addition to length of service be also taken into account in setting pay rates.  A Government amendment to section 12, amendment No. 68, provides that proposals for EROs may provide for a minimum hourly rate of remuneration and not more than two higher hourly rates of remuneration based on length of service in the sector or enterprise concerned, as well as the standards and skills recognised for the sector concerned.
SeanSherlock	Deputy Sean Sherlock	None	I move amendment No. 68:
In page 16, line 39, after "concerned," to insert the following:"or the attainment of recognised standards or skills in the sector concerned,".
