#CatherineConnolly	unknown-#CatherineConnolly-party	unknown-#CatherineConnolly-dob	unknown-#CatherineConnolly-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	0	Fáiltím roimh chách agus tá an cruinniú tosaithe anois. Tá leithscéal faighte againn ón Teachta O'Dowd agus táim buíoch de as. Táimid anseo inniu chun plé a dhéanamh ar ábhar na gcuspóirí agus na mbeart atá á gcur i gcrích ag an tSeirbhís um Cheapacháin Phoiblí an Ghaeilge agus seirbhísí dátheangacha a chur ar fáil. Cuirim fáilte faoi leith roimh: an tUasal Shirley Comerford, príomhoifigeach feidhmiúcháin; an tUasal Margaret McCabe, ceannasaí earcaíochta; an tUasal Aoife Lyons, síceolaí sinsearach i seirbhísí measúnaithe; an tUasal Liam Sinclair, earcaíocht dlí; agus an tUasal Marese Phelan, earcaíocht mar ionadaithe ón tSeirbhís um Cheapacháin Phoiblí. Cuirim fáilte freisin roimh an Uasal Nicholas Meehan, príomhoifigeach cúnta mar ionadaí ón Roinn Caiteachais Phoiblí agus Athchóirithe. I dtús báire, roimh aon chur i láthair, ba mhaith liom rud amháin a rá faoin Acht agus tá dualgas orm é a léamh amach. Ba mhaith liom a chur ar aird na bhfinnéithe go bhfuil de bhua alt 17(2)(l) den Acht um Chlúmhilleadh 2009 finnéithe faoi chosaint ag lánphribhléid maidir leis an bhfianaise a thabharfaidh siad don choiste seo. Má ordaíonn an coiste dóibh, ámh, éirí as fianaise a thabhairt i leith ní áirithe agus má leanann siad dá tabhairt amhlaidh, ní bheidh siad i dteideal dá éis sin ach pribhléid cháilithe i leith a gcuid fianaise. Ordaítear dóibh gan fianaise a thabhairt ach amháin fianaise a bhaineann le hábhar na n-imeachtaí seo agus fiafraítear díobh cleachtadh parlaiminte a urramú nár chóir, más féidir, daoine ná eintiteas a cháineadh ná líomhaintí a dhéanamh ina n-aghaidh, ina n-ainm, ina hainm nó ina ainm nó ar shlí a bhféadfaí iad a aithint. Ba mhaith liom na finnéithe a chur ar an eolas freisin go ndéanfar na ráitis tionscnaimh seo a gcuirfear faoi bhráid an choiste a fhoilsiú ar shuíomh gréasáin an choiste tar éis an chruinnithe seo. Meabhraítear do chomhaltaí an cleachtadh parlaiminte atá ann le fada nár chóir dóibh tuairimí a thabhairt maidir le duine atá taobh amuigh de na Tithe nó maidir le hoifigeach ina ainm, ina hainm, nó ar shlí a bhféadfaí iad a aithint.Tá sé deacair orm é sin a léamh amach gach uile sheachtain ach gabh mo leithscéal mar go bhfuil orm é sin a dhéanamh. Táimid ag tnúth leis an gcur i láthair ónár n-aíonna mar is í sin an rannóg nó an Roinn is tábhachtaí ó thaobh na Gaeilge de. Is í an tUasal Comerford a bheidh ag labhairt linn anois.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	1	I am here today as requested by the committee to address the response provided previously by the Public Appointments Service, PAS, to the questionnaire submitted by the committee and the objectives and actions that are being implemented by PAS in the provision of Irish language and bilingual services. I can confirm that the Public Appointments Service continues to review the level of demand for the provision of our services through the Irish language by monitoring the number of queries, requests and applications received through Irish. We are aware, however, that there is likely to be a latent demand for services across the public service to be delivered through Irish owing to the fact that, due to previous poor experiences, people engage with the service through English. This is understandably frustrating for the Irish language speakers, and PAS has focused, therefore, on improving and promoting the services we offer to Irish language speakers. PAS is the recruitment and resourcing service provider for client organisations in the civil and public service. It is responsible for the sourcing, assessment and delivery of quality candidates to those clients. We run a wide variety and range of openly advertised and interdepartmental promotion competitions within the Civil Service. We also recruit the most senior levels in local authorities, trainee gardaí, and a range of management, executive and specialist roles across the Civil Service and public service. PAS also has a key role in the identification of suitable members for appointment to State boards. PAS has a good track record of providing services through Irish, and we have prepared a number of Irish language schemes aimed at improving the delivery of services through Irish for our various customer groups. We provide services through Irish to Irish speakers who make contact with our office. The office has arrangements in place to put members of the public in touch with minimum delay with an appropriate member of staff who can deal with their business, whether in the English or Irish language. Over recent years our website, publicjobs.ie, has been the main channel for managing and delivering our recruitment services and businesses. There is a tab at the top of our website whereby candidates may choose to have the content displayed in Irish or English. The Irish version of this website is a dynamic rather than a static one, with new jobs advertised in both the English and Irish languages. The candidate registration facility is in both official languages and the job title, job description and application form are available in both official languages during the application period. Information booklets are available in both official languages for general service grades, posts in Gaeltacht communities, posts where the Irish language is a particular requirement, and posts under the remit of the Department of Education and Skills. Of the 518,905 members of the public registered with publicjobs.ie, 4,131 have indicated a preference for doing their business with PAS through Irish. All of the messages issued to these users are sent in the official language of their choice. PAS is also responsible for the recruitment and selection of candidates with proficiency in Irish to meet the needs of clients. A Government decision of 30 October 2013 approved the introduction of measures to support Irish language proficiency in the Civil Service and replace the bonus marking policy with measures that seek to increase the cohort of functional bilinguals in the Civil Service. PAS initially introduced Irish language proficiency as a separate stream for general service recruitment competitions. More recently, we run stand-alone competitions to establish panels for entry grades. In these cases, all of the selection processes are conducted through Irish. These include clerical officer competitions in 2018, and we are advertising a nationwide executive officer, EO, competition this weekend as well as putting plans in place to advertise for the higher executive officer, HEO, competition in 2020 for candidates with fluency in Irish. We are aware that the Department of Culture, Heritage and the Gaeltacht has put measures in place to promote the Irish language as a career option in the public service. This includes the Conradh na Gaeilge seó bóthair to target second and third level students and those attending Gaeltacht summer colleges. PAS sent a team to the recent ESB Creative Tech Fest in the National Conference Centre, which was attended by many Irish-speaking second level students. We hope that these initiatives will increase the numbers of suitably qualified candidates applying for Irish language roles. Overall, 64 general grade assignments were made to Irish language posts since 2016, ranging from 35 clerical officers to two assistant principal officers. Clerical officer panels for 15 counties were put in place through the 2018 competition. Fifteen candidates were assigned through this process and all the panels were exhausted. The overall number who applied for Irish language clerical officer was 259 compared with 14,013 for the general clerical officer competition. These numbers demonstrate the challenges we are facing in attracting Irish-speaking candidates through the public service. PAS continues to conduct Irish language proficiency tests for roles that it recruits for on behalf of the local authorities. Those who demonstrate proficiency in both official languages are awarded an additional 6% of the total marks available at interview for such proficiency. We also recruit Garda trainees and have run six recruitment campaigns since 2013. Each of these has had an Irish language stream. Eighty-three Garda trainee candidates qualified through these streams since 2013. We note a significant drop between the number of applications received for the Irish language stream and the numbers completing the tests. It has been our experience across competitions that many candidates applied for the Irish language stream, but when contacted, they did not have the fluency or wish to proceed through that stream. The newly-introduced model of running competitions specifically for Irish language, such as the HEO and EO, may improve this issue for us. PAS also recruits for posts across the public service where the ability to communicate effectively in Irish is an essential requirement, including a range of primary district inspector and translator roles. We also recruit for posts across the public service where a good and reasonable knowledge of Irish is an essential requirement. Since 2013, PAS has recruited for 11 different examination assessment manager roles in the State Examinations Commission. PAS uses both internal and external resources to support the provision of service through Irish, including the development and maintenance of a list of potential selection board members with the ability and proficiency to carry out selection processes through the Irish language. In addition to the website, marketing materials such as leaflets and banners are provided in both the English and Irish languages at careers fairs, conferences and events. We also advertise in Seachtain, Tuairisc.ie, PEIG, LinkedIn, and Facebook to target Gaeltacht areas specifically. All staff are provided with information on the Irish language services provided by PAS and information on the contents of the Irish language scheme. To promote Irish informally with staff, PAS has some common phrases in Irish and their equivalent in English on the office’s intranet, and these are updated regularly. We also provide Irish language training for staff and highlight further opportunities for training and qualifications available to staff interested in developing their skills further so that they are confident in providing services through Irish. Three staff have completed such training in the past two years and six staff have recently commenced this training. Given the relative size of our organisation, this is very encouraging. PAS has had a translator on staff since 2002 and is currently filling the vacancy arising from the retirement of our translator earlier this year. Two clerical officers were also sourced from the Irish panel in 2017 and work in areas of recruitment that have the highest demand for services through Irish. In addition to the translator, PAS has seven Irish speakers who provide services to the public through Irish. It is expected that the six staff currently undergoing Irish language training and the newly recruited translator will also provide such services from 2020. All of our publications and general support material for candidates and the general public are available in both official languages, for example, our customer charter and annual report, etc. We are also committed to supporting Irish candidates applying for roles in the EU institutions. In co-operation with the Department of Culture, Heritage and the Gaeltacht and the Department of Foreign Affairs, we provided significant support to Irish candidates applying for the roles of Irish linguistic assistant and Irish translator. As a result, nine candidates were successful in the most recent linguistic assistant competition and 15 were successful in the translator competition. PAS is aware of the Official Languages (Amendment) Bill and the likely changes that will arise through this legislation.We welcome the opportunity to co-operate with the Department of Culture, Heritage and the Gaeltacht in the implementation of the provisions of this Bill. We also look forward to sharing our knowledge, expertise and experience in the area of recruitment and to engaging with other bodies to discuss and develop our thinking in the area of promoting the use of Irish in both the Public Appointments Service itself and the public service generally through our recruitment processes.
#CatherineConnolly	unknown-#CatherineConnolly-party	unknown-#CatherineConnolly-dob	unknown-#CatherineConnolly-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	2	Gabhaim buíochas leis an Uasal Comerford. Tá sé beagáinín deacair an óráid a chloisteáil i mBéarla agus ansin é a aistriú. Leanfaimid le ceisteanna.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	3	Tá roinnt ceisteanna agam. Tá súil agam go bhfuil siad simplí go leor fiú gur obair dheacair í an earcaíocht. Tá a fhios agam óna bheith ar chúpla painéal thar na blianta go mbíonn méid áirithe marcanna tugtha le haghaidh scileanna difriúla. An míneoidh an tUasal Comerford dúinn an tslí ina dtugtar marcanna sa phróiseas earcaíochta? Cé mhéad a thugtar le haghaidh scileanna, experience agus rudaí eile? An bhfuil méid áirithe tugtha don Ghaeilge sa chóras marcála? Cloisim an méid atá á rá ag an Uasal Comerford maidir le daoine atá ag dul trí chúrsaí oiliúna Gaeilge. Cé mhéad atá ar an bhfoireann san iomlán? Tá sé deacair a thomhais conas mar atá ag éirí leis an tseirbhís. Tá sé go maith go bhfuil baill fhoirne ag foghlaim na scileanna nach bhfuil acu. Ceann de na róil atá againn i gcoitinne, má chreidimid gurb í an Ghaeilge an teanga náisiúnta, ná a dhéanamh cinnte go bhfuil an Státchóras ag léiriú meas ar an teanga agus, dá réir, go bhfuil sé ag cur gach seirbhís gur féidir leis ar fáil as Gaeilge. Chun é sin a dhéanamh, caithfimid an líon is mó státseirbhíseach le Gaeilge a fháil gur féidir linn. Conas is féidir linn bogadh i dtreo na céime sin go tapa? Tá sé ag tarlú ach tá sé ag tarlú go mall. An bhfuil gá ann céatadán níos mó ná mar a bhfuil daoine ag caint faoi a chur i leataobh? An gá don státchóras i gcoitinne meas a léiriú don Ghaeilge arís? Tá sampla agam. Sna 1950í, agus b'fhéidir roimhe sin, sula raibh mise timpeall, nuair a bhí daoine ag cur iarratais isteach ar phoist sa Státchóras, go minic chuaigh siad chuig múinteoir nó a leithéid chun an t-iarratas a scríobh i nGaeilge mar síleadh gur thug sé sin buntáiste dóibh. Síleadh go mbeadh deis níos fearr ag an iarratasóir post a fháil toisc go raibh an litir as Gaeilge. Anois cuireann roinnt daoine le Gaeilge isteach ar phoist sa Státseirbhís i mBéarla. Ní dhéanann siad iarratas trí Ghaeilge toisc go síleann siad go gcuirfidh a n-iarratais ar leataobh nó go roghnófar iad do phost oifigeach Gaeilge nó oifigeach cléireachas le Gaeilge amháin. B'fhéidir nár mhaith leo bheith ag obair ar chúrsaí Gaeilge amháin ná go mbeadh a duties go hiomlán trí Ghaeilge. Níor mhaith leo a bheith the token Gaeilgeoir. Conas is féidir linn an meon sin sa phobal i gcoitinne a athrú? Aithním an méid atá ag tarlú. B'fhéidir go mbeidh an tUasal Comerford in ann na ceisteanna sin a fhreagairt dom.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	4	I will take the question on training first because it is fairly straightforward to answer. We currently have six people in training and we have already trained three. By the end of it, when these people are trained, we should have 15 people on staff who can provide services. The Deputy's other question related to the applicant pool and how we attract Irish speakers. A lot of work is being done with the Department of Culture, Heritage and the Gaeltacht with regard to selling careers in the public service to Irish speakers. I understand that there has been an increase resulting from work on CAO points with regard to the Irish language. The Department is also sponsoring things like masters level qualifications. These are also funded by a centre of excellence for EU careers. There are many interventions at various stages in second and third level institutions to sell the public service as an attractive career and, as the Deputy has mentioned, to increase the pool of applicants who speak Irish. As I said in my opening statement, the numbers are very stark. Almost 519,000 applicants have registered on publicjobs.ie, of which more than 4,000 have indicated that they want to conduct their business with us through Irish. It is quite a small pool. We are aware that there is likely to be pent-up demand. It is a matter of participating and partnering with Departments when they are rolling out initiatives, particularly the Department of Culture, Heritage and the Gaeltacht, for obvious reasons. We are quite dynamic in making sure that, when we are selling roles on publicjobs.ie, our services are provided through Irish and that it is as easy as possible for Irish speakers to conduct their business with us through Irish. We welcome such communication. We go to great lengths to make sure that we do that. Promoting that is very important. On the Deputy's earlier point about panels where a person must specify a preference for English or Irish and people opting for the English stream, we will find out over the next six months or so whether having specific Irish-only competitions will increase the applicant pool. These are a number of things we are thinking about with regard to increasing the candidate pool and promoting engagement with the Public Appointments Service through Irish.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	5	Ba í an cheist a chuir mé faoin bhfoireann ná cé mhéad baill foirne atá ag an tseirbhís in iomlán?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	6	We have 200 staff.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	7	Go maith. Dá mbeinn ag cur isteach ar phost atá fógartha ar suíomh leis an seoladh www.publicjobs.ie, cheapfainn láithreach go bhfuil an Béarla i gceist. Tuigim nach bhfuil ar dhuine ach cnaipe a bhrú agus go bhfuil gach rud éasca ach is i mBéarla an chéad rud a fheictear. Níl a fhios agam conas gur féidir é seo a dhéanamh ar bhealach difriúil. B'fhéidir go mbeifear in ann an leathanach a roinnt ina dhá leath. Níl a fhios agam. Tá rud eile i gceist. Níl an locht ar an tseirbhís ach ar an gcóras oideachais agus, b'fhéidir, orainn féin ach nuair a bhíonn ar dhaoine foirm a líonadh, stopann siad nuair atá sé le líonadh i nGaeilge. An bhfeiceann an tUasal Comerford daoine ag teacht isteach ar an suíomh Gaeilge ach ag athrú go dtí an leagan Béarla nuair a fheiceann siad na ceisteanna? Más fíor sin, tá fadhb leis an bhfoirm nó leis an gcóras oideachais. Tá eagla ar dhaoine foirmeacha a líonadh i nGaeilge. Ní chreidim go bhfuil an figiúr sin ó thaobh daoine a bhfuil sé ar a gcumas cur isteach ar phoist le Gaeilge fíor. Ceapaim go bhfuil eagla nó drogall orthu roimh fhoirmeacha Gaeilge a líonadh.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	8	With regard to the Deputy's point, it is not necessarily the case that those 4,000 are the only people with sufficient proficiency in Irish to conduct their day-to-day work through the language or to apply for a role.These are the people who are interested in applying for roles in the public service. I can speak about an example of what we have seen in this regard. In the Garda trainee recruitment campaigns, which we have been running annually for the past six years, one of the requirements is that candidates have proven proficiency in two languages, one of which must be either English or Irish. In cases where the candidates do not meet this requirement, the regulation allows us to undertake assessments that prove their competency in the Irish language. We have designed tests to ensure that the candidates' language proficiency is at the appropriate level. At the time of application, candidates have two options. They can apply for the general stream, the Irish language stream, or both. They are then permitted to sit stage 1, the online tests, and stage 2, and their scores at these stages are used for both streams. If they are successful at these stages, they are then called forward to stage 3. This consists of a competency-based interview in each language. Candidates then have the choice to proceed with one or both streams. If they are successful at interview, they are then forwarded to Garda headquarters for further processing. The statistics for these competitions, which the members will have seen in my submission, show the number of applicants for the Irish language stream of the Garda competition who drop out between submitting an application and completing the tests. It has been our experience that many candidates tick the box to indicate they wish to apply for the Irish language stream, but when we make contact with them, they do not have fluency or do not wish to proceed with that stream of the competition. This problem is not unique to Irish language campaigns. We have experience of candidates ticking boxes to say that they meet other criteria only for us to realise that they do not as we move through the processes. That is what we are trying to do with the model of running competitions specifically for Irish-speaking candidates. This will allow us to see whether there is a correlation between dropout rates and application rates and how effective our awareness campaigns and advertising have been. We may then be able to draw some conclusions from our findings.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-11-19 00:00:00	An Ghaeilge agus Seirbhísí Dátheangacha: An tSeirbhís um Cheapacháin Phoiblí	9	I dtaca leis sin, molaim don Seirbhís um Cheapacháin Phoiblí ceist a chur ar siúd a thit amach as próiseas earcaíochta an Gharda Síochána. An raibh eagla orthu go mbeidís gafa mar gharda le Gaeilge sa Ghaeltacht dá leanfaidís leis an bpróiseas, fiú nach raibh siad ag lorg post mar sin? Ar cheap siad go mbeidís pigeonholed, mar a deirtear as Béarla? Bíonn eagla ar dhaoine atá ag lorg post nuair atá Gaeilge acu. Tá mo bhean chéile, mar shampla, ag obair leis An Post. Nuair a thagann clúdach litreach isteach as Gaeilge, deirtear, "There is one of yours; translate that for me", léi. Tarlaíonn sé sin. Bíonn eagla ar a lán de na Gaeilgeoirí a bhfuil aithne agam orthu go dtarlóidh an rud céanna leo so ní luann siad go bhfuil Gaeilge acu. Deir daoine go bhfuil spéis acu a bheith ar an liosta Gaeilge nó agallamh a dhéanamh trí Ghaeilge, ach ansin imíonn siad ón sruth sin.
