#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	0	Apologies have been received from Deputies Canney and Doherty. Before we begin I remind all of those in attendance to ensure their mobile phones are on silent mode or switched off. From the Irish Fiscal Advisory Council I welcome Mr. Sebastian Barnes, Dr. Martina Lawless, Ms Dawn Holland, Professor Michael McMahon and Dr. Eddie Casey. I thank them for making themselves available to the committee. All witnesses are reminded of the long-standing parliamentary practice that they should not criticise or make charges against any person or entity by name or in such a way as to make him, her or it identifiable or otherwise engage in speech that might be regarded as damaging to the good name of the person or entity. Therefore, if their statements are potentially defamatory in relation to an identifiable person or entity they will be directed to discontinue their remarks. It is imperative that they comply with any such direction. For witnesses and members attending remotely, there are some limitations to parliamentary privilege and as such they may not benefit from the same level of immunity from legal proceedings as a witness who is physically present. Witnesses participating in this committee session from a jurisdiction outside the State are advised they should also be mindful of their domestic law and how it may apply to the evidence they give. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside of the Houses or an official either by name or in such a way as to make him or her identifiable. I remind members the meeting is limited to two hours due to the Covid-19 guidelines. This is to ensure the safety of members, witnesses and secretarial staff. We have agreed speaking times and slots and I ask members to remain within these agreed times. I suspect we will have some latitude towards the end if anyone wants to come in for a second round. I also remind members that other members are due to attend later and if, when vacating their seats, they use the wipes available to wipe their area, it will allow the next set of members to arrive and take their seats in a safe way. I invite Mr. Barnes to make his opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	1	I am sorry but I do not know whether the committee members can hear us.
#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	2	We can, yes.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	3	We cannot hear, unfortunately. If committee members could confirm whether they can hear us it would be very helpful.
#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	4	Yes, we can hear Mr. Barnes.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	5	We can hear the Chairman now. This is a perfect situation for a dialogue. As always, we thank the Chair and members of the committee for inviting us. Joining me remotely are council members Dr. Martina Lawless, Professor Michael McMahon and Ms Dawn Holland, as well as our chief economist and head of secretariat, Dr. Eddie Casey. We hugely value our engagement with the Oireachtas and see these meetings as an important part of our work. As committee members knows, the Irish Fiscal Advisory Council is an independent body established under the Fiscal Responsibility Act 2012. Its mandate is to endorse and assess the official macroeconomic forecast, assess the budgetary projections, assess compliance with the fiscal rules and assess the fiscal stance. This focuses on the overall fiscal stance rather than on individual tax measures or spending items and priorities. The council's fiscal assessment report was published last week and assesses budget 2020. In terms of the economic outlook, Covid-19 continues to have a major impact on the Irish economy. The budget projections imply a 6% decline in real modified gross national income, GNI*, this year, followed by a muted 2% recovery in 2021.November’s Covid-adjusted unemployment rate remains high, at 17.4% for those aged between 25 and 74. However, the outlook has improved since the spring. The domestic economy recovered strongly in the third quarter. Consumption has rebounded and multinational enterprises have supported activity. For budget 2021, the Government assumed that a vaccine would not be widely available until at least 2022, and that trade between the UK and the EU would be based on a hard Brexit. This was prudent, given the uncertainties and risks involved. However, it did not factor in a tightening of the Covid restrictions, as we saw in October. The budget forecasts cover just one year ahead, compared with the normal five-year horizon. This gives an extremely narrow picture as to how today’s policies might impact on the economy and on public finances. While medium-term projections are uncertain, they help to promote medium-term oriented fiscal policy. A return to five-year forecasting is essential for next April’s stability programme. In our report, we developed three scenarios to 2025 to help frame some of the medium-term challenges that Ireland faces. The extended budget 2021
projections would see the economy recover to pre-crisis levels of activity by the end of 2022. A milder scenario, with an effective vaccine next summer, and perhaps we have got closer to that, and an EU-UK free-trade agreement, could see the economy recover to pre-crisis levels somewhat earlier in 2022. By contrast, a repeat waves scenario, with further level 5 restrictions necessary in 2021 and 2022, could see the recovery delayed until well into 2023. The outlook remains highly uncertain and the impacts of the crisis might be felt for a very long time. Sectors such as retail, hospitality, transport and the arts are especially vulnerable to the pandemic. Counties more reliant on tourism and hospitality have also been worst affected, especially in the western and Border regions. The impact of Brexit also is still unclear and could be much different from what is assumed. Ireland is also exposed to international tax policy changes. Turning to the public finances, Covid-19 has led to massive Government spending on job supports, health responses and measures to stimulate demand. Tax revenues have fallen sharply in some areas, notably VAT. Yet corporation tax and income tax have fared better than expected. A very large deficit close to €20 billion, or approximately 10% of GNI*, is likely both this year and next year. This will lead to a sharp rise in the debt-to-GNI* ratio, which was already at high levels pre-crisis - the sixth highest in the OECD at the time. The council assesses that the Government’s decision to continue to borrow to support households and businesses through the Covid-19 crisis and to provide stimulus is appropriate, including up to €12 billion of supports in temporary stimulus for 2021. These measures should help to lessen the lasting damage of the economic crisis, and ultimately lead to a more sustainable path for Government debt. The council welcomes the use of contingencies in budget 2021
to cope with any additional costs of Covid-19 and Brexit and the use of the recovery fund, which has not been fully allocated at this point. Temporary and targeted supports should fall out of spending as the need for emergency measures diminishes and as the economy recovers, although there is some risk that some temporary spending may become permanent. Budget 2021
also includes substantial, permanent increases in Government spending of at least €5.4 billion, however. Rather than being temporary and targeted, these will remain after the pandemic has passed. They are surprisingly large in the context of past budgets. Since 2015, budgets have included packages closer to an average of €3.5 billion a year. The permanent increases could even be as high as €8.5 billion as it is not possible to ascertain the nature of some of the increases in non-Exchequer elements of the public finances. This reflects ongoing transparency problems in areas outside of the Exchequer that have traditionally not been the focus of the Department in budget discussions. The council assesses that permanent increases in spending without identifying sustainable funding is not conducive to prudent budgetary management. To be clear, the council is not opposed to increased spending itself, and the debt-financed stimulus at the moment is appropriate. However, there is no sense from the budget of how the lasting increases will be financed sustainably over the medium term. The programme for Government rules out tax increases and spending reductions over large parts of the tax base and existing spending. The risk is that this will tend to lead to larger deficits and leave debt on a riskier path. Looking ahead, the council’s simulations suggest that Ireland’s budget balance by 2025 will be in deficit of between 2% and 3% of GNI* in the extended budget scenario. Assuming interest rates remain reasonably favourable, debt ratios, although high, should fall over the medium term except in a repeated wave scenario. The €5.4 billion of core spending increases planned for 2021 will slow the pace of debt reduction. They will add to the deficit even by 2025 and they will contribute to debt being higher than it would have been otherwise. The Government faces a number of significant challenges once the economy is on a path to recovery. Fiscal adjustment may be needed to put debt on a safer path and there are long-standing pressures on the public finances. These include Ireland’s rapidly ageing population, which is set to add approximately €850 million a year to Government spending to 2025, measures to address climate change, reducing the over-reliance on corporation tax, which now amounts to €1 in €5 of Exchequer revenue, and fulfilling ambitions to upgrade the public services. The Government must use its medium-term strategy in April 2021 to deliver credible plans. This should include five-year forecasts; details on non-Exchequer areas; plans for sustainably financing the large increases in permanent spending; proper costing of major reforms such as Sláintecare; and an explanation of how budgetary plans would change if revenues fall short. Three reforms would also help: debt targets set in GNI* terms; tools to save temporary receipts such as unexpected corporation tax; and setting sustainable growth limits for spending. I thank the members and we look forward, as always, to their questions.
#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	6	I thank Mr. Barnes. I will begin our first round of questions with the primary speakers from each party who have nine minutes each for answers and questions. I call Deputy O'Donnell.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	7	I welcome Mr. Barnes and his colleagues and thank them for the great work they do in the Irish Fiscal Advisory Council. I have a couple of comments to make on Mr. Barnes's statement. We are in the eye of the storm in terms of Brexit. Discussions are ongoing between the EU, with Ireland being central to that, and the UK. In his statement, Mr. Barnes stated: "The impact of Brexit also [though assumed disorderly for the budget] is still unclear and could be much different from what is assumed". What is his overview of the current Brexit discussions, the risks for Ireland as a small, open economy and the challenges we face?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	8	As Dr. Martina Lawless is our Brexit expert, I think it would be unfair of me not to allow her to answer that question. I am sure she will do much better than-----
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	9	Fair enough. We will defer to Dr. Lawless's expertise.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	10	I thank Deputy O'Donnell for the question. The assumption that went into the budget, and which we thought was appropriate given the risks involved, was that there would be a hard Brexit, one without a free trade agreement. The work we have done at the council, and informed by the work with the Department of Finance and the Economic and Social Research Institute, ESRI, is that even a free trade agreement would probably reduce long-term Irish GDP by approximately 3%. A disorderly Brexit would increase that and bring it to almost double and there would be many differences across sectors in particular that we would be concerned about. The agri-food industry and the domestic SME sector would be particularly exposed, both because they trade more with the UK than the larger multinationals, which make up a lot of our total exports, and because they often export products such as agricultural products or food products, which would attract the highest tariffs under either the EU's tariff regime for imports or the UK's universal tariff, which it would apply to Irish exports going there.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	11	In the time I have-----
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	12	As time grows shorter in terms of the negotiations, there is also less time for firms to prepare in terms of documentation and setting out tariffs and more risk that there are less customs-----
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	13	Can Dr. Lawless hear me?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	14	I am sorry. Yes.
