#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	0	When I announced last December that the Government had agreed to increase the price of the—
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	1	On a point of order, it is regrettable that the Joint Committee on Communications, Marine and Natural Resources is meeting at this moment.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	2	That is not a point of order.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	3	Although my time in this House has been short, I have not seen a precedent for this. The Minister for Communications, Marine and Natural Resources is here and we have an opportunity to question him, yet a committee meeting on a similar subject was organised for the same time.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	4	That is not a point of order and you have made your point.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	5	I would like this to be taken up with the relevant committee.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	6	Take it up with the committee.
#JoeHiggins	unknown-#JoeHiggins-party	unknown-#JoeHiggins-dob	unknown-#JoeHiggins-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	7	I have a genuine point of order. On my order paper for Wednesday 29 January, there is no facility to put questions to the Taoiseach. Why is that?
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	8	There will be questions to the Taoiseach. Leader's questions come after questions to the Minister for Communications, Marine and Natural Resources—
#JoeHiggins	unknown-#JoeHiggins-party	unknown-#JoeHiggins-dob	unknown-#JoeHiggins-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	9	I understand that a Cheann Comhairle.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	10	Taoiseach's questions will follow leaders' questions.
#JoeHiggins	unknown-#JoeHiggins-party	unknown-#JoeHiggins-dob	unknown-#JoeHiggins-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	11	Thank you.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	12	I understand that Question Time on a Wednesday at 2.30 p.m. starts with a Minister. The Taoiseach generally takes his questions on Wednesday mornings.
#JoeHiggins	unknown-#JoeHiggins-party	unknown-#JoeHiggins-dob	unknown-#JoeHiggins-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	13	So there will be an opportunity to have normal Taoiseach's questions?
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	14	Normal Taoiseach's questions will be at approximately 4.05 p.m.
