#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	0	I propose to take Questions Nos. 1 to 3, inclusive, together.My Department was represented on the national emergency response co-ordination committees, established each time on an ad
hoc  basis, with regard to the two severe weather situations of recent months.  The committees were chaired by the Department of the Environment, Heritage and Local Government as the lead Department.  The committee responding to the flooding crisis included a principal officer from my Department and members of the Government Information Service.  The committee responding to the snow and sustained freezing conditions included these officers and an assistant secretary from my Department.  I am satisfied with the role they played in both situations.My Department is specifically nominated in the framework for major emergency response with regard to the co-ordination of information for communication to and through the media.  This role was managed by the Government Information Service, which among other activities organised daily briefings for journalists with the relevant Ministers.  I am glad to take this opportunity to express once again my and the Government's appreciation of the work of local authorities, the Garda Síochána, the Health Service Executive, the Defence Forces, Civil Defence and other statutory bodies, as well as Departments, in responding to the two severe weather events.  I am also glad to recognise the very valuable contribution made by voluntary organisations and individuals in providing assistance to their fellow citizens during those events.
#LizMcManus	unknown-#LizMcManus-party	unknown-#LizMcManus-dob	unknown-#LizMcManus-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	1	While I thank the Taoiseach for that reply, I am concerned it shows a disconnect between his perception of the experience Ireland underwent in the period around Christmas and the reality.  Is the Taoiseach seriously suggesting the response was satisfactory and that the damage that has been done does not need further investment?  What are the lessons that may now be learned from what was, generally speaking, an issue of a loss of confidence among the public that the Government cared?  It did not help that the Minister was in another country where there was not such a crisis.In terms of the lessons learned, does the Taoiseach accept we cannot have a repeat of this in the future?  For example, what is he doing to ensure we have adequate supplies of sand and grit?  What discussions have been held with the committee and the local authorities to ensure supplies are available, should there be a recurrence of such severe weather?  Who convenes this committee?  Why was there such an inordinate delay in calling the first meeting of that committee when it was clear to people on the ground, who were experiencing very extreme problems as a result of the weather, that an exceptional response was required from a Government that did not seem to care?
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	2	I do not accept that.  Flooding arose from exceptional rainfall in a short period following very heavy rainfall throughout the year.  Local authorities responded to the emerging position using the co-ordination and inter-agency arrangements set out in the framework for emergency management.  As I saw for myself, there was excellent co-operation between local authorities, the Health Service Executive, the Garda Síochána and other statutory agencies and voluntary bodies.The Minister for the Environment, Heritage and Local Government has already pointed out to the Joint Committee on the Environment, Heritage and Local Government that his Department was aware of difficulties in areas of County Cork following contact on Thursday, 19 November from an assistant county manager indicating that flooding problems could emerge.  He asked the next morning that a national emergency response co-ordination committee be convened, and that meeting was convened at 3 p.m. that day.  It met daily initially and on 11 occasions in total in November and December up to 8 December, when it was stood down.Over €16 million was given to 19 local authorities last December to meet exceptional costs in response to the flooding in their areas and €50 million has been allocated to the Office of Public Works for 2010 flood protection activities.  The roads allocation for this year is approximately €411 million.  Quite exceptionally and rightly, the Minister for Transport has given full discretion to local authorities to identify or utilise those funds in a way that meets the priorities they set as a result of what has happened over the winter.  When one considers the estimated cost is in the region of €180 million in respect of those roads that were identified, the allocation can and should come from that funding.  Councils are prioritising those works because this is sensible.  If it means other works of a lesser emergency nature need to be deferred for this year, this is what should happen.  This was an exceptional situation.  I agree people were inconvenienced.  However, people worked at community level to address practical concerns.  There were many examples of good neighbourliness and local community groups taking action.  These are well documented and many people are aware of them from personal experience.Regarding the question of salt replies, thankfully, the local authorities never ran out of such supplies but one cannot salt every road every day.  The maintenance of the main roads was the priority as they carry the majority of road transport.  It is the case that rural areas were more affected.  However, the local community effort convened to address the situation — as it must because there was such a sudden and widespread problem — and was brought into play.Issues arise in the context of any emergency situation which need to be addressed and not every issue is covered as would be the case in normal circumstances — this is the definition of an emergency.  Local authorities responded in December but the period of inclement weather continued after Christmas and the problem of supplies of salt for the roads became evident.  Given the unusual prolongation of the severe weather, the cumulative effects of the extended freeze and the implications of the return to normal activity levels by businesses and schools after the Christmas period, the Minister for the Environment, Heritage and Local Government, whose Department had been monitoring that situation at local level, convened a committee to co-ordinate the multidimensional emergency response.  The Department of Transport and the NRA had also been monitoring the roads situation and the two Departments were already engaged in a combined response to the situation.It has to be borne in mind that the prolonged severe weather was the worst for many years.  The co-ordination and emergency plans work on the basis of local co-ordination to deal with local issues.  The centralised effort is to do with ensuring there are adequate supplies of the necessary material.  The bad weather affected here, Northern Ireland and the UK and there was a significant demand in those jurisdictions for salt supplies.  It was a difficult situation but one that was managed quite well in the circumstances, given the amount of salt available and the very considerable amounts needed to be used on the roads daily in the initial stages.  However, as the situation became prolonged, the strategy had to be adapted.
#LizMcManus	unknown-#LizMcManus-party	unknown-#LizMcManus-dob	unknown-#LizMcManus-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	3	I agree with the Taoiseach that the community response was magnificent, as indeed was the work of local authorities' staff.  The work of the staff of the local authority of my own county of Wicklow was exemplary during very difficult circumstances.  Does the Taoiseach accept the reason we did not run out of salt is because the secondary roads were not made passable?  When the snows subsequently thawed, we had a serious legacy of impassable roads.  The Taoiseach used the term "inconvenienced".  Does he agree it is unacceptable that school buses were unable to collect children from school because road surfaces had disappeared and farmers could not get to their cattle?  This was the reality faced by people during those times and it needs to be recognised as requiring a proper response instead of a grossly inadequate one.  Will the Taoiseach tell the House the shortfall between the amount of money allocated for all road works and the amount of money sought by local authorities to carry out the repairs and the reinstatement of roads, bridges and water supplies?
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	4	On that specific point, county councils have estimated the considerable damage done to part of the road network in various parts of the country came to a total of approximately €180 million.  In a year of tight public finances, the Minister allocated €240 million to local authorities, for which they will have full discretion.  As the Deputy will be aware from past experience, in normal circumstances various tags are applied to the grants and funds, be they for maintenance or surface dressing, provided by the Department of Transport to local authorities based on the submissions made by the latter as part of the Estimates process.  In this situation, the practical response was to forget about the allocation in that respect for this year because we had an exceptional problem.  As a total of €240 million was being allocated to local authorities and the amount of money they believed they required to solve the problem was €180 million, our solution was to give them full discretion.  That would mean enabling them, where a road had broken up or a major problem had arisen, to solve the problem as an emergency while deferring for the year fresh surface dressings planned on roads that may have been dressed five or six years ago.  The condition of the latter roads would not be as bad as those affected by frost.By being given full discretion, local authority members had sufficient money to prioritise repairs required because of the exceptional nature of the freeze and the flooding.  In my locality and elsewhere, I am glad to say, they are using that discretion.  The public fully accepts that, for example, expected maintenance work on roads in parts of my county will not proceed because other roads closer to the Shannon were completely overrun and have to be repaired as a matter of urgency.  This is being done.Giving local authorities discretion is preferable to handing out allocations in the usual way and then trying to find money we do not have to deal with the problem, which would have been a rather ineffective way of proceeding.  The best way of using resources is to give that discretion to the local authorities.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	5	Did the emergency response committee discuss whether the ability of local authorities to deal with the flooding and the freeze was impaired by the ban on local authority recruitment?  Local authority workers are already under pressure because of the jobs embargo, pay cuts and, in many cases, overtime bans.  Last April, the local authority professional officers branch of SIPTU stated that the overtime ban and recruitment embargo would potentially have a devastating impact on professional engineers and other local authority employees engaged in the production and distribution of drinking water and protection of existing water quality.  We saw an indication of this during the emergency.  The branch also pointed out that temporary engineers were let go due to the ban on renewing temporary contracts.
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	6	Has the Deputy a question?
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	7	I ask the Taoiseach whether he is aware of this issue and if the emergency response committee considered it.  If we are to experience another emergency, we will be relying on these very grades and people.  What was the committee's response to the issue of public health and safety of our water supplies, which are threatened because of the shortage of engineers?  Experienced engineers are retiring and temporary engineers are not being retained.  This threat is not solely the result of the recent emergency and would arise again in the event of another crisis.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	8	To the credit of local authority workers and front line staff, certain industrial relations issues were deferred, postponed or disregarded for the duration of the emergency.  We were all grateful for that and it showed the civic-mindedness and good public-spiritedness of workers who simply sought to help neighbours as well as doing their job.  That was indicative of the overall community spirit in areas of particular difficulty and efforts to ensure no problems or industrial relations issues that might arise in the context of an ordinary situation would impinge upon the effectiveness or availability of qualified staff to alleviate hardship where possible.  That should be placed on the record.I refer to the question of the effects of the moratorium, which was necessary in an effort to control public expenditure.  We have the prospect of dealing with some of those issues now in the event of the ratification of agreements which were concluded overnight.  This is a public sector wide agreement.  The sectoral arrangements in place will enable a redeployment mechanism to exist that will overcome many issues in this respect.I refer to the question of water supply.  There has been a great investment in the past ten years in the improvement of water services and the provision of water infrastructure.  We are aware of the effects on reservoir levels and the provision of safe water as a result of the exceptional level of flooding in some areas.  The public notification of difficulties was taken up and communicated in a competent way.  People were aware of the dangers in particular areas.  Efforts were made through mobile means such as tankers etc. to supply people.  Some communities were in an exceptionally difficult position not only in terms of drinking water, but in terms of sanitary services in their homes for days and, in some cases, weeks.  The local co-ordinating emergency response used the local knowledge and expertise available.  People met and worked on a daily and hourly basis to alleviate what would otherwise have been a very difficult situation for communities.  There was an ability to cope and to deal with the situation despite very serious pressure on service needs in many areas.  I acknowledge that many people had to put up with a less than optimum service because there was a time period during which people had to get in, sort out pumps, bring back electricity to public supply systems and enable water to be put back on call and back into the system.  It is important to acknowledge all of this.The Deputy may well point to a situation which, were we in different times, could have been dealt with in the way he has suggested but given our circumstances economically and financially, the response to the difficulties we had during that period was exemplary in all cases.  I am not aware of any area where there was a less than civic or community-minded response.  Credit is due to everyone for this, including many of the voluntary services as well as those in the statutory services.
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	9	I will take a brief supplementary question from Deputy Ó Snodaigh.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	10	It will be brief.  What lessons have been learned such that we can deal with any further emergency in terms of water supplies?  I refer to the salt and grit levels.  Have stocks been fully replenished and has there been a full evaluation of whether the size of the supplies and the stock on hand is large enough to deal with another bad winter?  What steps have been taken to ensure this is the case?  No criticism of local authorities or voluntary services was intended in my earlier question.  The question was whether we could deal with another crisis in terms of water if the engineers were not available because of the public service embargo.
