#MichaelMoynihan	unknown-#MichaelMoynihan-party	unknown-#MichaelMoynihan-dob	unknown-#MichaelMoynihan-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	0	The question relates to the future of the Irish post office network. Is the Minister concerned about the movement to e-payments by the Department of Social Protection? What plans does the Minister have to guarantee the future of the Irish post office network?
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	1	There is no Government plan to close post offices. The decline in post office numbers has, in fact, been arrested. Figures in the Grant Thornton report commissioned by the Irish Postmasters Union show that, although there were 197 closures between 2006 and 2010, from the end of 2010 to date there have been 17 closures. Reference was made to the business carried out by An Post for the Department of Social Protection. The new six year contract to handle social welfare payments, which was recently won by An Post, is good news for the post office network. Securing the future feasibility of the post office network in the longer term will not be achieved by restricting individual access to e-payment solutions. Rather, the post office network must continue to modernise, as it is doing, to provide the services that its customers require. An Post has undertaken a programme of capital investment especially in the computerisation of the post office network, including the automation of all post offices. As a result, the post office network stands well positioned to become the front-office provider of choice for Government and the financial services sector for both electronic transactions as well as the more traditional over-the-counter transactions. Naturally, any such developments would have to be subject to public procurement requirements, as appropriate. An Post has made considerable progress towards diversification with its enhanced arrangement with Aviva for the transfer of Aviva Ireland's branch office personal business insurance business book to One Direct.The opportunity to pay local property tax through the post office network has also been secured. It is also important to acknowledge the responsibilities of postmasters themselves to develop new ways of meeting customers’ needs at the post office counter. I look forward to hearing what the Irish Postmasters Union considers its members can achieve at a meeting I am due to hold with the union soon.
 Additional information not given on the floor of the House
 I welcomed the fact that the Government has agreed to my proposal for a whole-of-Government consideration, encompassing central and local government and the wider public service, of the nature and extent of services that can be provided to the public using the post office network as a front office of Government. This whole-of-Government analysis will be undertaken in the first instance by the Cabinet committee on social policy with a view to a report to Government by that committee. This will afford an opportunity for a holistic review of the range of services which could be provided by the post office network and could perhaps yield synergies among the different agencies. The Cabinet committee on social policy is the appropriate vehicle for dealing with the whole-of-Government approach required for the future of the post office network.
#MichaelMoynihan	unknown-#MichaelMoynihan-party	unknown-#MichaelMoynihan-dob	unknown-#MichaelMoynihan-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	2	The importance of the post office network cannot be overstated. The Irish Postmasters Union is very concerned about any threat to post offices, including issues concerning their closure. It is time we examined the post office network, which is a trusted high street brand. Like other public services, including the ESB, there is a public service obligation to maintain the network. We must challenge An Post because for far too long the line has been that the company is a commercial State entity which must conduct its business commercially. If we are serious about maintaining the post office network, both in urban and rural areas, there should be an obligation on An Post to maintain the network. That should be written into the memorandum to An Post, so that it would have to maintain the network like the ESB and other State companies. That would force An Post to find products for its market. Over the years, we have had debates on what services the post office network should provide.
#MichaelKitt	unknown-#MichaelKitt-party	unknown-#MichaelKitt-dob	unknown-#MichaelKitt-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	3	I will come back to the Deputy for the next reply, but I must now call the Minister.
#MichaelMoynihan	unknown-#MichaelMoynihan-party	unknown-#MichaelMoynihan-dob	unknown-#MichaelMoynihan-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	4	It is important to place an obligation on An Post to maintain the network.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	5	I agree with Deputy Moynihan's disposition towards the importance and value of An Post. However, the Irish postal service is a network of commercial enterprises that are subject to EU competition law, so there is no avoiding that. I do not disagree with the sentiments that Deputy Moynihan has expressed but in his question he asks about my plans to guarantee the future of the Irish post office network. Since coming to office, I have taken a number of measures to arrest the decline and rate of closure. I gave the figures earlier but I cannot give a guarantee because public procurement and EU competition law apply. That basic point must be understood because we are not going to have some deus ex machina entering from stage-left that can wave a magic wand and say that EU law applies, but not to the Irish post office network. The Cabinet sub-committee on social policy is examining what can be done on a whole-of-Government basis but that, too, must be responded to by the Irish postmasters themselves in terms of innovative ideas. These include creating new products and services that, consistent with EU law, will enable the post office network to be used as a front-of-office facility for the provision of Government services.
#MichaelMoynihan	unknown-#MichaelMoynihan-party	unknown-#MichaelMoynihan-dob	unknown-#MichaelMoynihan-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	6	Can some obligation be put on An Post to maintain the network? The ESB is a case in point - it is a commercial semi-State company but is obliged to maintain networks in every community. Is it not time to be realistic? It is 23 or 24 years since the "Save our post offices" campaign began, yet the post office network has been steadily eroded. When a post office closes, the community closes also. Is there a possibility that under EU and domestic law we can push An Post to maintain the network which will then become the Government office in a community? It is high time we dramatically challenged what is there at the moment, otherwise I fear for the future of many post offices.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	7	The universal service obligation stands. It is Government policy and we have reflected that Government policy at EU level, which is that the universal service obligation should apply and continue to apply. It is no longer possible, as a member state of the European Union, that any Minister or anyone from any side of the House can prescribe that in future the post office in whatever town or village has the exclusive right to be the front office for government services, irrespective. It was necessary to go through a public tender process to hold on to the social welfare contract. Happily, this happened last year. However, these services have to comply with EU procurement law but this compliance allows for many things to be done. I do not know of any other organisation that has almost 1,150 retail outlets scattered throughout the length and breadth of the country. I will welcome any input I receive not only from Deputy Moynihan and his party but from any other colleagues in the House. I will bring any such proposals which are innovative and feasible to the Cabinet sub-committee dealing with this matter.
#MichaelColreavy	unknown-#MichaelColreavy-party	unknown-#MichaelColreavy-dob	unknown-#MichaelColreavy-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	8	I wish to take a couple of seconds to vent my frustration. Because of the rules, protocols and regulations in this place, I was not able to change my priority questions after 11 a.m. on Thursday. The Minister announced in the press a major change with regard to a renewable energy project which has been effectively mothballed. Neither Deputy Moynihan nor I could change our questions and it makes no sense. I hope we will have an opportunity during this week to hear the Minister make a statement and to ask questions on it. A postcode system entails converting map coordinates into machine-readable format and it is not a complicated process. Yet, it is reported that this cost €25.6 million for a contract over ten years and in addition there will be a tender for a contract for technical advice and support. This is extraordinary because I would have thought this cost would have been included in €25.6 million. It is reported that it will cost an additional €5 million to integrate the postcode system with other government software systems. There was also a €40 million turnover requirement for companies tendering for the contract which excluded most, if not all, Irish IT small and medium enterprises from applying. How is this reconciled with the Government's stated aim to support SMEs?
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	9	My Department commenced the procurement process for a national postcode system in 2011. An open and competitive procurement process was conducted in accordance with Department of Finance and EU procurement frameworks. A pre- qualification questionnaire was issued on www.etenders.gov.ie
on 17 January 2011. This invited interested parties to tender for the contract as a postcode management licence-holder for a period of ten years, to design, provide, disseminate and maintain a national postcode system. This procurement process followed the negotiated procedure under the relevant EU regulations. I must inform the Deputy that the process is a great deal more complex than he has presented. Given the technical complexity of the project, the Department ran the procurement following a competitive dialogue procedure provided for in the public supply and works Directive. The procurement was managed by my Department assisted by its advisors, PA Consulting. The procurement comprised three specific stages. Stage 1 was a pre-qualification process involving the short-listing of candidates for the next stage on their technical capacity and financial and economic standing and this took place in early 2011. Stage 2 was an invitation to submit initial proposals together with a competitive dialogue and this took place in 2011. Stage 3 was the final tender and took place in June 2013. Three parties qualified following stage 1 of the procurement process.Landmark, a UK company, withdrew from the process at the final tender stage. The Department subsequently received two final bids from consortia led by Capita and An Post, respectively. The two bids were evaluated by an evaluation team comprising senior personnel from my Department and its advisers. That evaluation process was conducted in August 2013 and the bids were analysed and evaluated under a number of award criteria. The evaluation team concluded that Capita's proposal best met the criteria set out in the tender documentation and recommended it as the preferred bidder. I brought that recommendation to Government for approval in October 2013 and signed the contract with Capita on 20 December last year.
#MichaelColreavy	unknown-#MichaelColreavy-party	unknown-#MichaelColreavy-dob	unknown-#MichaelColreavy-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	10	There is nobody better than management consultants at making a simple matter complex. The more complex it becomes, the more they and their friends can cash in. A postcode system converts map coordinates into machine-readable format. The complexity in this case apparently arose because the system had to be tailored in a certain way to support the administration and organisation of public services. That has never been fully explained. In addition, I still do not understand why there was a requirement for tendering companies to have a turnover of €40 million or more, a requirement which excluded most Irish IT companies from the competition. It was also reported that a person, persons or company involved in analysis, design and advice in regard to the system was also part of the consortium which eventually won the tender. Will the Minister comment on that?
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	11	We have a leading-edge project here. In a context where every OECD country has already introduced this type of system - most of them 30 years ago - we are able to benefit from the subsequent advances in technology. Moreover, the expenditure on the project will go back to the State on a scale in excess of 50% because it involves preparing the databases within Departments and so on. The company that won the competition already employs 1,000 people in Ireland. I did not know there was a turnover threshold below which companies could not apply, and I am sceptical as to whether that was, in fact, the case. In any event, as we can see from the period of time it has taken to reach where we are, a great deal of care went into ensuring the company chosen has the proven capacity to deliver on this significant challenge. The establishment of a system of unique identifiers puts us at the leading edge in terms of this type of technology. The new system has been universally welcomed - particularly by business, and not just businesses in the logistics areas. In the context of an era of digital enterprise, this is the way we have to go. In addition, it will add to the bottom line of An Post.
#MichaelColreavy	unknown-#MichaelColreavy-party	unknown-#MichaelColreavy-dob	unknown-#MichaelColreavy-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	12	I have it on the good authority that the €40 million turnover threshold was indeed a requirement for tendering companies. Perhaps the Minister will look into the matter and draw up a note as to how that figure was arrived at. The Minister referred to complexity. In fact, all we have had is a statement to the effect that the complexity arises because the system will be used by Departments and will support the planning and evaluation of services. However, that aspect was never outlined so that the likes of me can understand where the complexity actually lies. The Minister made no reference to the fact that a person, persons or company involved in analysis, design and advice in regard to the system is now benefiting from the ten-year contract that was awarded.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	13	I do not know what the Deputy means by his last point. I will, of course, furnish him with a note on the point he makes about the threshold, but I do not know to whom he is referring in his last point.I do not know who he considers to be "benefiting". The officials in my Department who brought forward the project are not benefiting. The company that was eventually selected has an extensive involvement in Ireland and a proven track record elsewhere. The value of the system is that it will improve the efficiency and accuracy of internal business processes and deliver improved efficiencies with regard to logistics. Deputy Colreavy has previously raised with me issues regarding the emergency services, each of which has welcomed this development. The system will facilitate better planning and analysis capabilities across the public and private sectors. It will provide a stimulus to mail volumes through improved direct marketing capabilities. It will enable organisations to improve existing services or develop new service offerings. It will facilitate improved efficiencies and quality improvement in the mail sector.
#ThomasPringle	unknown-#ThomasPringle-party	unknown-#ThomasPringle-dob	unknown-#ThomasPringle-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	14	I would like to know whether the significant potential for people to be employed on boats and in crews during the construction and ongoing maintenance of offshore wind turbines has been examined. Steps need to be taken now to ensure Irish companies can avail of these opportunities when these projects are commenced.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	15	The offshore renewable energy development plan, which I published last month, identifies an opportunity for Ireland to realise the potential of our offshore energy resources by increasing indigenous production of renewable energy, thereby contributing to reductions in greenhouse gas emissions, improving the security of our energy supply and creating jobs in the green economy, especially in coastal communities where there are particular job creation challenges. The strategic environmental assessment that was carried out for the offshore renewable energy development plan found that it would be environmentally sustainable for 4,500 MW of offshore wind to be developed in Irish waters in the period to 2030. The development plan will provide the mechanism through which action across Government Departments and agencies to support the development of offshore renewable electricity generation can be fully co-ordinated in areas such as environmental monitoring, research and development, consenting procedures, infrastructure requirements and enterprise development. There will be potential for local job creation in construction, maintenance and the supply of materials and equipment, including offshore surveying, transportation and installation vessels and associated manpower. There will also be opportunities to develop new products across information technology, remote communications and software. All relevant State agencies, particularly in the enterprise area, will have to co-ordinate their activities to ensure the employment potential of offshore projects is maximised. This opportunity has already been identified by IDA Ireland and Enterprise Ireland in their clean technology growth strategies. My Department and I will work with the Minister for Jobs, Enterprise and Innovation to put in place an appropriately led and resourced programme to ensure domestic companies avail of local opportunities for a period and are well placed to explore opportunities to internationalise their operations. As highlighted in the offshore renewable energy development plan, the potential for the offshore wind energy sector to contribute to EU energy needs beyond 2020 and provide jobs has been recognised, notably in the European Commission’s blue growth study. Economic analysis carried out for the Sustainable Energy Authority of Ireland indicates that a level of three construction job years per MW of offshore wind deployed, along with 0.6 jobs per MW in ongoing operations and maintenance of offshore installations, can be achieved.
#ThomasPringle	unknown-#ThomasPringle-party	unknown-#ThomasPringle-dob	unknown-#ThomasPringle-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	16	I thank the Minister for his response, the concluding part of which outlined the significant job potential that exists in this area. We need to gear up to be able to avail of those opportunities. I am thinking particularly of the supply of vessels during the construction phase. There is huge potential in the case of one of the projects proposed at the moment because it is estimated that up to 40 vessels will be required.I know of a number of boatyards that would be in a position to construct those vessels if they were geared up for it and encouraged to go for that level of business, which is very significant. In terms of providing crew, we have many highly trained and skilled former and current fishermen working in the UK and Germany on these projects who would need minor upskilling to allow them to develop further and avail of these opportunities. Will the Department of Communications, Energy and Natural Resources be co-ordinating this to ensure it happens or is this something that will sit in the ether and wait for somebody to pick it up and run with it?
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	17	If the Deputy gets an opportunity to study the OREDP, which I published last month, he will see there are many actions at my door that will have to be driven in the years ahead. Ocean energy encompasses much more than purely the offshore wind aspect. Wave and tidal sources of energy are still at the research stage, but we have uniquely propitious resources in that area. I am also interested to do anything we can to improve the rate of offshore exploration and appraisal activity. An area such as Killybegs would be well suited to accommodate that. I understand it has a deep port and, as the Deputy has said, it has local labour with skills in the broad area. One of the attractions of the OREDP is that it holds considerable prospects for coastal communities that would not otherwise have the prospect of employment.
#ThomasPringle	unknown-#ThomasPringle-party	unknown-#ThomasPringle-dob	unknown-#ThomasPringle-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	18	I thank the Minister. Will the Department of Communications, Energy and Natural Resources drive the delivery of the opportunities or who will be responsible for delivering the outcomes? Having somebody driving it is key to the creation of indigenous jobs.
#PatRabbitte	unknown-#PatRabbitte-party	unknown-#PatRabbitte-dob	unknown-#PatRabbitte-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	19	We discussed that at Cabinet when I brought the memorandum on the OREDP. The Deputy's question is pertinent because the situation has always been somewhat disparate, to put it mildly. My Department has the role we know about. In addition, the Ministers for Agriculture, Food and Marine, Transport, Tourism and Sport, and Jobs, Enterprise and Innovation all have roles. In Cabinet there was emphasis for the Ministers concerned to come together to see what progress we might make. I am certainly determined that should be the case. I am and have been in discussion with my colleagues about the future in this area.
#MichaelMoynihan	unknown-#MichaelMoynihan-party	unknown-#MichaelMoynihan-dob	unknown-#MichaelMoynihan-constituency	speech	unkown-language	2014-03-11 00:00:00	Ceisteanna - Questions	20	I ask the Minister for Communications, Energy and Natural Resources for his response to the European Commission’s decision to refer Ireland to the European Court of Justice for failing to transpose fully EU internal energy market rules, and if he will make a statement on the matter.
