#TimDooley	unknown-#TimDooley-party	unknown-#TimDooley-dob	unknown-#TimDooley-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	0	The Minister will be aware that the National Transport Authority has prepared a report that seeks to ban private cars, including taxis, from key central routes in Dublin city centre. Will he outline his views on the report to the House?
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	1	Before I reply to the Deputy's question, I add my voice to the voices of those who spoke in the Dáil yesterday about the awful tragedy and loss of life in Berkeley. My thoughts, like those of everyone else, are with the families of those involved and everyone else who has been affected by this incident. The Dublin city transport study which was recently published jointly by the National Transport Authority and Dublin City Council comprises a set of proposals to enhance overall movement in the city and cater for increased usage.  It seeks to address the imminent transport issues facing the core city centre area, to facilitate the implementation of the Dublin City Council development plan and to safeguard the future growth of the city. A public consultation process is being carried out on the study. Anyone who wishes to make a submission on the study can do so online at www.dublincity.ie/transportstudy.  The closing date for receipt of submissions is Thursday, 16 July. As the study is the subject of a public consultation process, it would not be appropriate for me to comment on individual proposals. Decisions on specific traffic management measures are the responsibility of the local authority and will be matters for Dublin City Council to progress when the consultation process is complete. Councillors will have to decide whether to include the various recommendations, some of which are controversial, in its next development plan. I confirm that the general thrust of the proposals is in line with my Department's overall strategic policy for sustainable urban transport. I do not doubt that in the public consultation process we will hear from city centre business interests who believe private cars should form part of the transport mix, for example, to allow city centre shoppers to purchase large and bulky items. A key objective of transport policy is to ensure investment is targeted in the most effective way that encourages people to leave the car at home, where possible, and to walk, cycle or avail of public transport. The study will play a role in seeking to determine the most appropriate way to make progress with that agenda, taking account of all stakeholder views.
#TimDooley	unknown-#TimDooley-party	unknown-#TimDooley-dob	unknown-#TimDooley-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	2	I am disappointed that the Minister is not in a position to put his views clearly into the public realm. I accept the statutory position he is in. It would be highly unusual if, as the Minister with responsibility for transport, he felt precluded from offering his views on this matter. If he were to offer them, I do not think it would conflict in any way with the roles of Dublin City Council or the National Transport Authority as set out in statute. Given that the total ban faced by private motorists on College Green and parts of the quays needs to be addressed in advance, I suggest the Minister set out his views as part of the process of public consultation. I totally believe in the concept of improving the movement of buses, trams, cyclists and pedestrians as part of the National Transport Authority's plan to cope with the expected 20% increase in commuter numbers. As the Minister knows, the report points out that O'Connell Bridge is used by approximately 70,000 vehicles each day, or approximately 60% of the number of vehicles that use the M50 each day. These are startling figures. It is right and appropriate that an approach be taken to ameliorate the expected increase in order that everybody can go about his or her business. Mr. Conor Faughnan of AA Ireland has suggested there has been a belief for some time that four wheels are bad and two wheels are good. Unfortunately, that attitude is starting to find a level of acceptance in certain State agencies. We need to look at everything on its merits. The greater the number of people who involve themselves in the discourse during this process - that includes the Minister - the more helpful and beneficial it will be to whatever is the final draft. We have to look at the importance of the motorist, especially in the light of what he or she contributes to the economy generally.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	3	A recognition of the role played by Dublin City Council in this respect, as well as the powers afforded to the council under law and the use made of these powers, needs to be at the heart of the discussion. The council is looking to hear the views of the people of the city and beyond on its proposals. While that consultation process is ongoing, it would be inappropriate for me to become publicly involved in a draft plan that is out for consultation. As I said to the Deputy, I support the overall objectives of the plan. It is essential that we find the right transport mix to deal with the huge increased demand for road space in the future owing to the recovering economy. In the past five years the Government has made funding of approximately €97 million available via the National Transport Authority for improvements in transport infrastructure in this area. The Government is also investing almost €370 million in the cross-city Luas line which will be operational in 2017.
#TimDooley	unknown-#TimDooley-party	unknown-#TimDooley-dob	unknown-#TimDooley-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	4	The Minister is well aware of how well pedestrian zones work in cities throughout the world. It is, undoubtedly, fantastic that they improve the living space and allow people to get around, but they have to be developed in harmony with people's ability to gain access to such locations by means of private cars or public transport. There is a delicate and fine balance between the two. On the basis of what I have read so far, I am concerned that the broader exclusion of the car from the city centre almost has the potential to make a park out of that zone. If access to the city centre is restricted and the volume of people is reduced, there will be no level of activity there. It will become a no-go zone for people who will choose to do their business elsewhere. We should have learned from experience around the world when city centres started to be hollowed out. Much of that happened as a result of people's decisions to move to commuter belts and live on the outskirts of cities. If a business district is created in the city centre and cars are removed, it could potentially have a really damaging effect on the economic life of the city. For that reason, I hope people's views will be listened to as part of a broader consultation process. The consultation process on this report should not be mere window-dressing that will allow Dublin City Council and the National Transport Authority to drive ahead with this agenda.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	5	Nobody involved in the process has the objective of seeking to turn our city centre into a no-go zone or to get to a point at which our city is hollowed out. The objective of the proposals the city council is putting forward is the opposite of this. It wants to create a more vibrant and sustainable city centre balancing the huge number of people passing through it with the needs of the business community and the growing residential community. This is fully recognised by the Government, which is why we are investing in the Luas cross-city project and why we have invested more than €97 million in recent years. We will support good plans for the area depending on the funding available to us. I agree with the Deputy we need a good consultation process and this is under way. I will make comment, and the Department will become involved, at the end of this process when everybody has had an opportunity to make known his or her views.
#DessieEllis	unknown-#DessieEllis-party	unknown-#DessieEllis-dob	unknown-#DessieEllis-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	6	This question is on the possible sale of Aer Lingus and the possible use of the money for the deferred members of the pension scheme. As the Minister knows, a huge issue has arisen in this regard. He has made decisions in the past but I plead once again for something to be done to address the injustice which took place.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	7	An agreed solution was implemented at the start of this year to address the funding difficulties in the Irish airlines (general employees) superannuation scheme, IASS. This agreed solution is a matter for the trustee, the companies participating in the scheme and the scheme members and the Pensions Authority. Under the agreed solution, the total contribution proposed by the IASS employers towards resolving the IASS difficulties now amounts to over €260 million. This includes adding a further €20 million to the €40 million already being made available for deferred members, bringing the full amount for this group to €60 million. The trustee has confirmed these measures are in the overall best interest of the members of the IASS as a whole. The solution will continue to be implemented in compliance with national and EU law irrespective of the ownership of Aer Lingus. I am very conscious that the agreed solution has a significant impact on many members of the scheme, but as I have said in the House, these risks would have arisen for all members, the companies involved and the wider economy if this solution had not been implemented. Any proceeds from the sale of the State's minority shareholding in Aer Lingus will be paid into the Exchequer, and the Government has decided that such proceeds should be used to establish a new connectivity fund as a sub-portfolio of the Ireland Strategic Investment Fund. Under EUROSTAT rules, the proceeds arising from the sale of the State's shares in Aer Lingus represent the sale of a financial asset and will have no beneficial impact on Ireland's general Government balance, GGB. Accordingly, the money received will not provide any capacity for additional Government expenditure on a GGB-neutral basis. It is for this reason the proceeds will be allocated to this special fund, which will operate on a commercial basis.
 Additional information not given on the floor of the House
 Therefore, they will not constitute Government expenditure but will facilitate the re-use of the proceeds for productive purposes within the economy, on a GGB-neutral basis. For this reason, the moneys generated by the sale cannot be used for the reasons proposed by the Deputy.
#DessieEllis	unknown-#DessieEllis-party	unknown-#DessieEllis-dob	unknown-#DessieEllis-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	8	Once again, this is very disappointing for the deferred members, many of whom have suffered huge losses. When the State airport Bill was brought forward those who paid a heavy price were the deferred members. We all know this. A terrible injustice was done to them whereby some of them lost between 30% and 50% of their pension. This is not right. It is within the gift of the Minister to re-examine this and push the Cabinet to re-examine it. To come in and say the Government has done a deal and put in so much money, and mention the trustee and what was done, is not good enough. There is room if this goes ahead and the Government gets extra money. The Minister mentioned the Ireland Strategic Investment Fund. From a basic point of humanity and the injustice done to these people, something can and should be done.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	9	I am fully aware of the hardship caused to people as a result of what happened to the pension fund. The pension fund faced a huge deficit. The one thing on which I am very clear is if I had gone against the wishes of the trustee, the person whose job it is to administer and run the fund, the Deputy would be the first person in the Dáil Chamber to criticise me for doing so. I am getting very confused about where the Deputy stands on the sale of Aer Lingus. Is he for the disposal taking place or is he against it? He came into the Dáil for a number of weeks saying he was against the sale happening, but now he has come in here stating he wants the proceeds of the sale to be used in a particular way. The rules in place mean if the stake were to be sold we would not able to use any funding for current Government expenditure. It can only be used for commercial purposes.
#DessieEllis	unknown-#DessieEllis-party	unknown-#DessieEllis-dob	unknown-#DessieEllis-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	10	It is very clear we are against the sale of Aer Lingus. I do not even know the status of what is going on behind the scenes and to where it has progressed. We have been against it for many reasons including connectivity, jobs and the fact the tourism industry has been doing very well with numbers increasing. We are selling off a going concern. I have addressed this. The Government has voted to sell off Aer Lingus. I am looking at the reality of the fund of whatever money the Government will potentially get. It is all well and good talking about the role of the trustee. This is an issue of a serious injustice. Will the Minister ask his Government colleagues to make an exception and look at the deferred pensioners once again? This is all I am asking, on the basis the Government will get this money. Perhaps the Minister will give us an update on where we are with regard to the Aer Lingus situation. Has there been any further news?
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	11	It is good to hear the Deputy acknowledge the success we are having in tourism. He also opposed many of the measures put in place to deliver this success. He opposed the way we needed to fund the lower VAT rate, which is the very measure supporting Irish tourism and supporting hotels, cafes and restaurants in delivering affordable prices to tourists to get them to visit our country. The measures the Deputy opposed now contribute to the success seen in Irish tourism. I take this opportunity to recognise again everybody working in tourism for the great job they do for our country. The Minister of State, Deputy Ring, is at pains to acknowledge this all of the time. Deputy Ellis stated it is all well and good about the trustee. The trustee is the individual with the legal responsibility for the maintenance of the fund. If I had gone against what the trustee wanted to do to try to bring solvency and stability to the largest pension fund in the country, which had a deficit of hundreds of millions of euro, Deputy Ellis and his colleagues would have been in the Chamber opposing me for doing so. I am aware of the huge difficulty people have faced and I have explained to the House that the accounting rules in place mean it is not possible to use the proceeds of any sale for current expenditure.
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	12	This relates to the upgrade of the M7 Naas to Newbridge bypass upgrade scheme. Is the only impediment funding? What priority does it have?
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	13	I must point out again that, while I have responsibility for overall policy and funding for the national roads programme, the construction, improvement and maintenance of individual national roads are matters for the National Roads Authority, NRA, in conjunction with the local authorities concerned. I understand the proposed M7 Naas bypass widening scheme which follows the alignment of the motorway has been progressed in compliance with the NRA's project management guidelines. Kildare County Council advertised the scheme in local and national newspapers and a public consultation process began and was left on open display for two weeks.  An Bord Pleanála approved the scheme in August 2014 after an oral hearing. Unfortunately, the financial realities are that capital funding will continue to be tight for the next number of years, limiting the scope for progressing additional new projects over and above the PPP schemes already in place. I know that it is important to restore capital funding for the transport sector over time, to ensure land transport infrastructure is maintained and renewed to support economic development. While I have, I hope, stabilised the funding position, the scope for new projects depends on the availability of additional capital funding in the future.  Once that is clear to me, the Government will publish a plan to address particular bottlenecks and challenges within the country.
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	14	I am looking to find out when it will be clear to the Minister. This is local to County Kildare, but it is also a national primary route. There are three lanes to the point where it narrows, where there is a significant bottleneck and a high number of accidents. Many years ago cost-benefit analyses were carried out which looked at fatality rates. Accident rates were also factored in. I would hate to think that is the reason a scheme will have a higher priority when we can already predict a significant problem. The functioning of the economy will be dependent on the ability to manufacture and deliver goods and services. This is one of the most densely populated parts of the country and the route is the artery between Dublin and two of our major cities. I would like to know where the scheme stands in the list of priorities.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	15	I agree with the Deputy that the maintenance and, where necessary, the creation of good national roads are crucial to how the economy moves and our ability to move goods and services throughout the country. It is also crucial to make sure the national finances continue to improve and that if we commit to a project, we have the ability to fund it. The Deputy will be aware that a condition of the planning permission granted for the millennium business park was that an interchange be built at Osberstown. If that scheme was executed in isolation, the consequence would be an addition of 8% to the volume of traffic on the M7 motorway, which is already operating at a very high level of capacity and exceptionally busy. To deal with this issue in a comprehensive way, we need to deliver a number of projects in the area, including widening the road at Naas, funding the interchange and carrying out work at Sallins. The total cost of all these projects is €110 million. We can only commit to a project if we are confident that we can fund it. The group of projects has a high priority, but in order for it to go ahead, I have to be confident that I can fund it and that the State will be in a position to afford it in the future
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	16	I agree with the Minister that the projects are linked. The problem is that, in the absence of being able to get traffic to and from the park and providing entry and exit points for developments such as the big new development of the Kerry Group, the millennium business park is stuck in an environment in which it was never planned to be in. It is very well located, which is why the Kerry Group development took place there, but it is being constrained in expansion because of this impediment. While a very large amount of money is involved, it has the potential to bring about a decent return also.
#PaschalDonohoe	unknown-#PaschalDonohoe-party	unknown-#PaschalDonohoe-dob	unknown-#PaschalDonohoe-constituency	speech	unkown-language	2015-06-17 00:00:00	Ceisteanna - Questions	17	The Deputy acknowledges that this is a very significant amount of money from the taxpayer. It is easily comparable to, if not greater than, the private sector investment put into the millennium business park and the surrounding area. It is receiving priority for the future, provided funding is available, because of how busy the existing roads in the area, in particular the M7, are and because access to the millennium business park will become extremely difficult if we do not find a way to alleviate the problem. That is why this group of projects has been proposed. My challenge is to ensure the total amount of money, in excess of €100 million, can be secured to support the investment and job creation under way, but we can only go ahead with the scheme if we have the money and can be sure money will be available in the future. Otherwise we risk repeating the mistakes which have cost us so dear already.
