#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	0	I call the meeting to order in public session. As the Chairman is unavoidably absent today, I call for nominations for Acting Chairman.
#DrJamesReilly	unknown-#DrJamesReilly-party	unknown-#DrJamesReilly-dob	unknown-#DrJamesReilly-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	1	I nominate Senator Aidan Davitt.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	2	Is that agreed? Agreed. I now invite Senator Davitt to take the Chair.
#AidanDavitt	unknown-#AidanDavitt-party	unknown-#AidanDavitt-dob	unknown-#AidanDavitt-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	3	I thank Senator Reilly for nominating me as Acting Chairman. We have received apologies from Senator Gavan and Senator Humphreys. I propose we go into private session. Is that agreed? Agreed.
#AidanDavitt	unknown-#AidanDavitt-party	unknown-#AidanDavitt-dob	unknown-#AidanDavitt-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	4	I remind members, visitors and those in the Public Gallery to please ensure their mobile phones are switched off or are in flight mode for the duration of the meeting as they interfere with the broadcasting equipment, even when on silent mode. We have some new members on our committee. I would like to welcome Deputy Billy Kelleher. Deputy Lisa Chambers was also added to our committee as of yesterday and she might join us later. I thank Deputies Niall Collins and Stephen Donnelly who were very strong contributors to this committee and were of great help in all the work we have been doing. We appreciate all they have done for us. For the information of our guests, with committees resuming, unfortunately there has been a slight clash of committees today and some members are tied in having two committees meeting today at the same time.  No. 7 on our agenda is a discussion on the cost of doing business. I welcome the following members of the Alliance for Insurance Reform; Mr. Eoin McCambridge, managing director of McCambridge's of Galway, Ms Stephanie Reid, owner of Monkey Business play centre, Mr. Ivan Cooper, director of public policy at the The Wheel, and Mr. Peter Boland, director of the Alliance for Insurance Reform. I welcome all our guests to our discussion on the cost of doing business.  In accordance with procedure, I am required to read the following: By virtue of section 17(2)(l) of the Defamation Act 2009, witnesses are protected by absolute privilege in respect of their evidence to the joint committee. If, however, they are directed by it to cease giving evidence on a particular matter and continue to do so, they are entitled thereafter to only qualified privilege in respect of their evidence. They are directed that only evidence connected with the subject matter of these proceedings is to be given and asked to respect the parliamentary practice to the effect that, where possible, they should not criticise or make charges against any person or an entity by name or in such a way as to make him, her or it identifiable.  In accordance with procedure, I am required to read athe following: by virtue of section 17(2)(l) of the Defamation Act 2009, witnesses are protected by absolute privilege in respect of their evidence to the joint committee. If, however, they are directed by it to cease giving evidence on a particular matter and continue to do so, they are entitled thereafter to only qualified privilege in respect of their evidence. They are directed that only evidence connected with the subject matter of these proceedings is to be given and asked to respect the parliamentary practice to the effect that, where possible, they should not criticise or make charges against any person or an entity by name or in such a way as to make him, her or it identifiable. Members are reminded of a long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the House, or any official by name or in such a way as to make him or her identifiable.  I remind our guests that each of their presentations should be of no more than five minutes duration. Members have been circulated with the presentations submitted by today's attendees. I ask Mr. Boland to begin his presentation to the committee.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	5	I thank the Chairman and members of the committee for inviting us here today. I welcome quite a number of our members who are present in the Gallery, particularly representatives of Irish SME Association, ISME, Motorsport Ireland, Playcentres Ireland, Ireland Active, the Society of the Irish Motor Industry, Retail Grocery Dairy & Allied Trades Association, RGDATA, and the Coach Tourism and Transport Council of Ireland. Their attendance here is a measure of the intensity with which they feel these issues and the way they affect their operations. Members have already received a copy of our submission. Therefore, I will not go through it all but will summarise its key points. The Alliance for Insurance Reform brings together representative bodies from the not-for-profit charity, sports and small and medium size business sectors across Ireland, representing more than 35,000 organisations, more than 633,000 employees and more than 41,000 volunteers to demand rapid action to end crippling insurance costs. The creation of the alliance is a response to countless stories from small organisations where services and jobs are being affected by excessive insurance premiums, both liability and motor. Members will have heard many such stories, but there is a considerable fear among many organisations which are afraid to go public on their experiences because they are at the mercy of one underwriter or afraid to draw additional claims on themselves. What members are hearing is only the tip of the iceberg. However, we will not focus on the stories but analysis and solutions.  Our approach to insurance in Ireland is at a turning point. The system is dysfunctional to the extent that what is supposed to be a service industry that facilitates the operation of society has become an extractive industry, taking over €2 billion in motor and liability insurance premiums annually. It is protected and often made compulsory by the State and so expensive that it threatens the viability of many organisations that form the backbone of the nation.  A survey of 950 organisations within the alliance, carried out by Amárach Research in January, found that since 2013, nearly half of respondents had seen their premiums rise by over 30%, while over one fifth had seen rises of over 70%. This was in the broader context of a consumer price index increase of 0.9% in the same period. Two thirds of respondents also reported having increased excesses or new exclusions added to their policies, an equally damaging trend that severely restricts the ability of organisations to develop and creates additional exposure to cost.  Critically, 45% of respondents cited insurance as a threat to the future of their organisation, yet our members believe the insurance industry and the legal profession have the strongest voices in the corridors of power. Policyholders believe we have no voice. This is amplified by last week's Collins Institute report for Fine Gael which concluded that the Central Bank, the State institution charged with protecting insurance policyholders, was too focused on the needs of the financial services industry. There is much activity in the area, but our concern is that a lot will be discussed and that little will be done as it is not in the interests of the insurance companies or lawyers operating in this market for anything to change. If we were them, we would huff and puff in a show of empathy with our customers, but we would fight tooth and nail to stop real change. We would cite issues arising from the Constitution, data protection or competition, suggest self-regulation, agree to protocols, ease off on aggressive profit-taking for a while until the fuss died down and string out the debate to the next general election; anything to stop real reform.  In the last six weeks we have spoken to the Minister of State, Deputy Michael D’Arcy, and his officials, the Personal Injuries Assessment Board, the Office of the Data Protection Commissioner, the Personal Injuries Commission, the Legal Services Regulatory Authority and the Competition and Consumer Protection Commission and it is clear that many elements of the work of the cost of insurance working group are grinding to a halt, with the dead hand of vested interests evident. The buck stops firmly with policymakers. The actions we are suggesting are in the areas of prevention, consistency and transparency. We believe them to be just, proportionate, feasible, achievable within a limited timeframe and, ultimately, effective. The following are practical ways to solve the insurance crisis which we hope the committee will consider and support.  On prevention, to quote a member of the audience at a public meeting we held in Cork in February, "If I had a need for big money and I had a choice between robbing a bank and faking an injury, I'd pick the fake injury every day. More money and no consequences if I'm found out." We absolutely acknowledge the right of genuine claimants to fair compensation, but people have accidents all over the world; it is the consequences for Irish policyholders that appear unique. We are suggesting four actions in this area.  First, we call for sections 25 and 26 of the Civil Liability and Courts Act 2004 to be linked. We want an amendment to the Act such that if a case is dismissed under section 26 because the plaintiff knowingly gives or adduces evidence that is false or misleading, it would automatically be
referred to An Garda Síochána for prosecution under section 25, which would penalise such an offence with a substantial fine or imprisonment or both unless a defendant deliberately falsely accused a plaintiff of giving such evidence.  Second, we seek the establishment of a Garda insurance fraud unit. 
The cost of insurance working group's motor insurance reports promised a dedicated Garda unit to focus exclusively on the investigation of insurance fraud. We want the unit to be established as a matter of urgency. The Minister has told us that there is not enough support in the House for it. If that is the case, we urge opposing parties to clarify their concerns and remove the blockages.  Third, we seek the regulation of claims management companies, also known as claims harvesters. Our members tell us that claim harvesting websites are acting as the ambulance chasers of old, pursuing potential claimants with promises of money to be made, regardless of how dubious the claim and with no costs or consequences. They are adding fuel to the fire of fraudulent, exaggerated and misleading claims and must be regulated by the State to protect policyholders and society as a whole. In particular, referral fees they might charge to refer live cases to solicitors must be banned outright. Regulation, registration and a ban on referral fees would only bring Ireland into line with the regime in place in the United Kingdom since 2007. It is not sufficient for the Government to pass this onto the Legal Services Regulatory Authority which is still in the process of establishing itself. Regulation must be brought forward now.  Fourth, we want sections 7 and 8 of the Civil Liability and Courts Act 2004 to be amended. First, in section 7, we call for the period in respect of the Statute of Limitations on personal injury claims to be reduced from two years to one year. As the average period for a claim to be registered with the Personal Injuries Assessment Board following an accident is nine and a half months, this would not disadvantage claimants. Second, the language used in section 8 which purports to oblige a plaintiff to inform a defendant of an incident within two months is so conditional as to be useless and ignored in our experience. We ask that it be tightened in order that judges would have to take into account any delay in notification before allowing a case to proceed. The Department of Finance has stated it is pursuing this issue with the Department of Justice and Equality, but we want it done urgently. On consistency, the general damages awarded in Ireland for minor injuries bear no relation to those awarded in other countries, which makes Ireland a very attractive place to have a minor accident. Furthermore, there is no consistency within the jurisdiction in awards for identical injuries, which makes it very attractive in personal injury cases to reject a PIAB offer and head for the courts, safe in the knowledge that with the right judge, the rewards may be substantially better. We seek two reforms in this area, the first of which is that the approach to calculating the book of quantum be changed. The Court of Appeal has established that the ceiling on general damages for catastrophic injuries is €450,000. It has also established that the concepts of common sense and proportionality are central to the principles of proper compensation. We call for a revised book of quantum calculated on that percentage disability basis as a matter of urgency through the Personal Injuries Commission which is only looking at solutions in the case of motor whiplash claims. The Government should extend its remit to all injuries immediately. Next we encourage consistency among the Judiciary.
The 2004 Civil Liability and Courts Act should be amended to require judges who award damages in excess of the book of quantum for general damages to set out a detailed reasoning for so doing. On transparency, the insurance industry is of systemic importance to the proper functioning of Irish society and enshrined as such in much legislation and regulations, yet there is virtually no transparency in the market, either at industry or individual policyholder level. We demand that control of analysis and reporting of the new national claims information database be given to the Personal Injuries Assessment Board, rather than the Central Bank, as envisaged by the cost of insurance working group. The PIAB has the expertise and funding necessary and no additional legislation would be required as sections 54 and 55 of the PIAB Act of 2003 already allow for this function. We ask that the blue book be reinstated immediately and enhanced in order to restore the only transparency there was in the market before the Central Bank discontinued it in 2016.  We want to scrap and revisit the agreed large increases protocol. The very first recommendation in the report of the cost of insurance working group on motor insurance was that insurers set out for customers the reasons for large increases in premiums.The protocol produced from this recommendation was one of the first actions to be ticked as completed in the cost of insurance working group, CIWG, updates. However, the protocol agreed between the Department of Finance and the insurance industry which I have linked with the submission is a good example of how the cost of insurance working group is being strangled. We would be better off without it as it only creates the impression that something has been achieved when it has not. We want a meaningful protocol agreed to for both motor and liability insurance policyholders that individualises explanations, with clear calculations showing the basis of premium charges. We seek the reinstatement of the 2003 insurance industry-IBEC protocol for dealing with claims. Almost one year was spent by the Department of Finance and Insurance Ireland talking in circles about a protocol for notifying policyholders about the progress of claims against them before the Department discovered a pre-existing protocol agreed to by Insurance Ireland's predecessor, the Irish Insurance Federation, IIF, and IBEC in 2003. The insurance industry is resisting it being implemented anew. We demand that it be implemented immediately, backed by legislation, for both the motor insurance and liability insurance sectors. A copy of the protocol is attached in Appendix 3. As an alliance, we have put a great deal of work into addressing this crucial issue for our members and their employees and volunteers. We hope the committee can help us in ensuring action. We are happy to take questions.
#AidanDavitt	unknown-#AidanDavitt-party	unknown-#AidanDavitt-dob	unknown-#AidanDavitt-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	6	I thank Mr. Boland who reiterated what he said on radio earlier. A great deal of work has gone into this issue and he has outlined ten actions which are transparent and easy to understand.
#MauriceQuinlivan	unknown-#MauriceQuinlivan-party	unknown-#MauriceQuinlivan-dob	unknown-#MauriceQuinlivan-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	7	I thank Mr. Boland for his presentation. Together with Deputies Tom Neville and Niall Collins, I was instrumental in inviting him to appear before the joint committee. Deputy Niall Collins is no longer a member of the committee, having taken up membership of another committee. I offer apologies on his behalf. Unfortunately, Deputy Tom Neville has to attend another committee meeting that clashes with this one. He wanted to be present and it is not a sign of disrespect on his behalf that he is not present. I attended a meeting the alliance organised in Limerick and while I had heard everything raised previously, I was struck by the number of people who were outlining the same problems with the cost of insurance, the lack of reasoning for premium increases and why there were so expensive, that there was no transparency and that claims could not be stood over following rigorous investigation in many cases. Have jobs been lost due to insurance premium increases businesses have experienced in the past few years, particularly in the past year? Is it a problem for both SMEs and larger companies? I acknowledge that it is also a problem for community groups. Has the Government done enough to deal with hikes in insurance costs? What could it do today if it were to take action on the problems raised by the alliance? What are the barriers to addressing them? If Mr. Boland was Minister, what are the three principal actions he would take? Towards the end of his contribution he referred to the lack of transparency. What information is not being available by insurers to premium holders? Should the Central Bank be responsible for analysing a report on the national claims information database data?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	8	I will deal with the question on business and employment. I am a shopkeeper with a one-premises business. Two years ago we looked into expanding our business and opening a second outlet. We had all of the work and planning done, but at the time we were finalising the expansion and just about to sign, we received notification that our insurance premium would increase from €52,000 to €102,000, a huge increase. Given other costs such as rates and rental costs, we decided not to go ahead. The second outlet would have been located in a sizeable premises and we would have employed between 30 and 40 people when we opened. The doubling of my insurance premium three years in a row was part of the decision we decided not to open the new premises. My current premium could have increased to €200,000 this year. Fortunately, it did not, but the previous increases affected my ability to expand the business.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	9	I can give an example from the community and charity sector. Charities require public and employer's liability insurance. There are almost 10,000 such organisations in Ireland, with more than 140,000 people employed. The Wheel is a social enterprise which provides much needed transport services for people with disabilities. Its insurance premium doubled from €65,000 to €130,000. Because of the increased costs, the organisation has had to cut services and reduce its workforce. It is paying more for insurance cover than for petrol. It has had a big impact on services. From the perspective of charitable organisations that have to raise funds to pay additional insurance costs, it is a big challenge to fundraise for services without being lumped with this additional overhead. Organisations in the voluntary healthcare sector have been taken into the State's insurance programmes because they are unable to pay the premiums they are attracting.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	10	We have no objection to the Central Bank collecting and collating the data, but we have a major issue with it analysing and reporting on it because of its dual role in respect of the insurance industry. It has a prudential role which always seems to receive priority and a consumer protection role which appears to be ignored. As one of the Deputy's colleagues said at a meeting of another committee a few weeks ago, the bank is a dog that does not bark, never mind bite when it comes to customer protection. We would strenuously object to the bank taking on that role. With regard to the information not being supplied, the simplest reform the Government could implement is to tell the Central Bank to reinstate the blue book. The blue book was a set of industry data which, while not perfect, gave an overview of what was going on in the industry and a sense of profitability. Profitability is complex in the insurance industry and can only be interpreted over a number of years, if not a decade, because of claim trends and other issues. However, the blue book provided clarity, but the Central Bank summarily cut it and 2015 is that last year for which data are available. The blue book has been replaced by a set of Solvency II data which are unintelligible, even to actuaries, and of no use from a consumer point of view. From claims up, all of the data are available. The PIAB collects the data constantly because all claims must initially go to it. It is a matter of collating the data and reporting on them, as the PIAB is well placed to do. I refer to the question about the three actions the Government should take. The actions we have suggested are granular and defined enough to be acted on because there are different people who could act on each. If the Deputy wanted something to be done before close of play this evening, I suggest the establishment of a Garda insurance fraud unit. Gardaí had reached the stage where they had met their colleagues in the United Kingdom where they looked at a similar unit, but that initiative seems to have shuddered to a halt.Everybody is in agreement that it makes sense so we are not entirely sure why it has shuddered to a halt. That would be number one. Number two would be asking the Judiciary to express why judges are going beyond the book of quantum in the context of general damages. I want to emphasise here that we are always looking at protecting the plaintiff on this, so we are not talking about special damages, which are for loss of earnings or other expenses. We are talking about very specific general damages which apply in cases of injury. They are measured in the book of quantum but they are constantly being overruled in the courts. We cannot and do not want to interfere with the role of the Judiciary in this country but we want an explanation when the book of quantum is breached. The Insurance Ireland-IBEC protocol on dealing with claims is absolutely dogging the entire small and medium enterprise sector at the moment. Ms Reid will probably say the same in a moment. I refer to claims being settled without any consultation with policyholders. It is a matter of natural justice and it is creating a fog in this area, which makes it very difficult to find out what is going on because there is so little transparency on the part of the insurance companies. The protocol is there. It has been properly parsed and written. I assume it has been legally vetted because it was signed off and agreed by Insurance Ireland's predecessor in 2003. It is just a matter of them getting off their asses, if members will excuse my expression, and implementing it again because nothing has changed between then and now that might bar us from using it.
#MauriceQuinlivan	unknown-#MauriceQuinlivan-party	unknown-#MauriceQuinlivan-dob	unknown-#MauriceQuinlivan-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	11	I will return to the issue of transparency for a moment. At the meeting I attended in Limerick - I understand the same issues were raised in Galway and Cork as well - people gave specific examples of where they did not even know there was a claim against them until their policy was due for renewal. Do the witnesses have any examples of that?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	12	No more than Mr. McCambridge, I am not accustomed to public speaking. I joined the Alliance for Insurance Reform out of frustration with insurance. From 2016 to 2017, for example, I saw my insurance double. When I asked for an explanation, the only one I was given was that the market was rising. The most recent incident I had was a claim back in 2011 when a number of false allegations were made and on the day the matter was contested, it was discovered that the allegations were false. I believed the case had gone away until recently when I received a letter from a solicitor who allegedly acted on my behalf and, to my shock, he was looking for payment for that. Another shock I got was when I was told the case was settled for €40,000 plus costs. I was totally unaware of that and kept completely in the dark. I had no voice although I am the policyholder.
#JamesLawless	unknown-#JamesLawless-party	unknown-#JamesLawless-dob	unknown-#JamesLawless-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	13	I welcome the witnesses. It was good to listen to their presentation. I congratulate them on setting up the group and on coming before us to engage in respect of this issue. When one is trying to run a business, one has enough things to do in terms of one's shopfront or backyard without having to lobby or advocate for changes in legislation. I understand that the frustration they experienced led the witnesses to this point. The same is true of those in the Gallery. I read with interest about the number of stakeholders and component groups involved in the alliance; it is quite a significant body that is represented. It great to have the group before us. The points addressed in the presentation all appear to be very sound and reasonable. Is it a ten-point plan? I hope we can progress the points in some shape or form, either at the committee or in the Houses, because they make a lot of sense. I wish to inquire about a couple of matters. Reference was made - I have read details of this elsewhere - to sums being paid out in respect of minor injuries and other incidents without being challenged and even without the knowledge of policyholders. Ms Reid spoke about such a case. People representing businesses and employment agencies have come to see me at my constituency office to discuss workplace accidents whereby an employee is allegedly injured and when a claim comes in the insurer often settles it without contesting matters or ascertaining the details of who did what. Employers often say that claims are trumped up and that they did not get their day in court or anywhere else - such as at an employment tribunal or other forum - in order that they could thrash matters out. They often say that if they were given the choice, they would have fought it tooth and nail. However, they do not get a choice because their insurers just pay out and if they query the matter, the insurer says that is the way it is and there is nothing to do about it but pay the premium the following year. Insurers say that is how they do business. That is extremely frustrating. Business owners have come to me with such cases and I will be interested to hear the experience of the witnesses in that regard. Perhaps that comes under the point relating to the claims management companies. I have heard from people locally that there are websites and hotlines - offered through the medium of a variety of languages - people can ring in order to report accidents at work and the companies involved will chase the claims on their behalf. Such companies encourage or vet the process, which is unhelpful to say the least to the premium payer. My final point correlates to all that I have just said. I noticed that much of the documentation provided refers to rising legal costs. I appreciate that this is a factor. I will put my hand up and say that I am a lawyer, but I do not speak for the legal industry - far from it. I am not practising at present but I hear from colleagues. Does the issue go back to insurers? I am interested to find out if the supposition is correct that the lawyers are creaming it and that legal costs are driving up costs overall. Colleagues who are practising tell me that since the PIAB was set up and insurers began to do the work in-house, there is very little work for them because there is not much litigation in view of the fact that many cases do not go to trial. Barristers find that they are not weighed down with injury cases coming their way. In fact, they say it is all going to PIAB or what is increasingly common is that insurers say they will settle and that is the end of the story. That seems to be the big problem, namely, the lack of counter-challenge whether it is in the courts or through an employer having his or her say or having some forum that can hear both sides of the case. The question is how it is even cost effective for the insurers to be doing that. Perhaps the answer is that they are ripping off the person who pays the premium and that is how it is cost effective, but it just seems that if that challenge was there it might be one solution to the problem. I would be interested to hear the views of witnesses on what I have said.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2018-04-18 00:00:00	Business of Joint Committee	14	I will have a stab at responding to that question if I may. Reference was made to the prevention of claims but in fact the PIAB only handles 10% of the claims and something like 20% of them make it to court. I might not be correct in my statistics but up to 80% of cases are settled in between. In my personal case my understanding is that insurance companies are reluctant to defend, first, because of the costs of defending cases. We raised that under the heading of consistency. When cases go to court the judgments seem to be quite random. There seems to be a lack of consistency in judgments. Again, insurance companies are very reluctant to go to court because it costs so much. That is one of the reasons they push for settlements. That is what happened in our case, whereby the insurer pushed to settle rather than defending. Even though the company felt there was a case to defend it was very reluctant to go to court because of the costs. The other issue in addition to prevention is that when a case gets to court even if the insurer wins the case it is very rare that the costs will follow the plaintiff. It is generally defendants who seem to have the costs awarded to them. Again, it is one of the reasons we said we would really like to see a change. I am sorry if I am getting my sections mixed up but I think it is in section 26 that where a judge dismisses a case, it is just dismissed but nothing happens and the person walks away. That is why we are looking for an automatic referral under section 25 so that the Garda would get involved and there would be a prosecution. We have to start preventing such claims. If someone hurts himself or herself on my premises, I, as a businessman, want to look after that person but I am afraid to do anything because he or she could claim for €70,000, €80,000 or €90,000 for hurting a finger. It is bizarre because the cost of the claim could be relatively small. When one starts to add in all the costs, however, it gets out of control and that is reflected in my premium. The system is very dysfunctional and, as a layperson, it is very hard to understand what is going on. We certainly need to prevent those kind of small, misleading - not necessarily fraudulent - but exaggerated claims.
