#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	0	I remind members and witnesses to please ensure that their mobile telephones are on flight mode or switched off for the duration of the meeting as they interfere with the broadcasting equipment even when on silent mode. The minutes of the meeting of 11 March 2021 have been circulated to all committee members. Are they agreed? Agreed. Is the European Union legislative proposal we scrutinised in private session - COM (2021) 87 - agreed? Agreed.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	1	On behalf of the committee, I welcome from Department of Education Ms Martina Mannion, assistant secretary with responsibility for the National Educational Psychological Service, NEPS, special education, social inclusion and early years education policy; Mr. Eddie Ward, principal officer, special education section; Mr. Brendan Doody, assistant chief inspector in the inspectorate division; and Mr. Eamon Murtagh, director of the planning and building unit. I also welcome Ms Mary McGrath, head of operations, National Council for Special Education, NCSE; and Ms Anne Tansey, director, NEPS. The officials are here to brief the committee on the provision of special educational needs, specifically funding and the allocation of resources, the roll-out of the school inclusion model and the role of special needs assistants, SNAs, the provision of autism services, State recognition of a broader range of intellectual disabilities and the implementation of the Education for Persons with Special Educational Needs, EPSEN, Act 2004. The format of the meeting is that I will invite Ms Mannion to make an opening statement, which will be followed by questions from the committee. Each member has a six-minute slot, which gives him or her an opportunity to question the witness and for the witness to respond. I will keep an eye on the clock and when the six minutes has concluded, I will interrupt to ensure the meeting runs smoothly. As the witnesses are probably aware, the committee will publish the opening statements on its website following the meeting. Before we begin, I remind members of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the Houses of the Oireachtas or an official either by name or in such in way to make him or her identifiable. As officials are giving evidence remotely, from a place outside of the parliamentary precincts of Leinster House, as such, they may not benefit from the same level of immunity from legal proceedings as a witness physically present does. They have already been advised of that and whether it is appropriate to take legal advice on the matter. As we have started the meeting, it is a bit late now if they have not. They are reminded of the long-standing parliamentary practice to the effect that they should not criticise or make charges against a person outside the Houses either by name or in such a way as to make him or her identifiable, or otherwise engage in speech that might be regarded as damaging to the good name of a person or entity. Therefore, if their statements are potentially defamatory in relation to an identifiable person or entity, they will be directed to discontinue their remarks by the Chair. It is imperative that they comply with all such directions.I now ask Ms Mannion to make her opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	2	I thank the Chairman and committee members. At the outset I wish to thank the committee for its invitation to officials from the Department of Education, including the National Educational Psychological Service, and from the National Council for Special Education, NCSE, to meet with its members today. With their agreement, I will share my time for the opening statement with Ms Mary McGrath, head of operations at the NCSE. We are also joined today by a number of other officials, including Mr. Eddie Ward, principal officer of the special education section, Mr. Brendan Doody, assistant chief inspector of the Department's inspectorate division, Ms Anne Tansey, director of the National Educational Psychological Service, and Mr. Eamonn Murtagh, director of the Department's planning and building unit. The committee in its invitation has set out a number of topics to discuss today, including the funding and resourcing of special education supports. The Department of Education continues to prioritise investment in supports for pupils with special educational needs. Last October, a range of new investments in the area of special education was provided for as part of the budget 2021 measures. The State, this year, will spend over €2 billion, or over 20% of its total educational budget, on providing additional supports for children with special educational needs. This represents an increase of over 50%, in total expenditure, since 2011. Budget 2021 provides for vital additional teachers and school staff in the area of special educational needs, including more than 400 extra special education teaching posts and almost 1,000 additional special needs assistants. It also provides funding for important reforms in the area of special education, such as the further roll-out of the school inclusion model. In terms of staff resources for special educational needs, the provision for 2021 delivers for mainstream classes, special classes and special schools. Four hundred additional teachers have been provided in this area for 2021, including 145 additional special education teachers being provided for mainstream schools. Special education teachers provide additional teaching support for pupils with special educational needs who are enrolled in mainstream classes. To limit the extent of allocation disruption for schools this year, in a year where there has already been a great deal of disruption due to Covid-19, the existing special education teacher allocations will be maintained for mainstream schools for the forthcoming 2021-22 school year. No school will see a reduction to its current level of special education teaching supports next year. However, additional allocations of special education teachers will continue to be made for new schools which open for the first time; developing schools which are achieving significant demographic growth; and exceptional circumstances arising in schools, pending the next re-profiling process for schools. Two hundred and thirty-five additional special class teaching posts have also been provided, which will facilitate the establishment of an additional 1,200 special class and special school placements this year. These classes will support pupils who have been assessed as requiring a special class placement for them to be able to access an education appropriate to their needs. Special classes are part of a continuum of education provision that enables students with more complex special educational needs to be educated, in smaller class groups, within their local mainstream schools. The extra teachers being provided will ensure that the new special classes, including new classes to support pupils with autism, can be opened in areas where there may be currently a shortage of provision or in areas which have been achieving significant levels of demographic growth and where additional special class placements are needed. Up to 200 new special classes are planned to be opened for September 2021 meaning that we will have over 2,000 special classes, compared to 548 special classes in 2011.Twenty-three additional teaching posts are also being provided for special schools to meet expected increases in pupil numbers in special schools due to increasing enrolments and demographic trends in 2021. Providing an appropriate school placement for every child is a top priority for the Department and the NCSE. Almost 1,000 extra SNA posts are also being provided for in 2021. The extra posts will ensure that we can continue to provide additional SNA supports for new special classes that open in 2021; new enrolments to special schools; and additional SNA allocations for mainstream schools. They are part of our planning process to develop a general allocation for allocating SNA support to mainstream schools. The provision of almost 1,000 extra SNA posts to the school system in 2021 will mean that the number of SNA posts will have increased by almost 70%, from 10,575 in 2011 to over 18,000. In addition to this planned additional investment, the Department has provided for a range of measures to support pupils during a second period of school closures, in 2021, and also to support children with special educational needs to return to school. The Department has recognised that school closures can have a particular impact on children with special educational needs and, accordingly, it has prioritised children with special educational needs for the earliest possible return to in-school teaching and provided specific guidance and supports to schools, including additional IT funding, to support continuity of learning for the affected children during the school closure period. A supplementary education programme is being provided for children with special educational needs who have missed in-person education. A significantly expanded summer education programme for children with complex special educational needs was provided last year. It aimed to prevent regression among children with special needs, and planning is under way to provide for a similar summer education programme this year. Yesterday, Monday, saw the return to in-school learning for all school students for the first time since we closed for the Christmas break. Overall, a package of more than €630 million has been provided to support the reopening of schools, including funding for personal protective equipment, additional teaching posts, sanitiser, enhanced cleaning and much more. As part of the package of supports, additional teachers have been provided to support the reopening of primary schools to provide enhanced substitution and eliminate the need to mix classes when a teacher is absent.  It is acknowledged that this has been a very challenging and demanding year for the education sector, particularly for children with special educational needs and their parents. Recognising this, the Department has sought to support the well-being of school communities during this Covid-19 period. In addition to its normal work in supporting schools and students, the National Educational Psychological Service, NEPS, has developed a range of resources to support the well-being of children and young people in line with the Department's
Wellbeing Policy Statement and Framework for Practice. These include well-being guidance, webinars and toolkits, including a targeted toolkit for school staff, Supporting the Wellbeing of Students with Special Educational Needs (SEN) Returning to School: Strategies and Resources. I thank the committee for our invitation. I will hand over to Ms Mary McGrath from the NCSE.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	3	We have exceeded the time allowed for opening statements but I will allow Ms McGrath a minute and a half in which to make a brief one. I want to give members an opportunity because we must conclude within two hours.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	4	I thank the Chairman. I have responsibility for operational matters within the NCSE. The NCSE is a statutory body responsible for providing advice and supports to parents and schools, establishing specialist education places, undertaking research, developing policy advice and providing professional learning opportunities for teachers. In 2018, the NCSE completed a comprehensive review of the SNA scheme. We recommended a school inclusion model to ensure that students get the right supports at the right time. This model includes a national SNA training programme, a national nursing scheme, more psychologists and the availability of speech and language therapists, occupational therapists and behaviour practitioners on our regional teams. A pilot project has commenced building on the positive results from the in-school and early years therapy project in 2018. The NCSE is working to recommence this project, which has been impacted by Covid-19. In 2020, we established 197 new autism special classes. There are now 1,570 special classes in place, of which 135 are early intervention, 1,000 primary and 435 post-primary autism special classes. This represents an increase of 9% at primary level and 74% at post-primary level compared with the figures for 2017.We expect to establish an additional 224 classes for 2021, an increase of more than 15% on 2020, along with a number of additional school places for students with autism. While we experience difficulties in some parts of the country in establishing special education places to meet the needs of children in the local community, schools and their patrons are generally very co-operative and respond positively to our request to establish special classes, and we thank them for this. We also provide a wide range of continuing professional development, CPD, for teachers in the area of autism. More than 35 separate seminars are delivered each year and we have responded to 519 requests for in-school support directly related to autism this year, delivering bespoke teacher professional learning in line with schools' identified needs.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	5	I thank Ms McGrath.
#JimOCallaghan	unknown-#JimOCallaghan-party	unknown-#JimOCallaghan-dob	unknown-#JimOCallaghan-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	6	I thank Ms Mannion and Ms McGrath for their opening statements. Regrettably, I want to ask questions once again about an issue that is very prominent in my constituency. It relates to the shortage of autism special classes at primary level in Dublin 4, 6 and 6W. I preface these questions by giving the committee some statistics. It is known that the average proportion of autism special class places at a national level stands at about one place for every 100 students. Unfortunately, in Dublin 4, 6 and 6W, it is seven times lower than that, with the average standing at about 0.154%. What are the proposed timelines to resolve a lack of provision in Dublin 4, 6 and 6W? The area stands out as markedly different from the rest of the country in terms of the number of ASD classes provided.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	7	In 2019, the NCSE recognised that there was a shortage of special class places in south Dublin and we advised the Department of our opinion of this. As part of our work in this area, we examined all the primary schools in south Dublin and looked at which schools would be in a position, with the available in space within their accommodation, to provide autism special classes in the short term to respond to that immediate need. We identified 39 schools spread across the various areas in south Dublin. To date, a number of these schools have opened classes, some are working to do so, while others are continuing in the process. Generally, schools respond to our requests to open special classes and are very positive in their engagement with local SENOs. It is important to recognise that some schools, particularly in built-up areas of cities, may simply have insufficient space within the school environment. It may be that the school is oversubscribed and is using all the available classrooms for classroom purposes, with no space in which to expand the school in terms of its external provision.
#JimOCallaghan	unknown-#JimOCallaghan-party	unknown-#JimOCallaghan-dob	unknown-#JimOCallaghan-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	8	I am aware of the section 37A process that applied to south Dublin. The problem is that when south Dublin is taken as an entity, the problem is not as pronounced because the percentage of ASD places per student population in south Dublin is about 0.7%. If south Dublin is narrowed down to Dublin 4, 6 and 6W, however, the figure is reduced to 0.154%. We need a more focused audit that will look at specific areas, as opposed to an audit of south Dublin in general. The objective is to allow kids to attend local schools. In respect of the section 37A process, is it a robust process that provides consistent results? Is there not an ability for a large number of primary schools to avoid engaging in the process because there will not have been site visits to the schools before a decision is made?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	9	As I said, we examined all the primary schools in south Dublin and the available space within all of them. In regard to the particular postal districts the Deputy referenced, a number of schools were identified as part of that process and some of those schools are establishing special classes for the coming school year. We continue to engage with all schools in areas where there is a continued identified shortage and to work to establish special classes in those areas.
#JimOCallaghan	unknown-#JimOCallaghan-party	unknown-#JimOCallaghan-dob	unknown-#JimOCallaghan-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	10	Ms McGrath is correct and I commend the schools involved. Star of the Sea and Scoil Mhuire will establish special classes from next September. Those schools are both in Dublin 4. I and a number of other local Deputies visited other schools in the area, for instance, the national boys' and girls' schools in Ringsend. They would be prepared to go along with this but need to be given the funding to construct ASD classrooms. What is the process for that? The two schools in question want to provide ASD classrooms and are wondering what the process is. Can it be expedited for them?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	11	We are always pleased to hear that schools want to establish special classes in response to the need in their areas. Where a school has insufficient accommodation within its existing infrastructure, it is open to it to apply to the Department of Education for additional accommodation to provide a special class.
#JimOCallaghan	unknown-#JimOCallaghan-party	unknown-#JimOCallaghan-dob	unknown-#JimOCallaghan-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	12	Can I take it that all new school building projects will include the provision of ASD classrooms?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	13	My understanding is that new school buildings will include accommodation for special classes but one of my colleagues from the Department may wish to confirm that.
#JimOCallaghan	unknown-#JimOCallaghan-party	unknown-#JimOCallaghan-dob	unknown-#JimOCallaghan-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	14	Would anyone from the Department like to come in on that question?
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	15	Do we have an official from the building section?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	16	I am from the planning and building unit. The policy is that we make provision for appropriate accommodation for special educational needs, SEN, provision at both primary and post-primary level, where the circumstances require, in any new school building that is approved.
