#MichaelMcCarthy	unknown-#MichaelMcCarthy-party	unknown-#MichaelMcCarthy-dob	unknown-#MichaelMcCarthy-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	0	Táimíd ar ais.  We are here to discuss the topic of meeting the current housing demand with representatives from Dún Laoghaire-Rathdown County Council, the Irish Council for Social Housing, Limerick City Council, the Peter McVerry Trust and Roscommon County Council.  I advise members that in order to complete the business in a timely and efficient manner questions should be brief.  Blocks of ten minutes each have been allowed for questions and replies to those questions.  Whoever is in possession in the tenth minute will asked to conclude.  Any extra information may be forwarded in writing to the member.  Those members not given ten minute slots will be allowed five minutes each.  I welcome Ms Kathleen Holohan, county manager and Mr. Tom McHugh, director of housing and community, Dún Laoghaire-Rathdown County Council; Mr. Donal McManus, executive director and Ms Kathleen McKillion, head of development, Irish Council for Social Housing; Ms Kathleen Leddin, mayor of Limerick and Ms Caroline Curley, director of services, Mr. Brian Geaney, senior executive officer, home and social development, on behalf of Limerick City Council and Limerick County Council; Mr. Pat Doyle, chief executive officer, Mr. Francis Doherty, communications and advocacy manager, Mr. Brian Friel, head of services, the Peter McVerry Trust; Mr. Martin Connaughton, mayor of Roscommon County Council and Mr. Tommy Ryan, assistant county manager of Roscommon County Council.  I also welcome Ms Christina Fannin and Ms Catherine Finlay on behalf of Roscommon County Council.  I propose taking opening statements in the order I have called witnesses, which is in alphabetical order.  I advise the witnesses that, by virtue of section 17(2)(l) of the Defamation Act 2009, witnesses are protected by absolute privilege in respect of their evidence to this committee.  If they are directed by the committee to cease giving evidence on a particular matter and they continue to so do, they are entitled thereafter only to qualified privilege in respect of their evidence.  They are directed that only evidence connected with the subject matter of these proceedings is to be given.  They are asked to respect the parliamentary practice to the effect that, where possible, they should not criticise or make charges against any person or persons or entity by name or in such a way as to make him, her or it identifiable.  Members are reminded of the long-standing ruling of the Chair to the effect that they should not comment on, criticise or make charges against a person outside the Houses or any official by name or in such a way as to make him or her identifiable.  The opening statements and any other documents submitted to the committee may be published on the committee's website at the conclusion of the meeting.   The issue of housing is of particular interest to the members of the committee.  There have been fluctuations in the housing market for many years and the demand for housing seems to be growing again, in particular, in the Dublin region.  We need to develop a housing policy which while meeting a demand in a sustainable manner also reflects the issues.  We wish to avoid at all costs the creation of another property bubble.  This is the second of a number of meetings of the committee with various stakeholders on this important topic.  We have invited various voluntary housing organisations and local authorities to engage with us on the topic.  We intend to invite representatives from both the Department of the Environment, Community and Local Government and officials from the Department of Social Protection to assist us with our deliberations.  We hope to explore the relevant issues in order to have a comprehensive exchange of views with all the stakeholders in order to compile and publish a report.  This committee is an adjunct of the Oireachtas and is not an extension of the Government.  It is a cross-party committee comprised of Members of the Dáil and Seanad.  In line with previous reports we hope to achieve a fairly good, sound, solid report based on the exchanges with all the witnesses.  I will invite the delegation from Dún Laoghaire-Rathdown County Council to make its opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	1	I thank the committee for this opportunity to make a presentation.  The council's submission has been forwarded to the committee.  The main focus of this presentation will be on meeting the current housing demand but we can answer questions on the general scheme of the Housing (Miscellaneous Provisions) Bill.  Dún Laoghaire-Rathdown County is spatially by far the smallest county in the State with a population of almost 207,000, an increase of 7,000 in the 2011 census.  The age profile in the county differs from the national average in that there are fewer people aged under 14 years and more people aged over 65 years.In common with other counties, the rate of house completion in the county has reduced significantly, from 3,000 in 2007 to only 200 in 2012. The most recent population targets suggest a requirement of 2,500 residential units per annum. There are almost 640 ha. of zoned residential land in the county, of which almost half are currently unserviced. With regard to social housing, the council manages a stock of more than 4,200 social housing units and 543 rental accommodation scheme, RAS, units, 396 of which are private rented tenancies and 147 are voluntary housing. We also have 156 dwellings leased under the various social leasing models and 76 properties have been made available on the rent-to-buy scheme. We currently have 4,319 applicants on the council social housing support list. The housing needs assessment carried out in May 2013 showed the majority of those on the list - 83% - had a general housing need, with relatively small demand for disability, homeless, Traveller specific and age related categories of need. Most of those on the list - 55% - are currently living in private rented accommodation and a further 20% are living with parents. The council uses all the various schemes available to meet demand for social housing in the county. For households not in priority position to receive an offer under the schemes, the alternative option has been to source private rented accommodation, with or without rent supplement. However, in recent years, with the recession and accompanying reduction in numbers of dwellings being completed, demand for private rented accommodation, particularly in Dún-Laoghaire-Rathdown has far exceeded supply and the rents demanded have escalated. This has had the knock-on effect of reducing the efficacy of rent supplement as a housing solution, as the rent supplement caps, which were revised in June 2013, are well below the average rent rates for family homes in the county.  The current housing demand has also been affected by an increasing number of households presenting as homeless. This has occurred for a number of reasons, including banks foreclosing and forcing sales, home owners finding themselves in unsustainable mortgage arrears, householders being unable to afford rents and rent increases and a general decrease in supply and affordability of private rented accommodation. The increase in current housing demand is caused largely by the lack of supply of dwellings. Low supply is particularly acute in Dún Laoghaire-Rathdown, as is the increase in rent rates. While the council is using all the social housing scheme options available to it, the problem will not be solved by the provision of an increase in social housing supply only. An increase in the supply of dwellings is required through restarting construction activity.  The submission circulated by the City and County Managers' Association outlines a number of options for consideration in the context of developing a more strategic and integrated approach to meet housing need, which would include all stakeholders, including financial institutions. Working in partnership with other public and private stakeholders, Dún Laoghaire-Rathdown County Council will continue to play a key role in meeting housing needs at local level, whether through direct social housing provision or alternative social housing models.  The role local authorities play in providing a broad range of housing supports to marginal communities is often unrecognised as they are often responsible for providing housing solutions where other options may have failed. Therefore, in devising any new social housing policy, it is extremely important to ensure there is clarity on the future role of local authorities to achieve a positive policy outcome. It is also necessary for policy-makers to clarify systems of prioritisation in the provision of social housing supports, specifically in terms of disability and congregated settings, medical needs, Traveller accommodation, homelessness, including the provision of supports to homeless families, residential care and the release of sexual offenders. While the new housing assistance payment arrangements may have resourcing implications for Dún Laoghaire-Rathdown County Council, the council welcomes the provisions included in the general scheme of the Housing (Miscellaneous Provisions) Bill 2014, particularly the sections dealing with procedures for termination of tenancies. We note, however, that the position regarding the protection of identities of persons giving information regarding anti-social behaviour will need detailed consideration and provisions.  Dún Laoghaire-Rathdown County Council has a strong record of working in partnership with a variety of agencies and stakeholders to deliver social housing. It is through working together that we must address the issue of meeting current housing need. 
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	2	I thank the Chairman and members for extending an invitation to the Irish Council for Social Housing, ICSH, to address the joint committee.  Rather than reading through the submission we circulated, I propose to focus on three key issues, namely, the role the non-profit sector can play in addressing housing needs, the way in which the sector has responded to the financial environment since 2008 and proposals that would assist in enabling the sector to do more to meet current housing demand.  The Irish Council for Social Housing was established in 1982 and now counts more than 270 member housing associations.  The not-for-profit sector manages 27,000 homes occupied by families, people with disabilities, older people and former homeless households.  Approximately half the housing managed by the sector is occupied by families, with the remainder focused on groups with special needs.   Housing associations are based throughout the country and the sector includes large, small and medium sized associations.  The profile of the sector is shown in Appendix 1.  Since the 1980s, the number of homes managed by the sector has increased from approximately 2,000 to approximately 27,000.  This expansion occurred as a result of increased State investment, better co-ordination of policies and the use of the sector's own resources, including financial resources, land and property and a significant voluntary input.  Housing associations have been involved in promoting good housing management for 30 years.  We have a programme in place to promote outcomes in the areas of rent collection, repairs and maintenance, voids and landlord-tenant relations.  We hope this will form part of the new regulatory framework.   In terms of the response of the voluntary housing sector since 2008, the collective output of not-for-profit housing associations reached a peak in 2009 when 2,000 new homes were completed.  This included a number of mixed tenure schemes where housing associations were involved in the management of the social housing element of mixed Part V agreements with local authorities and developers.  Since then the annual output of new social housing units by housing associations has declined to under 500.  Part of the shortfall has been filled by leasing initiatives and associated activities.    Since the downturn, capital expenditure for the sector has reduced from more than €400 million in 2008 to approximately €40 million in 2014.  This reduction has resulted in a shift from bricks and mortar to revenue based schemes.  In that context, the new mixed funding environment allows interested housing associations to raise loan finance from the Housing Finance Agency or private institutions.  While the financing arrangements provided finance for acquisitions, it has become patently obvious that the number of properties which are fit for purpose for social housing and available on the private market is negligible.  This option is no longer available.  The range of schemes in which housing associations are involved and have been actively pursuing in recent years is illustrated in appendix 2.  It includes mortgage-to-rent schemes, regeneration, refurbishment and a limited number of stock transfers.  Most of these initiatives have relied on co-operation with third parties such as property developers.  Reliance on third parties makes predicting the supply of social housing extremely difficult.    In some schemes, it has taken up to 40 weeks to secure approval for funding.  These delays in drawing down funding for schemes need to be addressed because, having invested considerable effort in the various schemes, housing associations find that the process of securing sanction takes too long in some cases.   The new regulatory framework will provide reassurance to financial institutions entering the housing sector.  A development capacity survey carried out by the ICSH in November 2013 found that members believed they had the capacity to develop more than 4,860 new homes in the next three years provided three conditions are met.  These are the introduction of a development programme with targets, a clear funding scheme with conditions and loan finance with reasonable terms.    Proposals have been made for the not-for-profit sector to take an enhanced role by working with local authorities to meet housing need.  One of the current structural deficits is the absence in the Department of a dedicated delivery unit.  Such a unit was in place until 2009 and should be reinstated to allow for better co-ordination of funding and policy arrangements to increase supply.  A development programme for the not-for-profit housing sector linked to the capital advance leasing facility, CALF, would be a more proactive mechanism to ensure supply and incentivise associations that are seeking to develop new housing projects. 
Other measures that would assist in meeting housing demand include ensuring nominations for social housing vacancies are turned around quicker.  The nominations protocol for Dublin households should also be fully implemented.  These are two short-term measures that could be activated quickly. The ICSH recognises the benefits in principle of HAP. We have previous experience of transferring 5,000 households from rent allowance to RAS, but there was no meaningful engagement with the sector. Direct deduction at source would be useful for the housing association sector. The ICSH believes the not-for-profit sector can play an increasing role in meeting housing need, notwithstanding those issues identified previously. It is essential to have a continual supply of social housing with affordable rents, as dependence on the private sector will not suffice in future. We see the increasing demand in the rental sector from other categories. I thank members for their attention and we look forward to their comments and observations.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	3	I thank the Chairman and members for the invitation to attend today.  As they already have my written submission, I will keep my remarks brief.  There is adequate land zoned to meet the housing requirements as set out in our core strategy in the county and city development plans.  It will also meet the requirements indicated in the Housing Agency's recently published document, Housing Supply Requirements in Ireland's Urban Settlements 2014-2018.  However, there is still a need for measures to encourage financial institutions to lend money to ensure more proactive private sector housing output.  Expansion of the "living in the city" tax scheme should also be considered to bring additional life to the city centre by bringing back into full use living space in our Georgian quarter.  It is also important that investment continues on public realm works to ensure an attractive city centre.  Investment in flood defences is required in a number of areas within the city to ensure that existing built land is not flooded and also to ensure that land that can be used for future housing development is protected.  The current housing waiting list for Limerick city and county has 3,843 approved applicants.  Difficulties arise in sourcing RAS properties as landlords are withdrawing from the scheme.  The void elimination programme is assisting greatly in returning vacant social properties to productive use.  Limerick City and County Councils have received approval for refurbishments of 31 units in 2014.  As of 31 January we have agreed 359 new build units with the Department of the Environment, Community and Local Government.  It is anticipated that work will commence on these projects over the next two years with all to be completed by 2017.  The council has also completed a thermal upgrade project to a selection of homes in all of the regeneration areas in 2013 and this project is being extended to include 300 homes in the current year.   The council is working in collaboration with the Department of the Environment, Community and Local Government and the Irish Council of Social Housing with a view to the approved housing bodies playing an enhanced role in the proposed delivery of housing projects outlined in the Limerick regeneration framework implementation plan.  It is important that a workable financial model comes out of this process in order that AHBs can deliver certain aspects of the regeneration implementation plan.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	4	I thank the members of the committee for inviting us here today.  They have our submission.  I wish to focus on four areas.  Throughout the last boom, record numbers of people presented as homeless.  So even in the boom we had people homeless at a time when we were building the greatest number of housing units we ever built.  We want to see more builds, but we want to include the most vulnerable and the most excluded.  The Minister of State recently announced a strategy to end long-term homelessness by 2016, which we welcome.  We believe it is achievable if the right measures are put in place.  That would ensure that the most vulnerable long-term homeless people get off the streets.  We also need a housing strategy involving new builds.  Numerous actions to create more social housing must include housing for the most vulnerable.  So it needs to be different.  Some 80% of homeless people are single individuals.  Young single males represent the highest percentage of homeless people in the country.  European evidence has shown that providing Housing First addresses complex needs.  So we need a different type of housing build; we need single-person units to be in the mix also.  A shocking number of families have become homeless lately.  As everybody is aware, the numbers have gone from 16 families in January 2013 to 48 families in January 2014.  Although we need units built for them, we do not need all the builds to be three-bedroom houses.  We need single-person units for single homeless people.  The housing strategy needs to involve the social partners, the Irish Council for Social Housing and all the approved bodies.  I note that the Minister of State's high-level working group does not contain a representative from a voluntary housing association.  It is made up of representatives of statutory bodies only.  We believe that is a bit of a loss.  Most local authority directors of housing will say that they work in partnership with voluntary housing associations and yet the high-level working group for homelessness the Minister of State has appointed does not contain a representative from a voluntary housing association.  We need a new housing strategy and that needs to involve having all the players at the table.  We welcome the Minister of State' recent announcement of capital funding for the CA scheme, which is targeted towards new builds.  The Peter McVerry Trust has some applications in on that.  We know it is oversubscribed, but acquisitions also need to form part of the equation.  New builds will take 18 months to two years to reach completion.  At the last count in November, there were 139 homeless people on the streets in Dublin.  The figures for the new homeless count are not yet published.  We expect it will have dropped slightly but expect it to still be higher than it was in spring 2013.  So we also need capital acquisitions.  The last time there was a call for the CA scheme, it was oversubscribed.  If we get capital acquisitions, the trust along with other voluntary housing associations can turn those properties around in three to four months.  So that shows the difference between acquisitions at three to four months and two years for a new build.  It is also the only time to do it as the property prices are on the rise again.  Now would be an ideal time to bring in acquisitions.  If we wait any longer we will be paying more money for them.  We need regulation of the housing market and particularly of the rental market.  In recent years as the boom was ending, the rental market was held out as a solution to end homelessness.  The rental market is swamped now, rents are rising rapidly and there is no regulation of the rental market.  The two lowest socioeconomic groupings make up the majority of homeless people.  They qualify for rent supplement, which was meant to be a temporary measure.  Most landlords will now say that they will not accept social welfare rents.  We need regulation and that needs to be linked with the Equality Authority.  People are not allowed to discriminate against somebody on the basis of religion but it is possible to discriminate against somebody for being in one of the two lowest socioeconomic groupings in the country.  We need something in the rental market to stop this discrimination against the poorest people in the country.  We need to do more to inform people of their rights and entitlements.  The Peter McVerry Trust works very closely with the Dublin Region Homeless Executive.  Working together in partnership, all the providers and the local authorities in Dublin are doing a huge amount to prevent people from losing their housing.  Landlords are informing tenants they are increasing rents by €200 with only one month's notice, knowing that if the tenants - young person, couple or family - leave that home there will be a queue of other people to fill it.  We need more prevention.  The DRHE, Threshold and Focus Ireland are developing an app and some information campaigns, informing people who feel they will not be able to come up with the rents ofwhat they can do.  They can apply and we can advocate for them to stay and argue with the landlord.  Landlords cannot simply increase rents by 25% overnight.  Evidence on the ground has shown that because people are coming from the two lowest socioeconomic groupings, they are not aware of their rights.  They may not be as educated as the landlord.  They are walking out and leaving the facility just before the next rent payment is due.  We feel we could keep them in the facility if they engage with us.  We need to cut out all evictions.  We cannot be evicting the poorest of people into homelessness.  The local authorities have recently done considerable work with partners to reduce that.  Voluntary housing agencies, such as the Peter McVerry Trust, Focus Ireland and others can do a considerable amount to work with those families with such challenges to ensure they stay in their homes.  Nobody wants anti-social behaviour next door to us, but it can be managed.  The Peter McVerry Trust has run a specialist programme for sex offenders for the past ten years.Nobody wants to live next door to a sex offender but we have managed to house sex offenders directly in the community over the past ten years. That is one of the most problematic groups. We have done that because they cannot go into emergency shelters or they would be targeted and picked on. We have managed to work with communities to do that without any major difficulties. If we can do it with such a difficult group, we can do it with anybody else. My main recommendations are prevention, an increase in the capital assistance scheme, regulation of the rental market and a housing strategy.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	5	On behalf of Roscommon County Council I thank the joint committee for the opportunity to present the position of a rural local authority on the forthcoming housing Bill and the more general topic of meeting the current housing demand.  In our submission we examined the general scheme of the Bill and compared and contrasted the proposals therein with the current legislation and practice.  Particular attention was paid to the matters of termination of tenancy, tenant purchase and the proposed housing assistance payment.  We have also summarised the estimated demand for, and supply of, housing in County Roscommon with particular reference to the demand for social housing.  Roscommon has a population of 64,000 and is the eleventh largest of the 32 counties of Ireland by area and the fifth least populous county.  It has the second lowest population density after Leitrim.  It is projected that the population of the county by 2020 will be 71,166, an increase of 6,202 persons.  The regional planning guidelines state that there are on average 2.5 people in each house and therefore 2,480 houses will be needed between now and 2020.  The housing strategy estimates that 6% of land zoned for residential use needs to be used for social housing, with 370 social houses up to 2020.  We have considered three significant operational changes in the Bill.  In respect of termination of tenancy, the council believes that engagement with the tenant at an early stage of rent arrears is critical and is the practice in Roscommon, which in most cases leads to good outcomes.  The county council welcomes the process of a tenancy warning with regard to non-payment of rent.  This legislation will provide the necessary support for this practice.  Section 62 has never been used in Roscommon with regard to anti-social behaviour because the council implements the policies and procedures as set down in its anti-social behaviour strategy which provides for the resolution of problems, mediation, multi-agency co-operation and behavioural issues with minors.  The council has carried out a detailed comparison of the proposal for incremental purchase with the previous tenant purchase schemes which is appended to our opening statement submission.  Tenant purchase has often had the effect of providing stability within a local authority estate by contributing to the mixed tenure nature of the development.  Disposal of local authority housing assets during a period of almost zero construction, however, will reduce the availability of the number of social housing units.  The introduction of the housing assistance payment, HAP, as a social housing support to assist rent supplement recipients who have a long-term housing need is welcome.  Its introduction will consolidate all forms of social housing supports within the remit of local authorities.  It is a new departure for local authorities and will take some time to implement.  The transfer of the long-term rent supplement recipients into HAP will challenge human and financial resources available to local authorities.  In Roscommon there are approximately 800 persons receiving rent supplement, approximately 513 of whom are in receipt of long-term support.  This will significantly increase the council’s responsibility from its existing 1,200 tenants and 420 rental accommodation scheme tenants.  The council has set out in its submission some observations to be considered for the implementation of the scheme.
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	6	Housing waiting lists vary around the country.  The last time I saw the figures, approximately 50% of the waiting list was concentrated in three counties: Dublin, Cork and Kildare.  They are at the apex of the crisis of homelessness for families.  The experience in Dún Laoghaire-Rathdown closely matches that in my area.  Some local authorities are almost becoming homelessness agencies.  How does the council deal with families and what kind of resources does it dedicate to this?  Does it deal differently with families?  For example, are child welfare issues considered where children are involved?  There seem to be two major faults in the HAP scheme, one of which is a major resourcing issue at a time when there is an embargo.  What engagement has there been between the Department and the local authorities on that embargo in respect of workforce planning for HAP?  The Minister for Social Protection has told me that no one will be transferred from the rents unit in her Department.  One cannot magic up solutions when the ratio of staff to population differs so much throughout the country.  In theory, HAP is a good idea and would address some of the poverty traps in the rent supplement scheme that arise if people take up work, which is possibly a disincentive.  The second fault line, however, is how local authorities, particularly Limerick, which is the lead authority in this area, deal with tenants who pay under the table.  We are all aware of these tenants.  I do not know anyone in my area who is not topping up.  Is it acknowledged?  When Focus Ireland came before the committee a couple of weeks ago it said it had offered to give the names of people to show this was happening but the Department said it would withdraw rent supplement from those people, effectively making them homeless.  Focus Ireland would not do that to its own clients.  How do local authorities acknowledge something that is not acknowledged and deal with it in respect of HAP?  We need to write a report on this issue.  I am surprised that the mix of private, direct local authority provision of social housing and the not-for-profit sector is not included in the high level committee.  It will be necessary because that is one of the areas from which funding can be drawn down.  We should include that in our report.  Dr. Michelle Norris told us there was an impediment to drawing down funding.  What is that impediment?  If 4,800 houses could be built in that sector over the next three years that would be a valuable contribution and it would be useful to us to know about the impediments.  My questions are directed at the Irish Council for Social Housing, Dún Laoghaire-Rathdown County Council, Limerick County Council and the Peter McVerry Trust in respect of the increasing number of families presenting as homeless.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	7	The non-profit sector has not been included in the steering group to develop proposals on HAP.  We feel that as a key player in the sector, in partnership with local authorities, that needs to be addressed.  We would like to be at the heart of that.  We met separately with representatives of the Department of the Environment, Community and Local Government and just a week or so ago we met the four Dublin directors of housing on how to address the current homeless problem and the high media profile issue concerning families.  We need to be part of the formal structures.  Mr. McManus in his introduction mentioned how there should be more effective use of the stock we have currently, and we are well aware of void properties in local authority stock and concerns about access to funding and resources to carry out remedial works to bring them back to use.  It is a significant issue.  The Irish Council for Social Housing, ICSH, through housing association performance management, collects data on how long it takes to let a property from when one tenant leaves to when another moves in.  We rely on the local authorities, which are the gatekeeper of all housing options, and the number one reason our member housing associations throughout the country tell us for the delay in properties being used, the number of which is rising yearly, is a delay in local authority nominations.  We need to improve the efficiency of the process on the ground to see immediate outcomes.  There is an implementation plan from the housing oversight group relating to homelessness, which will be discussed this afternoon, and there are many recommendations and proposals in there.  Part of the process must consider housing associations working in partnership with the local authority to bring stock back into use.  The funding of all these strategies must be examined, as there is much conflicting need.  The growing waiting list is evidenced by all, but some people are only there to access rent supplement, which is a major issue in itself.  There is also the national disability strategy to consider, and everybody is trying to pull from the same limited housing supply.  We have exhausted reliance on the private sector and we must get back to building.  There must be a scheme to house special needs individuals and particularly the most vulnerable homeless people, including those with a disability and elderly people, but the budget for it has been slashed by over 60% in recent years.  The capital loan and subsidy scheme, which housed families, no longer exists.  We have a big part to play and we are accessing private finance.  Members inquired about impediments.  The Housing Finance Agency has been lending to local authorities for a number of years and the ICSH has called for direct lending to housing associations.  The doors opened on that a few years ago, although it is a slow two-stage process.  Housing associations must be approved for certified borrowing status, and to date seven of the larger general needs housing associations have been granted such status.  The feedback we get from members who have applied and have not been successful - there are many, including some homeless organisations and other special needs providers - is that the approval for this status has not been granted.  We have spoken to representatives of the Housing Finance Agency with a view to almost having another tier of associations coming in with, for example, a lesser lending rate, because we need to get more associations involved.  We have heard that money is available, and initially it was only available for acquisitions but it is now available for new builds.  We welcome such movement but there is still a risk to the charitable non-profit housing associations in the initial construction phase.  It is an iterative process which takes time, although we welcome further engagement on that.
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	8	What about the Dún Laoghaire experience and the two fault lines?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	9	I can discuss how we deal with family welfare in the Dún Laoghaire context.  We do not simply put people on a list, and part of our function is to provide assistance and advice.  We do this in partnership with a number of agencies, especially Focus Ireland and Threshold.  One of our most important functions is trying to advise people about their housing position.  There is a robust and detailed assessment and placement service for families facing homelessness, and we also have a dedicated and specialised welfare section, which would have the welfare of applicants and their families to the fore.  It is very difficult for both staff and families but we try to do our best in offering advice and looking to place people in the best accommodation available.
#CatherineMurphy	unknown-#CatherineMurphy-party	unknown-#CatherineMurphy-dob	unknown-#CatherineMurphy-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	10	What about the rent cap fault lines?  How does Mr. McHugh deal with the issue of people paying for accommodation under the table when we are seeking to implement the housing assistance payment, HAP, scheme?  There is also the question of staffing and resourcing.  Is this possible without additional resourcing?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2014-05-07 00:00:00	Current Housing Demand: Discussion (Resumed)	11	My understanding is that a HAP pilot is operating in Limerick, so resource implications will depend on the outcome of the pilot's business case.  With regard to rent caps, as we indicated in the submission, the basic problem now is that demand far outstrips supply.  Until there is an increase in supply, I am not sure what other solutions there will be.
