#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	0	The purpose of today's meeting is to discuss issues impacting the taxi industry. Before we begin I want to welcome our new clerk to the committee, Iqra Zainul Abedin. Today I am pleased to welcome, on behalf of the committee, Mr. Alan Cooley, Mr. James Maguire, Mr. Philip Egan and Mr. Des Dempsey from the Irish Taxi Drivers Federation; Mr. Alan Brennan and Mr. David McGuinness from Tiománai Tacsaí na hÉireann; Mr. Kevin Barrett from the Taxi Alliance of Ireland, who is attending remotely; and Mr. Jim Waldron from the National Private Hire and Taxi Association.  Witnesses are reminded of the long-standing parliamentary practice that they should not criticise nor make charges against any person, persons or entity by name or in such a way as to make him, her or it identifiable or otherwise engage in speech that might be regarded as damaging to the good name of the person or entity. If their statements are potentially defamatory in relation to any person or entity, they will be directed to discontinue their remarks and it is imperative that they comply with any such direction.  Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the Houses or an official either by name or in such a way as to make him or her identifiable. I also remind members of the constitutional requirement that they be physically present within the confines of the Leinster House complex to participate in public meetings. I will not permit a member to participate where he or she is not able to meet this constitutional requirement. Therefore, any member who attempts to participate from outside the precincts will be asked to leave the meeting. In this regard, I ask any member participating using Microsoft Teams to confirm that he or she is on the grounds of the Leinster House campus prior to making his or her contribution. If attending in the committee room, members are asked to exercise personal responsibility to protect themselves and others from the risk of contracting Covid-19. I now invite Mr. Cooley to make an opening statement on behalf of the Irish Taxi Drivers Federation.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	1	I thank the Chairman and committee members for the invitation to speak here today. My name is Alan Cooley and I am the president of the Irish Taxi Drivers Federation. I am joined by Mr. Philip Egan, our secretary, Mr. Des Dempsey, our assistant secretary, and Mr. James Maguire, our airport representative. We are grateful for the opportunity to appear before the committee to share our views on the taxi industry. The main points we wish to discuss today are the extension of the nine-year rule, the transfer of taxi licences, credit cards, the lack of suitability centres across the country, and the Uber situation in Ireland.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	2	Thank you, Mr. Cooley. I now invite Mr. McGuinness to make an opening statement on behalf of Tiománai Tacsaí na hÉireann.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	3	I also thank the Chairman and members for the opportunity to address the committee today on issues affecting the taxi sector.At the outset of the pandemic, we requested a five-year extension of the vehicle age for all vehicles to include new vehicles with loans attached and older vehicles due to exit the sector. Currently we have an electric vehicle, EV, grant. However, stock has become a real issue. Drivers with older vehicles cannot source an electric vehicle. If the operator changes vehicle in the short term due to end of vehicle life, the vehicle purchased may not meet the criteria for the EV grant. We have requested a common-sense approach, leaving operators in existing vehicles until EVs become available. We have written to the Minister for Transport with this request and so far received no reply. It is our view the sector needs to be incorporated into the public transport system. Taxis are the only 365-days-per-year, 24-hour, door-to-door transport service. This would lead to inclusion at large-scale events, resulting in temporary taxi stands and set-down and drop-off facilities. Currently large venues throughout Dublin have no taxi stands or set-down or drop-off areas resulting in operators not offering their services at the venues. Difficulties with parking and the threat of being fined are some of the reasons operators quoted. Dublin City Council's lack of engagement with the taxi sector at major public events needs to be addressed. Tiománaí Tacsaí na hÉireann resigned its seat on the taxi advisory committee, TAC, during the early months of the pandemic. It is our view the sector should be in a negotiation position as opposed to an advisory position with the Department of Transport. We requested changes to the committee subsequent to our resignation but all were refused. Many of the proposals we submitted to the Department and the TAC were not adopted. The TAC needs to be disbanded for a national transport forum that allows all bodies that provide public transport to input positively to the transport system of Ireland. Currently licences are non-transferable except on the death of the licence holder. Up until this decision, a taxi operator saw his or her licence as a business with the opportunity to build a small business to be shared or passed on to a suitable family member and, therefore, bringing younger generations into the sector. As this is no longer possible until after death, many drivers see the licence as a way of earning a weekly wage and do not see it as a small-business opportunity.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	4	I thank the Chairman and the committee for inviting me. I am a representative of the Taxi Alliance of Ireland, operating in County Tipperary and I have worked in the industry for nearly 30 years. I will bring some of the issues forward to the Chairman. There are a large number of illegal operators throughout the country. In the past 12 months, we have had success in catching some of these individuals with the help of the Garda and National Transport Authority, NTA, enforcement officers. However, many of these illegal operators continue to work as the Garda and the NTA do not have the resources to catch all of them. One way to resolve this issue is the establishment of a transport police with the powers to deal with this issue and the resources to deal with this problem on a permanent basis. In order for more people to join the taxi industry, especially in rural Ireland, these illegal operators need to be dealt with immediately before we lose more drivers. For example, a person was caught six months ago, taken to court and prosecuted, got a €200 fine and was operating the night after. That has to be stopped. Another issue I will bring to the attention of the committee is the buy-back of taxi plates. We need to make this process easier to engage in to recruit more taxi drivers to the industry, . At present, if a driver retires or leaves the industry, the driver cannot transfer his or her small public service vehicle, SPSV, plate to another individual. If a transfer of plate and other business areas such as phone and cars were easier, it would entice people to join the industry. To provide more SPSV operators available for closing time of pubs and nightclubs, we need to get the committee to consider asking the Licensed Vintners Association to come forward with a proposal to stagger the closing times of these establishments. This would reduce the number of people looking for taxis all at once at peak times on the weekends. It would also reduce stress on taxi drivers trying to provide a service as they can become overwhelmed with people trying to get taxis at those peak times. The Taxi Alliance of Ireland is a voluntary organisation to help the SPSV industry for urban and rural Ireland. We want to our industry to be as professional as any other industry in our country. The committee should feel free to ask me any issues about the above issues.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	5	I ask that the committee forgive me if some of this is repetitive because we all have the same problems. The National Private Hire and Taxi Association, NPHTA, has met many Members of Parliament in recent times and we have made presentations, including in the audiovisual room, to try to get the extension of vehicle age limits. We are here today to highlight these ongoing issues within our industry, which are impacting on the high professional standards set over previous years. A total of 5,000 drivers are facing hardship and stress and the possibility of being forced out of our industry because of vehicle age limits. This would mean longer wait times for the public if even a small percentage of these people leave the industry. While work volumes have surged over previous months, especially at nighttime, many drivers are not in a position to borrow large sums to invest in a new electric vehicle - that is if they can find one. There are many challenges with the grant scheme and we would like a discussion on how to make it more accessible to drivers. We have had no input to the present process. Used car costs have increased 60% according to car magazines. Fuel costs have reached an all time high. Service costs have risen and use of cashless payments mean less take-home pay for drivers, despite the recent fare increase. Taxi drivers are facing the same cost-of-living challenges that all other sectors face. These conditions are screaming out for a further extension of age limits to allow drivers time to recoup losses and build a financial footing to move forward with a newer vehicle, preferably an electric one. Extension of age limits would not, and should not, lower standards. A driver with terminal illness or maybe a stroke is not allowed transfer his or her licence and must keep it active, meaning he or she must be fully licensed and insured, which obviously incurs costs at a time of no income. The driver is possibly dying and it may happen over a period of days, weeks, months or even years. Why can this licence holder not transfer the licence before death? If a licence goes into inactive status it cannot be inherited. An inherited licence must be availed of within nine months. This is a time of mourning and should be extended to at least 12 months. All taxis have to do a national car test, NCT, once or sometimes twice per year. They then must wait 48 hours before returning to the same test centre to have the taxi-suitability test carried out by the same person in the same place. This should be done at the same time and, therefore, cut down time and expense for drivers. It could all be done in one visit. Security of drivers is a continuous concern. The NPHTA, for years, has requested a garda liaison officer to work with representative bodies. Our requests continue to go unheard. The NTA should also be considering providing drivers with security systems and advice. Assaults on drivers are common in our workplace. When has the NTA ever taken a case on behalf of a taxi driver? Generally drivers just have to suck it up. Passenger security should remain a priority of law makers. Strict vetting of entrants, while this could be quicker, should not be overlooked and possibly even be strengthened. Some legislative changes are being considered at present, but it would help if there were marshalled, better-located and properly-lit taxi ranks with CCTV monitoring. This could be considered.An example is College Green, which is right beside the Temple Bar area. Rideshare, Uber-style, by unlicensed drivers should not be entertained. The safety record for this type of service shows thousands of sexual assaults by unvetted drivers who provided this service. Passenger demands must be discussed in the context of what passenger expectations are, how overall transport policy needs to be adapted and that pub opening and closing times also need to be adapted. Free access to the Dublin Port tunnel should be considered as a benefit to passengers and the environment. We recently heard about arrangements for the Garth Brooks concert. We contacted the NTA to ask what provision had been made for taxis and the response was that the coach parking and pick-up points were outside the Garda cordon and located approximately 25 minutes' walk from the stadium. We were told taxis would not be allowed inside the Garda cordon and that we could operate as normal. This highlights the lack of consideration planners have given to our sector. Taxis continue to be overlooked. No major events should be allowed to take place unless SPSVs are considered as part of the transport planning. In recent years, thousands of drivers have protested against the Taxi Advisory Committee, TAC, which continues to fail drivers. Throughout Covid it was never proactive only reactive. It took our appearance before the Covid committee to get some supports. Despite the fact that minutes are now being published, the committee is far from transparent. Lots of the matters I outlined - those that truly affect taxi drivers - should have been discussed and presented to the Minister for future support. It is as if nothing happened in the past two years. Our association believes representatives of taxi drivers should regularly meet the Minister and the NTA to promote better public transport services. Transport providers should have a forum in which to present to policymakers. I read in The
Sunday Times newspaper that the Government is to help with the challenges of the cost of living and is considering financial subsidies, grants and loans to small businesses. Taxi drivers have been overlooked in the past. Our major operating costs are insurance and purchasing a vehicle, which includes VRT and VAT. The NPHTA has partnered with Zego to keep insurance costs down for our members. Along with the vehicle age change, this is the area in which a financial intervention would be most beneficial. I ask members not to overlook us again. I would welcome questions from members.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	6	I thank Mr. Waldron. We agreed a rota system last year, whereby once committee members have spoken, we will move to non-members.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	7	We will all try not to rehash statements about the importance of taxi drivers. That is accepted. They are necessary from the point of view of education, hospitals, work and trips, as we heard. We all know what work taxi drivers have done over many years and the issues that arose with supports, in particular during the Covid period. Some of the issues mentioned are long running and still have not been addressed. The problem for the outside world is that there are not enough taxi drivers when people want a taxi. Mr. Waldron spoke about the issues drivers face, including high costs and the ten-year rule. Safety and security seem to be a major issue, in particular for the small number of drivers who are wiling to work after 12 midnight. What would a fit-for-purpose EV grant scheme look like? We all thought there would be some leeway, in particular during Covid, on the age-of-car rule, but there has not been a huge amount of give in regard to that. What would be a fair ask in that regard to put into the public domain?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	8	A fair ask in regard to the grant is that there should be enough electric vehicles to deal with the availability.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	9	That is the other problem.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	10	That would be a start. I know drivers who applied for the grant in the first phase, and a car is still not available to attach the grant to. While the grant is in place, it is of no use to drivers if the vehicles are not available. The problems the drivers are facing into are that they are driving vehicles that are coming to the end of their life under the ten-year rule.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	11	They are looking to switch to electric vehicles, which everyone wants to do, but cannot do so because there is not enough supply.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	12	Yes. The problem is that they may have to opt for a second-hand vehicle, the cost of which has exploded in the past two years.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	13	Yes, they cannot get those either.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	14	Changing to a second-hand vehicle excludes drivers from the grant for three years because, as a licensed taxi, a vehicle must be licensed for three years before a driver can avail of a grant. What drivers are being asked to do is pay out a substantial amount of money, which would exclude them from the grant they have been waiting for in the first place.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	15	The three-year rule is a problem, but if someone has bought a second-hand car, a significant amount of money will have been put into it, which means taxi drivers have committed for a number of years anyway. Leeway is needed. At the end of the day, we are talking about cars that are going to be checked and rechecked in any event.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	16	To be fair, Mr. Waldron referred to that in his opening statement.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	17	He did.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	18	At the beginning of the pandemic, we sought an extension for all vehicles because of the cost, and we do so again now. Our costs were not taken away during the pandemic. They were consistent. We still had to pay loans and insurance on vehicles that were not working. Between the four groups sitting in the room, we proposed that a five-year extension would be added to the ten-year rule so as to allow us to come out the other side of the pandemic. The issues faced by taxi drivers were not resolved the day the country opened up again. The issues that we faced over the previous three years are still there. It is hard for drivers to get loans to accompany the grants because most of us received the pandemic unemployment payment, PUP, which banks, credit unions and financial organisations do not consider as earned income. Even securing a loan over the next two years until we rebuild our personal finances will be hard. The NTA and the Department of Transport should make a decision quickly on the extension of the ten-year rule.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	19	Mr. McGuinness refers to the supply chain issue for new and even second-hand cars, the cost-of-living scenario and all the rest of it, as well as the fact that even people who have applied for grants are waiting. We are talking about a five-year extension.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	20	That is what we looked for at the start.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	21	That is a fair ask. Anybody listening in would think that sounds reasonable.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	22	Wheelchair-accessible vehicles are allowed to be 15 years old. There are vehicles the same age.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	23	There is a precedent.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	24	If I could add in a comment in regard to the grant, the grant can be up to €20,000, which is very substantial for any driver.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	25	The cost of an EV is also substantial.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	26	That is very much appreciated as well. I might add that drivers have to borrow the total amount of the cost of the car because they have to wait up to three months to receive the grant. That is a barrier in itself. A driver who wants to buy a car costing €50,000 must borrow €50,000 to buy it. That probably excludes drivers from qualifying for a loan, for example, with their local credit union. They could borrow €30,000 if the grant was more accessible or if there was a way for the NTA to guarantee the credit union that the money could be paid directly to it.
#RuairiOmurchu	unknown-#RuairiOmurchu-party	unknown-#RuairiOmurchu-dob	unknown-#RuairiOmurchu-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	27	Some means of bridging the gap is necessary. That makes sense, leaving out the supply chain issue. Let us accept the extension of the ten-year rule by an extra five years. In fairness, the three-year rule is a bit mad if someone is doing what he or she has been forced to do. The question is whether we can bridge that gap. Outside of that, is the grant scheme fit for purpose?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	28	As Mr McGuinness touched upon, the other point is that a person's licence could go inactive while he or she is waiting on the electric vehicle, EV, and that would exclude him or her from the grant. Basically, if I put a deposit on a car, I could be waiting six months. The National Transport Authority, NTA, is telling me I have the grant up until December but my licence might run out in November. What I am basically saying is that it should be allowed to be used on a licence that has expired as well so that a guy who wants to come back into the business can use an expired licence or someone who has been forced out of the business can come back in with an expired licence.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	29	Can Mr. Waldron explain the significance? For instance, if someone wants to change to an EV, how long are they waiting now?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2022-09-14 00:00:00	Issues Impacting the Taxi Industry: Discussion	30	Up to nine months.
