#CeciliaKeaveney	unknown-#CeciliaKeaveney-party	unknown-#CeciliaKeaveney-dob	unknown-#CeciliaKeaveney-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	0	Cuirim fáilte roimh an Aire, an Teachta Ó Cuív, a oifigigh, agus na Teachtaí O'Dowd agus Ó Snodaigh, a bheidh linn ar an choiste inniu. Pléifimid inniu Céim an Choiste Bhille na dTeangacha Oifigiúla. Tá súil agam go mbeidh díospóireacht maith, béasach againn. Tá córas aistriúcháin againn agus mar sin is féidir le baill a labhairt trí Ghaeilge nó trí Bhéarla.I welcome the Minister and his officials to the committee. Deputies O'Dowd and Ó Snodaigh will also join us today to consider Committee Stage of the Official Languages Bill 2002. I hope we will have a constructive, mannerly debate. We do not want contributions to be excessively lengthy, particularly if they involve repetition.We have set aside a suitable amount of time and I would like us to get through the amendments. We will sit until 2.45 p.m. with a break from 1 p.m. until 1.45 p.m. and resume at 5.15 p.m. until the Bill is finished. The amendment list circulated is provisional, pending finalisation by the printer of the printed version. The provisional list is correct in all material respects and the printed version will be circulated as soon as possible.SECTION 1.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	1	Ní fheicimid cén fáth go bhfuil tréimhse trí bliana i gceist go dtí go gcuirfí an tAcht i ngníomh. Amendment No. 1, which was ruled out of order, addressed the fact that the Bill was to come into operation within a three year period. We feel a one year period is reasonable. With the present position of the Irish language, and if this Bill is to have any positive effect, the sooner it is put into operation, the better.I do not know if this was one of the items discussed at the clandestine meeting the Minister held in Spiddal some weeks ago, when he is alleged to have made the appalling remarks that the Irish speakers of the State did not know about the Bill and that, if they did, it would not be possible to put it through. For a Government allegedly committed to openness and transparency, this sorry escapade is a sad reflection on the Government. Will the Minister tell us if the issue was addressed at that meeting or the reason he thinks a period of three years is necessary?
#FergusODowdFG	unknown-#FergusODowdFG-party	unknown-#FergusODowdFG-dob	unknown-#FergusODowdFG-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	2	Aontaím leis an Teachta O'Shea, tá trí bliana ro-fhada. Bheinn sásta dá mbeadh an tAire in ann bliain amháin nó dhá bhliain a chur isteach ina ionad. Caithfidh am faoi leith a bheith ann agus ní féidir an Bille a thógáil isteach láithreach maidin amárach ach bheadh níos lú ama níos fearr.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	3	Seard atá ráite sa mBille ná rud ar bith nach bhfuil tagtha i bhfeidhm roimhe sin, agus mura bhfuil teachta ag an Aire faoi cheann trí bliana, tiocfaidh sé isteach go huathoibritheach. Tá i gceist feidhmiú láithreach ag gníomhú faoin mBille ach rud amháin atá foghlamtha agam, ó tharla gurb é atá i gceist leis an trí bliana nó go mbiedh feidhm iomlán leis an mBille, is contúirteach an focal é "iomlán" má chuirtear sprioc-ama ró-ghairid le rud. Beidh orainn treoirlínte a ullmhú dréachtscéim le hullmhú ag comhlachtaí poiblí, rialacháin a ullmhú agus caithfimid oifig choimisinéir na dteangacha oifigiúla a bhunú. Bheadh súil agam go mbeadh go leor díofa sin déanta laistigh de bhliain - 90% b'fhéidir - agus gcás go gcuirfinnse srian san Acht, tá muid ag caint ar 100% a bheith achtaithe laistigh de bhliain. Shamhlóinn go mbeadh fadhbanna leis sin, go mbeadh sé i bhfad ró-ghasta le haghaidh an iomláin. Ar ndóigh tá i gceist againn gníomhú ar an gcuid is mó láithreach.Maidir le cruinniú sa Spidéal, ní raibh aon chruinniú rúnda sa Spidéal. Mar a tharlaíonn go hiondúil agus Aire ag bualadh le heagraíochtaí, ní raibh na meáin istigh. Ba chruinniú é idir mé féin agus gach eagraíocht Gaeilge a raibh muid in ann teacht orthu, thuaidh nó theas, thoir nó thiar, Gaeltacht agus taobh amuigh den nGaeltacht - ní chruinniú rúnda a bhí ann. Is féidir liom a rá nach bhfuil an tuairisc atá ag an Teachta ar an méid a dúirt mé cruinn agus mar sin níl i gceist agam níos mó a rá faoi.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	4	Ba mhaith liom teacht ar ais chuig an phointe ar theacht i bhfeidhm an Bhille. De réir mar atá sa Bhille, tá gach seans go mbeidh an Rialtas imithe as cumhacht sula mbeidh an Bille ina iomlán i ngníomh. An bhfuil sin sásúil? Tuigim go mbeidh rudaí áirithe níos deacra ná rudaí eile a chur i ngníomh ach cén fáth go dtógfadh sé trí bliana chun an rud go léir a chur i gcrích. Chuala mé an leithscéal a bhí ag an Aire agus tuigim cuid de ach tá trí bliana ró-fhada ar fad.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	5	Ba mhaith liom a bhéimiú nach bhfuil i gceist é a ghníomhú láithreach. An t-aon rud atá i gceist anseo ná an focal "iomlán", sin rud ar bith nach bhfuil déanta ag an sprioc-dáta, tá sé i ngníomh ón lá sin. Ba cheart sin a choinneáil in intinn. Ní bheadh aon chíall go mbeimis ag teacht ar ais anseo faoi seo i gceann bliana mar go raibh 99% den rud réidh le dhul ar aghaidh agus déanta agus nach raibh 1% agus mar sin caithfimid leasú a chur ar an mBille nó ar an Acht. Caithfimid bheith an-chúramach agus sinn ag scríobh an dlí. Nuair a scríobhaimid an dlí, cíallaíonn an rud atá scríofa díreach an rud a deir sé, cíallaíonn trí bliana trí bliana gan lá níos mó agus gan aon eiscíocht. I ngáthchaint is féidir a rá go ndéanfar athrú air seo ach tá Acht criochnúil agus sé mo thaithí gur féidir tarlú go mbeadh 99% den rud déanta agus nach mbeadh ach 1% nach bhfuil déanta agus bheadh trioblóid faoi sin.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	6	Cuir i gcás go mbeadh formhór an Achta curtha i gcríoch tar éis bliana, níl aon fhadhb ann Bille gairid a thógáil isteach leis an am a leathnú ag an am sin. Ba mhaith liom go mbeadh brú ar pé Aire a bheadh ann an tAcht ina iomlán a chur i ngníomh go tapaidh agus go luath.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	7	Ní ghá an brú sin a chur orm.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	8	Ní bheidh an tAire ann go brách.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	9	Tréimhse cúig bhliain a bhíonns ag Rialtas agus níl aon chontúirt nach mbeidh an Rialtas seo ann i geann cúig bhliain so beidh an rud ar fad déanta sula bhfaighfidh an Teachta lámh air.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	10	Aontaím gur chóir go mbeadh bliain i gceist nó ar a laghad tréimhse níos lú ná trí bliana. Thiocfadh leis an Aire post nua a fháil ag deireadh na seachtaine - tarlaíonn a leithéid in aon Rialtas ó am go ham - agus d'fhéadfaí go mbeadh Aire ann nach mbeadh an bá céanna is atá ag an Aire don Ghaeilge. Sa bhealach seo, ar a laghad, dá mbeadh bliain i gceist, bheadh a fhios againn go mbeadh an tAcht i ngníomh i dtréimshe an-ghearr. Léireodh sé don domhan agus do comhghleachaithe an Aire sa Rialtas go bhfuil sé dáiríre fá seo agus gur chóir do na hAirí ar fad tacú leis, go háirithe má tá sé chun leanúint agus iacaill a chur orthu a ndualgais faoin Acht seo a dhéanamh. Mionathrú atá i gceist agus ba chóir glacadh leis. Beidh mé ag tacú leis an Teachta O'Shea má chuirfidh sé seo ar an chéad Chéim eile.
#CeciliaKeaveney	unknown-#CeciliaKeaveney-party	unknown-#CeciliaKeaveney-dob	unknown-#CeciliaKeaveney-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	11	Tá an leasú as ord.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	12	Má théann Teachtaí don Chéad Sceideal tuigfidh siad. Fuair mé comhairle go mbeidh orainn, le bheith taobh istigh den Acht, feidhmiú ar phlean a fháil, le bheith déanta laistigh de thréimhse atá luaite ann, ó chuile aon cheann acu atá sa Sceideal sin. An gceapann na baill coiste go mbeidh sin ar fad déanta? Cuid acu i dtaobh na Gaeilge, ó tharla nach mbeidh plé ag an bpobal leo, níl siad an-tábhachtach ó thaobh úsáid laethiúil na Gaeilge mar beidh mé in ann rialacháin a dhéanamh ó thaobh stáiseanóireacht agus rudaí mar sin. Ní bhíonn mórán plé ag daoine le saotharlann Stáit i gcomparáid leis an Roinn Talamhaíochta agus Bia nó an Roinn Gnóhtaí Sóisialacha agus Teaghlaigh. Ní bheadh sé réalaíoch, áfach, go gcaithfidh gach ceann acu sin bheith réidh láithreach. Tá rial ann a deir go mbíonn plé ag 80% den phobal le 20% de na heagraíochtaí sin ó lá go lá agus déanfar iad sin i dtosach. Tá muid ag caint ar an iomlán agus ní dóigh go bhfuil sé réalaíoch laistigh de bhliain. Nuair a smaoiníonn duine ar an méid oibre atá le déanamh, má tá sé le déanamh i gceart agus ní leithscéal de rud, tá súil agam go dtuigeann an coiste cén fáth go dtógfaidh sé trí bliana seo a dhéanamh.Rud a thug an-mhisneach dom sa Dáil ná an tacaíocht ó chuile pháirtí do choincheap an Bille agus níl aon amhras orm, agus ní thuigim cén fáth go bhfuil na baill chomh hamhrasach futhu féin, ná is cuma cé bheidh mar Aire Gnothaí Pobail, Tuaithe agus Gaeltachta, le freagrachtaí Gaeltachta agus Gaeilge air, go mbeidh sé chomh díograsach agus atá mé féin ag cur an rud seo i bhfeidhm. Dá mbeadh an Teachta Ó Snodaigh, an Teachta O'Shea nó an Teachta O'Dowd ina nAire, bheidís chomh díograsach liom féin i dtaobh na ceiste seo. Déarfainn an méid céanna leis an dream a bhféadfadh bheith ina nAire Gaeltachta ar an taobh seo den Teach.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	13	I move amendment No. 2:
In page 10, subsection (1), line 2, to delete "the Office of".Leasú teicniúil é seo chun na focail "Oifig Choimisinéir" a scriosadh agus "Coimisinéir a chur ina n-ionad. Mar a thuigim ó lucht dlí, ba cheart go léifeadh an Bille "Coimisinéir agus ní "Oifig an Choimisinéara" Sé an coimisinéir an duine atá ann. Fuair mé comhairle nach bhfuil na focail mar atá ceart ó thaobh dlí de.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	14	Beidh mé ag moladh leasú Uimh. 74 le go mbeidh teideal níos simplí ag an gcoimisinéir. Shíl mé go raibh "coimisinéir na dteangacha oifigiúla" agus "oifig choimisinéir na dteangacha oifigiúla" beagáinín fadálach. Ní miste dom a rá, maidir le leasú Uimh. 2, go mbeadh sé neamhiomlán ó tharla go mbeadh roinnt leasuithe eile riachtanach chun feidhm a thabhairt don leasú. Tá tagairt d'oifig choimisinéir na dteanga oifigiúla sa teideal fada in alt 20 agus sa Dara Sceideal agus bheadh leasuithe cuí riachtanach le cinntiú go mbeadh brí leanúnach le forálacha an Bhille ó thaobh na hoifige de. Ar an chúis sin, b'fhéidir go mbeadh an Teachta sásta glacadh leis an rud atá mise ag moladh faoi leasú Uimh. 74.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	15	Freagraíonn sin an cheist agus mar sin ní bhrúfaidh mé an leasú anois. B'fhéidir go dtiocfaidh mé ar ais chuige ar Chéim na Tuarascála.
#CeciliaKeaveney	unknown-#CeciliaKeaveney-party	unknown-#CeciliaKeaveney-dob	unknown-#CeciliaKeaveney-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	16	Tá leasuithe Uimh. 3 agus 5 gaolmhar agus pléifear le chéile iad.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	17	I move amendment No. 3:
In page 10, subsection (1), line 5, after "includes" to insert "a body exercising functions of a quasi-judicial nature or".Tá an leasú seo sothuigthe. Cíallaíonn "cúirt" binse fiosrúcháin ach, ina theannta sin, tá quasi judicial tribunals ann cosúil leis an Employment Appeals Tribunal. Níl siad faoi réim an Bhille agus tá mé ag iarraidh go gcuirfí isteach na focail breise "comhlacht a fheidhmíonn feidhmeanna den chineál neamhbhreithiúnach nó" a chur isteach anseo tar éis "cúirt".
#FergusODowdFG	unknown-#FergusODowdFG-party	unknown-#FergusODowdFG-dob	unknown-#FergusODowdFG-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	18	Tá leasú Uimh. 5 mar an gcéanna. Tá ceart bunreachtúil ag duine a thaobh féin d'imeachtaí cúirte a riarú go hiomlán as Gaeilge. Níl an ceart sin teoranta d'imeachtaí cúirte agus tá an leasú seo ag moladh i ndiaidh "1998" na focail "agus aon bhinse a bhfuil cumhacht aige de réir dlí ordaithe a dhéanamh a théann i bhfeidhm ar chearta pearsanta nó ar chearta maoine na bpáirtithe a thagann os a chomhair" a chur isteach.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	19	Tá miniú an-simplí ar an scéal seo de réir na comhairle atá faighte agam. Tá na focail "binsí fiosrúcháin" ann mar ní áiríonn an focal "cúirt" binsí fiosrúcháin - sin an fáth go bhfuil sin luaite go sonrach. I gcás gach rud eile atá luaite sa leasú, tá sin ar fad clúdaithe faoi fhorálacha an Bhille agus sin an fáth nach bhfuil gá leis an míniú seo - toisc go gcíallaíonn an focal "cúirt" na binsí agus na comhlachtaí, gach aon cheann acu, den sórt atá i gceist ag na baill. Sin an comhairle dlí atá faighte agam ón Ard Aigne, go bhfuil gach atá i gceist clúdaithe faoin bhfocal "cúírt" ach nach mbeadh binse fiosrúcháin de bharr an chuige a gcuirtear ar bun é clúdaithe mura mbeadh sé luaite go sonrach. Is ar an ábhar sin go bhfuil na binsí fiosrúcháin luaite agus nach gá na rudaí atá i gceist anseo a lua mar go bhfuil sé cuimsitheach cheana féin sa bhfocal "cúirt".Tá mé ag glacadh leis an bprionsobal, agus b'fhéidir nach bhfuil sé an-soiléir don té nach bhfuil an comhairle a cuireadh ormsa ar fáil aige, ach tá sé clúdaithe.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	20	Tá mé sásta glacadh leis an gcomhairle a fuair an tAire ach is deacair domsa mar duine nach bhfuil saineolas aige ar an dlí sin a thuiscint mar deir an mhír "folaíonn 'cúirt' bínse arna bhunú faoi na hAchtanna um Binsí Fiosrúcháin (Fianaise)". Ní deir sin aon rud faoi na comhlachtaí atá i gceist againn agus ní thagann siad faoi na hAchtanna seo.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	21	Ceist focail atá i gceist - tá difir idir "folaíonn" agus "cíallaíonn". An cíall atá le "cúirt", cuimsíonn sé na rudaí eile ach ní chuimsíonn sé binsí fiosrúcháin. Mar sin, caithfear an focal "folaíonn" a chur isteach chun iad sin a chlúdú. Ceist iontach teicniúil í ach is féidir glacadh leis go bhfuil an comhairle dlí is fearr faighte agam. Ceist focail agus brí focail atá i gceist agus deirtear liom go gcíallaíonn "cúirt" na rudaí ar fad atá i gceist ach nach gcíallaíonn sé binse fiosrúcháin. Tríd an fhocal "folaíonn" a chur leis, áfach, clúdaíonn sé an rud breise nach mbeadh clúdaithe faoin bhfocal "cúirt". An comhairle cinnte atá faighte agam, tá gach atá i gceist clúdaithe mar atá sé. Ní saineolaí dlí mé ach caithfidh mé glacadh leis an gcomhairle a fuair mé. Sin an míniú atá tugtha dom.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	22	Fuair mé comhairle ó dhlíodóir freisin ach tá mé sásta glacadh leis an méid atá ráite ag an Aire.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	23	Má theastaíonn ón dTeachta, seiceáilfimid arís é agus is féidir leis dhul ar ais chuig an comhairleoir dlí leis an míniú atá tugtha agam. Tá Céim na Tuarascála ann agus is féidir linn seo a phlé a thuilleadh. Ar mhaithe leis an gcoiste, léifidh mé amach go díreach an rud atá scríofa os mo chomhair:De réir na comhairle dlí atá ar fáil dom, tá míniú léiriú ar "cúirt" sa Bhille an-leathan ar fad sa méid is nach bhfuil sé uileghabhálach. I bhfocail eile, níl ráite sa míniú ach go bhfuil bínsí fiosrúcháin nach luaitear de gnáth i gcomhthéacs cúirte san áireamh. Níl cosc curtha ar bhinse nó ar chomhlachtaí den sórt atá i gceist ag an Teachta. Mura go dteastaigh uaim go mbeidh binse fiosrúcháin ar uile clúdaithe faoi fhorálacha an Bhille, ní bheadh gá leis an míniú seo toisc go gcíallaíonn an focal "cúirt" binsí agus comhlachtaí den sórt atá i gceist ag an Teachta chomh maith leis na gnáthchúirteanna. Creideann an dream a dhréacht seo go bhfuil gach rud atá i gceist ag an Teachta clúdaithe.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	24	I move amendment No. 4:
In page 10, subsection (1), line 6, to delete "1998" and substitute "2002".Is leasú teicniúil é seo. De réir comhairle dlí a fuair me, tá Achtanna eile i ndiaidh 1998 go dtí 2002 agus ar bhun theicniúil, ba cheart an leasú seo a chur isteach.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	25	I move amendment No. 6:
In page 12, subsection (1), line 4, after "Constitution" to insert "and any other language recognised for the time being as an official language for any purpose in the State".Chuir me ceist faoin ábhar seo ar an Aire ar Thráth na gCeisteanna agus ina dhiaidh sin nuair a bhí muid ag plé an Bhille ar an Dára Chéim. Tá teangacha eile sa tír nach dteangacha oifigiúla iad. Nuair a pléadh seo sa Dáil luaigh an Teachta Coveney daoine atá bodhar agus dúirt sé gur cheart ISL a ghlacadh mar theanga oifigiúil. Ar an lámh eile, tá teangacha cosúil leis an Ulster Scots ann agus aon theanga eile ag aon am a bheidh glactha ag an Stát mar theanga oifigiúil. Tá a fhios agam go bhfuil deacracht ann leis an Bhunreacht ach, mar a dúirt mé ar an Dara Chéim, in Alt 8°2 den Bhunreacht deirtear gur dara theanga oifigiúil é an Béarla, ní deirtear gurbh é an Béarla an dara theanga oifigiúil. Ní thuigim cén fáth go bhfuil sin sa mBunreacht ach de réir mo chomhairle, is féidir ISL agus Ulster Scots agus eile a chur isteach. Tá 50,000 Sínigh sa tír nach bhfuil na cearta céanna acu mar shaoránach faoin mBille seo is atá ag na daoine aga bhfuil an Béarla amháin nó an Ghaeilge agus Béarla.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	26	Measaim nach mbeidh an tAire sásta glacadh leis seo. Tá dhá theanga aitheanta sa mBunreacht agus más gá teangacha eile a aithint, go háirithe a leithéid de ISL, ba chóir sin a dhéanamh trid an Bhunreacht. Ní aontaím fá Ulster Scots, áfach, mar níl ann ach canúint cosúil le canúintí eile. D'fhéadfaí a rá gur teanga í Gaeilge Thír Chonaill nó Gaeilge na Mumhan. Tá teanga eile sa tír, cant mar shampla, má chloímid leis an dóigh atá Ulster Scots luaite mar theanga. Ba chóir go mbeidh aitheantas ón Stát do gach uile teanga atá á labhairt ach ní chóir go mbeidh siad ardaithe go dtí stádas teanga oifigiúil, mar a tharlódh dá nglacfaí leis an leasú.
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	27	Tá sé mar aidhm ag an mBille seo cur le stádas agus le húsáid na Gaeilge. Aontaím leis an méid atá ráite ag an Teachta Ó Snodaigh. Tá an Bille ag plé leis na teangacha oifigiúla mar a hionraítear sa mBunreacht iad. Is ceart aithint a thabhairt do theangacha eile agus déantar sin i gcásanna áirithe, mar shamplá i gcás dídeanaithe - tá cearta ag teifigh ó thaobh aistriúcháin. Is Bille seo atá dírithe ar na dá theangÍacha oifigiúla mar a hionraítear sa mBunreacht iad, go mór mór do stádas na Gaeilge go reachtiúil a láidriú. Ní bheidh mé ag glacadh leis an leasú seo.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	28	Tuigim sin ach tháinig an Bunreacht isteach i 1937 agus ní raibh teangacha eile ar fud na tíre mar atá anois. Tá teangacha eile ag forbairt - tá níos mó daoine ag teacht go dtí an tír le teangacha eile an t-am ar fad. Tá áit faoi leith ag an Ghaelainn mar chéad theanga oifigiúil. Tá mé ag caint faoin dara theanga oifigiúil agus tá mé ag cur na teangacha eile i gcomparáid leis an mBéarla, ní leis an Ghaelainn. Ó thaobh saoránachais de, ba cheart dúinn a chuimhniú nach raibh na teangacha eile sa tír nuair a tháinig an Bunreacht isteach agus tá eagla orm gur féidir éagóir a dhéanamh ar dhaoine éagsúla. D'fhoghlaimíonn daoine atá bodhar ISL - an féidir a rá nach teanga ó dhúchas atá i gceist anseo?Bhí an díospóireacht céanna againn nuair a bhí an Bille Craolacháin os comhair na Dála. Ní féidir seo a bhrú i leataobh agus a rá go bhfuil an Bunreacht ann agus seo mar atá sé. D'fhéadfadh an Stát teanga cosúil le ISL a ghlacadh mar theanga oifigiúil ag am éigin. Nach féidir teanga mar sin a chur faoi bhráid an Bhille dá mba rud é go n-aontódh an tOireachtas gur cheart sin a dhéanamh?
#EamonOCuiv	unknown-#EamonOCuiv-party	unknown-#EamonOCuiv-dob	unknown-#EamonOCuiv-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	29	Dá nglacfadh daoine leis an méid a dúirt an Teachta O'Shea, bheadh athrú thar a bheith bunúsach ní amháin ar an mBille seo ach ar stádas teangacha sa Stát seo. An comhairle a bheadh agam don Teachta ná go dtógfadh sé an cheist seo leis an gcoiste atá ag déanamh athmheas ar an mBunreacht. Sin an bealach ceart tabhairt faoin gceist má tá uaidh na teangacha oifigiúla a athrú sa Stát mar bheadh sé ag dul isteach sa chúldhoras ag baint úsáid as an Bhille seo sólathar do theangacha oifigiúla eile agus gan aon phlé poiblí air. Bhí an Teachta ag cur rudaí i mo leith níos túisce maidir le plé poiblí. Ní fhéadfainn glacadh leis an leasú. B'fhéidir nach drochsmaoineamh a bheadh ann go bpléfidh ceist na dteangacha i bhfóram oscailte. Tá tuiscint faoi leith agam faoi na daoine atá bodhar.
#BrianOShea	unknown-#BrianOShea-party	unknown-#BrianOShea-dob	unknown-#BrianOShea-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	30	Dúirt an tAire nach raibh aon phlé i measc an phobail ar an gceist seo ach, mar is eol dó, ní raibh mórán phlé ar an mBille i measc an phobail mar a dúirt sé ag an gcruinniú uafásach sin sa Spidéal.
#FergusODowdFG	unknown-#FergusODowdFG-party	unknown-#FergusODowdFG-dob	unknown-#FergusODowdFG-constituency	speech	unkown-language	2003-06-11 00:00:00	Prelude	31	Ní aontaím leis an Teachta O'Shea sa chás seo. Caithfimid ar meon a dhíriú ar cad atá sa mBunreacht féin - is í an Ghaeilge príomhtheanga na tíre agus tá Béarla ainmnithe freisin. Tá an córas dlí agus uile ag freastal air sin. Aontaím go gcaithfear ISL a aithint ach má théann sé go dtí an Coiste Uile-Pháirtí ar an mBunreacht, mar a dúirt an tAire, beidh sé sásta baint leis agus sin an áit seo a phlé. Caithfidh an Stát aitheantas a thabhairt d'aon dream a bhíonn ag labhairt teanga eile agus má theastaíonn scoileanna nó seirbhísí uathu, caithfear freastal orthu ach ní hé an Bille seo an áit sin a dhéanamh. We must look at these issues which must be fully discussed because minority languages must be helped in every possible way ó thaobh oideachais agus cúrsaí sláinte.Níl sé fíor nach bhfuil an Bille seo pléite. Tá mé ag caint faoi le lucht na Gaelainne, Conradh na Gaeilge agus Comhdháil Náisiúnta na Gaeilge agus le daoine as an Ghaeltacht le tamall. Bhí mé ag éisteacht le Raidió na Gaeltachta agus tá an Bille seo á phlé i ngach áit agus tá daoine sásta leis. There might not be a lot of controversy about it but tá sé an-thábhachtach go bhfuil an Bille seo ann. Seo an chéad Bhille ó thaobh na Gaeilge de óna tháinig an Bunreacht isteach so tá sé iontach tábhachtach.
