#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	0	In the absence of the Chairman and due to the unavailability of the Vice-Chairman, Deputy Paul McGrath, pursuant to Standing Order 823 I now call for nominations for the position of temporary Chairman.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	1	I propose Deputy Hoctor.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	2	I second the proposal.Deputy Hoctor took the Chair.
#MarieHoctorFF	unknown-#MarieHoctorFF-party	unknown-#MarieHoctorFF-dob	unknown-#MarieHoctorFF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	3	I welcome the Minister, his officials and my colleagues.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	4	I know the Acting Chairman will tell me my amendment is out of order.
#MarieHoctorFF	unknown-#MarieHoctorFF-party	unknown-#MarieHoctorFF-dob	unknown-#MarieHoctorFF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	5	Yes.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	6	Before she does so I will explain it briefly. If any of these extra investigations take place and extra expenses are incurred by the Garda, we need to make sure we have enough resources to cover it. As things are now, the Garda is stretched to the limits. Many gardaí were brought to Dublin at the weekend for a special occasion and the countryside was virtually garda free. Fortunately, vandalism did not break out as a result.The Government establishes new powers and functions all of the time. During the years local authorities were given additional responsibilities but the necessary resources were not made available. This Bill will commit Garda resources to joint investigations. The Minister should ensure additional resources are allocated to ensure the job is done competently. We all want the job done but not at the expense of another area. My amendment would see a report prepared where the Minister would state that he was including additional resources in the annual Estimates on the basis that the Garda would need them to implement the Bill.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	7	Since the Deputy referred to the weekend's activities, I express our gratitude to, and congratulate, the Garda Síochána for the magnificent professional job it did in providing security in Dublin city for the May Day events. I thank the force for the kind and reasonable way in which its members conducted themselves and the effective way in which they confronted violence when offered to them. The country is grateful to the Garda for what it has done.I was surprised that the Deputy's amendment was ruled out of order but I am bound by the Chair.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	8	Will the Minister grant extra resources?
#MarieHoctorFF	unknown-#MarieHoctorFF-party	unknown-#MarieHoctorFF-dob	unknown-#MarieHoctorFF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	9	In the interests of clarity, amendment No. 1 proposes inserting a new section requiring the Minister to report to Government on the projected costs of operating the Bill with specific reference to the adequacy of Garda resources in that context. The effect of the amendment would be to insert a section which would require the Minister to provide information more properly obtained by other means. In addition, it appears that Deputy McGrath's intention is to seek additional Garda resources, as stated in the side note to his amendment. If the Minister were to act on this, it would have the potential to increase the charge on the Revenue arising from the Bill. The amendment must, therefore, be ruled out of order as it involves a potential charge on the Revenue and is merely declaratory in nature.
#MarieHoctorFF	unknown-#MarieHoctorFF-party	unknown-#MarieHoctorFF-dob	unknown-#MarieHoctorFF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	10	As amendment No. 3 is consequential on amendment No. 2, they will be discussed together.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	11	I move amendment No. 2:
In page 4, subsection (1), line 40, to delete "Subject to subsection (2),”.The Minister has established that the Garda Commissioner is the competent authority to deal with various items under the Bill but in this section he states that in dealing with requests from other countries, the Minister is the competent body to deal with them. Why must the Minister be involved? It is better that one competent authority deals with requests and that there is direct contact between police forces rather than involving the Minister. There should be direct contact with the Garda Commissioner, not the Minister, in the interests of getting the job done.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	12	I support the amendment. Why is there not a standard competent authority across member states? Do we know who the competent authority will be in other member states and the accession countries? How many states have signed up to this legislation? It has been in gestation since 1999 and there was agreement that it would be passed by last year at the latest. How many countries still remain to pass it? Last year when the Minister was discussing the legislation for European arrest warrants, he assured us that by this month every country in the European Union would have signed it into law. At that time there were eight countries which had done so. How many have now done so? This legislation involves co-operation between the member states in an important matter but there are question marks over the sincerity of member states in passing it and the reason there should be different competent bodies.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	13	I can see how it must be painful for Deputies McGrath and Costello to deem me competent in anything.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	14	The Minister should not tempt us.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	15	I will be deemed competent.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	16	The Minister will only be "deemed" competent.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	17	As I explained when the matter arose in the other House, other member states, in accordance with their legislative or constitutional arrangements, require and have named judicial authorities rather than chiefs of police as their national competent authority for the purposes of the legislation giving effect to the framework decision. In many cases those member states which have nominated a judicial authority as their competent authority can and will refuse to send requests to or accept requests from the Garda Commissioner. Austria has named the federal Minister for the Interior as its competent authority while Italy has named the Minister for Justice and Portugal its Attorney General. For that reason, the Minister must be designated as a competent authority for the purposes of this Bill if the framework decision is to achieve its objective of combating cross-border and international crime. I do not want any extra work but we are ensuring there can be no bar to the establishment of a joint team because we fail to make adequate provision in our law for the investigation teams to be established. I have been nominated solely as the competent authority to enable us to do business with those member states which will not recognise the Garda Commissioner as an equivalent competent authority in implementing the legislation. There is nothing unusual in this approach. I am also deemed the competent authority in this and other member states in the context of dealing with mutual legal assistance arrangements. The responsibility for setting up joint investigation teams will always rest with the Garda Commissioner.On the basis of the latest information available, Britain, Portugal, Finland, Spain, Sweden and Austria have implemented the framework decision. In Austria's case, existing legislation from 1997 was amended to allow it to do so. The Netherlands, France, Belgium and Italy have almost completed their parliamentary procedures and hope to be in a position to enact legislation shortly. In Germany legislation is unnecessary, while Luxembourg and Greece have not yet transposed the decision on joint investigation teams and are only at the drafting stage.The recently appointed European Co-ordinator on Anti-Terrorism, Mr. Gijs De Vries, has indicated that he will attend the Justice and Home Affairs Council Meeting in June, effectively to issue an end of term report. He will exert significant pressure on any countries which have failed to implement the arrest warrant or this legislation. In that context, I am anxious to secure passage of this legislation as quickly as possible.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	18	In that context, is the Minister saying the Minister will be the competent authority in every member state? If not, he is saying the Minister must be the competent authority here because other states will not deal with the Garda Commissioner in that context and will not be able to handle matters unless the Minister is the competent authority. If that is the case then every member state will have to have the relevant Minister as the competent authority. If other states will not deal with the Garda Commissioner then they will not deal with his or her counterparts in some other countries.How is that going to work across all states? As the current Chairman of the Council, is this a matter the Minister will need to bring to the Council's attention in order to standardise the procedure so that warrants do not fall simply because not all of the competent authorities will deal with each other?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	19	All member states are making their legislation fully interoperable. The subsection the Deputy's amendment proposes to remove states, subject to subsection (2), the competent authority is the Garda Commissioner. However, subsection (2) provides that where the competent authority of another member state requires a request to it or from it to be made or received by a judicial authority, as a matter of its law, I should be the competent authority in regard to that matter. That is the way we operate.We do not operate judicial authorities in the same sense that they do, but if they have a system which refuses to deal with the police and requires investigative persons who are performing a different function under their constitution, I will be the corresponding body. In general terms this will make no difference. Subsection (2) was inserted purely to accommodate other state systems and make sure——
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	20	In effect, the Minister is saying it is only in special circumstance that he will be within the loop. In most circumstances it will go directly to the Garda Commissioner.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	21	Yes, that is right.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	22	On a point of information, does the Minister have the figure for the number of countries that have transposed the European arrest warrant into law?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	23	I think between 12 and 15 have done so. We are very nearly complete. Greece and Italy are the two remaining countries to do so.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	24	I presume the other ten will be busily doing the same.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	25	The other ten are required to have done so on accession.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	26	I move amendment No. 3:
In page 4, lines 44 and 45 and in page 5, lines 1 and 2 to delete subsection (2).
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	27	In the context of section 3, I raised a question on Second Stage. As far as I am concerned section 3 does not foresee conditions under which bringing other police boards onto the joint investigation teams is prohibited. The same goes for section 4. One might wonder how this would arise but it does so because the Bill contains a flawed presumption that all EU police and intelligence forces are democratically sound and can be trusted not to violate human rights.One of the issues that keeps coming up is that when legislation which has implications for human rights arises, the Minister does not check with the requirements under section 8(b) or ask human rights bodies for their opinions. He does not have to agree with their opinion but this committee should hear from such bodies as the Human Rights Commission, Amnesty International or the Irish Council for Civil Liberties. Even at this late stage I ask that such bodies be asked to come in and make their opinions known on this legislation. It is a bit late at this stage and we should have asked them before Committee Stage whether they had an opinion.Amnesty International did issue a report prior to the EU Presidency in which it pointed out that 13 of the then 15 EU member states were cited for perpetrating abuses of human rights within their own territories. I seek conditions to be laid down whereby we would not co-operate in such joint investigation teams in the event of concerns in regard to human rights. This would give the incentive to those 13 countries. I do not have figures in regard to the ten new members, but with regard to the likes of ourselves, Britain, Austria, Greece, Italy, Portugal and so on, it is important that we raise these concerns when requests are made for joint investigation teams.It might be a mechanism to encourage these countries as well as ourselves to get their house in order. I know we are taking steps through the Garda Bill which the Minister has proposed and maybe the other countries might do the same. When requested, countries should be able to produce police and documentary evidence to indicate that incidences of human rights breaches are being looked at through a human rights commission similar to our own or whatever mechanism a particular country has. We or the Minister can then be satisfied that, having taken all of the relevant matters into account, the joint investigation teams should be allowed to go ahead. I am in favour of such mechanisms going ahead but we must ensure we get them right from the start.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	28	I note the Deputy is not in favour of such mechanisms going ahead in the first place——
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	29	I concluded by saying I was in favour of such mechanisms going ahead. I also said that in press releases and on Second Stage.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	30	I am sorry, I misunderstood the Deputy. Of course complaints are made against police forces from time to time and it is for every democratic state to ensure they are properly investigated. However, we cannot have a situation whereby police co-operation in Europe fails simply because complaints are made against police forces or because a handful of people in any particular police force have behaved improperly.This is a measure to bring about co-operation between the police forces in the European Union in order to protect citizens of the European Union from transborder crime. If it ever got to the stage that the police force of any member state was hopelessly corrupt, that state can be dealt with under justice and home affairs matters. There is specific provision in the treaties for a country in those circumstances effectively to be excluded from the operation of the JHA mandate. I do not think such a situation exists in regard to any of the relevant police forces.Nothing obliges Ireland to participate in any such arrangement. It is a voluntary power. Foreign police officers will be operating or assisting in a secondary role. They will not be the primary investigators under Irish law. There is no question of them being out of control in the sense that the Garda cannot contain the issue.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	31	I hope the input from the Deputy will not delay the implementation of this. I am of the view that if we have international terrorists, criminals, drug dealers or whatever they should be dealt with by a cross-border joint investigation team. This is what this legislation proposes to set up. I welcome on board the Deputy in terms of human rights. Some of us have noted our history in recent times and I am glad Sinn Féin has come on board in terms of human rights and that people would have a right not to be persecuted, terrorised and so on. It is nice to welcome the Minister to the real world and I hope anything he will say today is not intended to delay the role this legislation can play throughout Europe.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	32	I move amendment No. 4:
In page 7, subsection (1), lines 5 to 7, to delete all words from and including "if" in line 5 down to and including "Authority" in line 7 and substitute the following:"for such periods not exceeding its duration since establishment, or if the circumstances so require, for such periods as may be agreed by the Competent Authority in consultation with the Minister".I am anxious to have an amendment inserted whereby an extension of time would not exceed the original duration set out in the agreement for an investigation or that the Minister would start afresh or come back with a new mandate for it. In other words, it should not be possible to extend the time available repeatedly but the agreement should be reviewed if it is likely to exceed its deadline with the original investigating team. The Minister might bear this in mind.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	33	I do bear it in mind but we need maximum flexibility. For instance, if a team is established for a period of one month and it becomes apparent shortly thereafter that it is required to stay in existence for four months, there is no reason to have a succession of one month extensions. It is better to leave the text as it is.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	34	I do not wish to impede an investigation in any way but I would not envisage something established for a period of one month being extended on a monthly basis. My concern is that something established for a period of one or three months would drift towards a longer period without an overall review of its progress. Instead, the team should come back for a full review to the competent authority when a request for an extension is granted in order that it does not roll on forever as can happen under the present arrangement. The Minister should undertake a review when the duration of the original agreement expires.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	35	There seems to be a fear that the Bill will impose a great strain on resources and involve a large cost to the State. Joint investigation teams de facto  are not a new phenomenon. They have been an informal feature of international co-operation for many years. The Bill is providing a structured agreed framework for establishing such teams and is needed, especially in the EU context. We could establish a joint investigation team tomorrow with anybody we like, and frequently do, but other member states of the European Union have a more hidebound approach to procedure to the effect that anything not specifically authorised and controlled by legislation cannot happen at all. We take the approach that one can do something unless it is unlawful. It is likely that the current practice of informal teams will continue and that formalisation will come into play only when it is necessary for some specific reason such as the identity of the participating police force.Joint investigation teams will be established only in exceptional circumstances. Under the Garda Síochána Bill which I have tendered, the Commissioner is becoming Accounting Officer and will in most cases be the competent authority. He will look at his budget and decide whether an investigation is a waste of money and whether he should recall his members of the team from Paris or Madrid or wherever they may be. I would prefer to leave it on a flexible basis rather than a hidebound one.Deputy McGrath may be interested to know that on 8 May 2003 the Council of Europe adopted a Council recommendation on a model agreement for setting up a joint investigation team which does not limit the periods of extension in the manner sought by him but instead provides that the expiry date stated in the agreement may be extended by mutual consent of the parties. If I were to accept his amendment, I would be running counter to the Council of Europe's recommendation on the agreed model.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	36	This recalls Alice in Wonderland, a period is unlimited when it may be extended for as long as is necessary. It seems that words mean whatever the Minister wants them to mean. This issue gives rise to the possibility of establishing a standing joint investigating committee in the manner set out with no in-built review. If the Minister sets up the committee as the competent authority, will he entrust gardaí with the responsibility of regularly monitoring it or must it come back to him to assess whether the resources and the manpower are being used properly?
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	37	On that basis the Minister said this is already happening on an informal basis over several years whereby joint investigation teams operate. Have they ever been reviewed or is there any report to the Minister on how they work, their competency, the results of their work and the resources involved in running them? Deputy Costello is right to say that from time to time such teams need to be reviewed to see exactly how they are working.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	38	Perhaps but the present flexible process works fairly well and trying to plan in advance for strict time limits and limiting the length of investigations is not necessarily beneficial. Police forces naturally tend to participate in such teams for the minimum period necessary to achieve their ends but there have been occasions when very successful investigations leading to criminal convictions have been assisted by informal joint investigation teams. I do not know whether they represent good value for money. If they produce good results, I suppose they are.The Garda Síochána is involved in 12 joint investigations, four in respect of subversive terrorist-related activity and eight in respect of serious or organised crime. One, for instance, was Operation Mainsail in 2000 into a bomb explosion at Ealing Broadway in London — a man was arrested in this jurisdiction in possession of a telephone used for the bomb warning. One person has been convicted in this jurisdiction in connection with the Omagh bombing in 1998 and a prosecution is pending in Northern Ireland. Operation Syndicate involved a group of well-known Irish criminals who were identified and discovered to be working in conjunction with criminals from the United Kingdom, Spain, the Netherlands and the United States. Drug seizures were made and eight persons were arrested in this jurisdiction as a result of that operation. Following the tragic discovery at Drinagh, County Wexford of eight bodies and five survivors in a container from Belgium, a joint investigation team was set up between the Belgian authorities and the Garda into the trafficking of human beings which has led to at least a prosecution, if not a conviction, in the Belgian courts.The joint investigation teams work. As the examples I have given demonstrate, it is a very flexible formula that handles offences ranging from drug dealing to bombing, to murder and people trafficking.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	39	The information that the Minister has just given puts flesh on the bones of the matter.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	40	It is all available in a reply to a parliamentary question if sought. To quote the Deputy's former leader, if one asks the right question, one gets the right answer.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	41	One does not always get it.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	42	It reinforces the argument that the authority's operations should be reviewed and the findings published.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	43	I do not want a situation where something falls apart due to the expiry of the time limit in circumstances where some technicality was not followed in extending it. I do not want to introduce new constraints which are unnecessary into an area which is already functioning well.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2004-05-04 00:00:00	Prelude	44	I move amendment No. 5:
