#NiallCollins	unknown-#NiallCollins-party	unknown-#NiallCollins-dob	unknown-#NiallCollins-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	0	I have tabled this question in the light of the recent terrorist attacks in Paris where a large number of people were killed. Given the fact that terrorism is global, that, whether we like it or not, Irish people have been caught up in terrorist attacks such as the one on the beach in Tunisia and that an Irish person was shot at the Bataclan theatre, does the Minister intend to introduce new measures to tackle terrorism as it impacts on us here?
#FrancesFitzgerald	unknown-#FrancesFitzgerald-party	unknown-#FrancesFitzgerald-dob	unknown-#FrancesFitzgerald-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	1	As I said in the House last week, like other open and democratic states, Ireland cannot consider itself immune from the threat posed by international terrorism. As the Deputy said, sadly, Irish people have been caught up in international terrorist attacks. The current assessment of the threat to Ireland from this source is that while an attack here is possible, it is unlikely, nor is there any specific information that an attack on Ireland is planned. The level of threat from this source is kept under constant review by An Garda Síochána. Given that the threat is evolving, the Garda Commissioner is carrying out a review and will let me know what additional requirements may arise. European Union Justice Ministers held an emergency meeting in the week following the attacks in Paris on 13 November. Ministers were at one in seeking to progress all reasonable measures to counteract the terrorist threat. In this regard, the Council focused on several key issues, including the EU passenger name records, PNR, directive, supported by Deputies across the House, firearms, control of external borders and information-sharing of intelligence. Co-operation between the police and intelligence services is essential. Enhanced access for EU police and security services to data and intelligence-sharing has a critical role in the fight against terrorism. Our involvement with Europol and Interpol is critical in that regard. That said, opportunities which could further enhance that co-operation must be pursued. In this regard, I am determined that An Garda Síochána will have access to the Schengen information system for terrorism and criminal purposes. I have secured additional funding of €4 million for this purpose. The necessary steps in this regard will now be taken as quickly as possible by An Garda Síochána.
 Additional information not given on the floor of the House 
I also emphasised that early agreement on the EU passenger name records directive will be important to ensure law enforcement services can have access to these data, supported by a robust framework of privacy and data protection safeguards. The Council also welcomed new common European standards for deactivating firearms and enhanced efforts to tackle the smuggling of illegal weapons. The Deputy will be aware that I am rolling out a very significant programme of investment in An Garda Síochána. In terms of recruitment, I announced recently that 600 new gardaí would be recruited in 2016, bringing to a total of 1,150 the number of new gardaí to be recruited since the Garda training college was reopened in September 2014. Very significant investment has been made in the Garda fleet. At the end of October I announced a further €5.3 million for the purchase of an additional 260 Garda vehicles before the end of the year. This will bring to a total of €34 million the money that will have been invested in the Garda fleet since 2012. I have also secured very significant investment in Garda information and communications technology resources. Over the lifetime of the Government's capital investment programme, investment in Garda ICT will total €330 million. This will be essential to enhance and develop An Garda Síochána's capabilities into the future. The Garda authorities have been taking all necessary security measures and the relevant agencies here co-operate closely on any threats identified. Robust emergency planning arrangements are in place to address a large range of emergencies, from flooding to national security incidents. There is an Office of Emergency Planning situated in the Department of Defence and the Minister for Defence chairs the Government’s task force on emergency planning which meets regularly. Planning arrangements for a range of emergencies are co-ordinated in this framework.
#NiallCollins	unknown-#NiallCollins-party	unknown-#NiallCollins-dob	unknown-#NiallCollins-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	2	I thank the Minister for her reply. In the past two weeks some people have expressed surprise that the Minister has not attended meetings of the National Security Committee. I appreciate that political attendance at these meetings has not been a feature until this point. However, some people have expressed surprise that neither the Minister nor the Taoiseach has attended these meetings or even insisted on attending them. I tabled a number of parliamentary questions about the capacity of An Garda Síochána in this regard. One of the replies threw up the information that An Garda Síochána did not keep a record of the number of officers in the force who could speak languages that might be useful in monitoring the overseas terrorist threat. Will the Minister comment on that issue? The Minister said she believed a threat was possible but unlikely. We have no reason to disbelieve her. However, there is no way of corroborating, examining or informing ourselves more on the level of threat. What is the position of the Minister and the Government on having the matter of security examined by the Oireachtas or one of its committees? In the United Kingdom Parliament the Intelligence and Security Committee was established under the Intelligence Services Act 1994 to examine policy, administration and expenditure on the Security Service, the Secret Intelligence Service and Government Communications Headquarters. It was reformed and amended by an Act of the UK Parliament in 2013. Will the Minister, on behalf of the Government, comment on the capacity of the Oireachtas to examine security related issues? As she is aware, we do not have and have not had an opportunity heretofore to question, for example, the Garda Commissioner about them. There has been no political oversight or input.
#FrancesFitzgerald	unknown-#FrancesFitzgerald-party	unknown-#FrancesFitzgerald-dob	unknown-#FrancesFitzgerald-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	3	An Garda Síochána and the Defence Forces have long experience of dealing with dissident activity in this country and, unfortunately, continue to have to use that expertise. For decades they have had to develop a level of expertise in explosives which continue to be placed by dissidents under cars in this jurisdiction. The Deputy will have seen arrests in recent months. He will also have seen cases before the Special Criminal Court. He will understand there is ongoing contact with the PSNI where the level of threat remains severe. The professionals in both An Garda Síochána and the Defence Forces have built up considerable experience in dealing with terrorism. The new feature is its international dimension and the willingness of those involved to act as suicide bombers. This is extremely challenging internationally, as is the phenomenon of returned fighters. When the Paris attacks happened, the strategic command and control centre of An Garda Síochána swung into action immediately. On the Friday evening An Garda Síochána was in touch with its international counterparts. I spent a number of hours being briefed on the Saturday afternoon. The National Security Committee has been operated between officials. The Taoiseach calls his own meetings of Ministers to discuss the information coming from that committee and to bring Ministers together to examine these important issues.  On access to language skills, the Garda Commissioner has informed me that gardaí have access to all of the language skills and resources they require to enable them to support their operational activities in dealing with persons who may be a cause of concern here.
#NiallCollins	unknown-#NiallCollins-party	unknown-#NiallCollins-dob	unknown-#NiallCollins-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	4	There has been recent reportage on the number of people who may have travelled to parts of Syria or elsewhere in the Middle East to engage, potentially, in training or acts of terrorism. It has been reported that up to 30 people may have travelled. They may have been residing in Ireland and may not necessarily have been Irish nationals or citizens. Will the Minister give us an overview of this issue? Does she know the number involved? How big a complement are we talking about who are potentially engaged in these activities?
#FrancesFitzgerald	unknown-#FrancesFitzgerald-party	unknown-#FrancesFitzgerald-dob	unknown-#FrancesFitzgerald-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	5	The figure in the public arena is that approximately 30 to 40 people are known to have travelled to an area generally described as a conflict theatre which includes Syria and Iraq. On their exact behaviour once they leave the country, it is known across Europe that many travel to Syria and Iraq by way of Turkey and other countries. As the Deputy knows, there is engagement with Turkey on the security issues that arise.An Garda Síochána would point out that people travel for a variety of reasons. Some travel for humanitarian reasons, others go to see family while a small number travel to engage more directly in the conflict. A number of people who were previously resident here, although not necessarily Irish citizens, have died abroad. Furthermore, a number of people have travelled to the conflict zone and have returned to Ireland. An Garda Síochána is very alert to any security concerns that might arise and is carefully monitoring all situations that might give rise to a threat to this country.
#PadraigMacLochlainn	unknown-#PadraigMacLochlainn-party	unknown-#PadraigMacLochlainn-dob	unknown-#PadraigMacLochlainn-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	6	My question asks why, over the course of its lifetime, the Government has not ratified the UN Convention on the Rights of Persons with Disabilities.
#AodhanORiordan	unknown-#AodhanORiordan-party	unknown-#AodhanORiordan-dob	unknown-#AodhanORiordan-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	7	The Government, as the Deputy knows, published a roadmap to Ireland’s ratification of the United Nations Convention on the Rights of Persons with Disabilities on 21 October 2015. The roadmap details the legislative changes to be undertaken to enable Ireland to ratify the convention, along with the estimated timeframe involved and a clear and unambiguous deadline for ratification by the end of 2016. As announced, the Government has inter alia approved the drafting of the equality/disability (miscellaneous provisions) Bill to make a range of miscellaneous amendments to statute law necessary to enable ratification. Work on the general scheme of this Bill is underway, with a view to submission to Government very soon. The Deputy will also be aware that we recently published a comprehensive employment strategy for people with disabilities and that we are at phase 2 of a three phase consultation process that will lead early in the New Year to the adoption of a new disability inclusion strategy. I am committed to continuous improvement where equality and human rights are concerned and the development of this new strategy is an opportunity to bring about real improvements for people with disabilities.  While clearly there is a substantial legislative agenda across a number of Departments to get through, as set out in the roadmap, and a lot of work to be done to prepare a new inclusion strategy that can have a real and measurable impact, I can assure Deputy Mac Lochlainn and the House that we have the drive and enthusiasm to get it done. I am glad that ratification of the convention is a common goal. All political parties support ratification and I am pleased that the Deputy put this issue on the agenda for discussion today. Civil society groups and stakeholders are also keen to see the convention ratified. Equality is about creating the circumstances that ensure that every individual has equal access to the enjoyment of their rights, with employment playing a central role in that regard. We will maintain the momentum on ratification of the convention, as set out in the roadmap, to make sure that the rights of all persons with disabilities will be protected in our laws.
#PadraigMacLochlainn	unknown-#PadraigMacLochlainn-party	unknown-#PadraigMacLochlainn-dob	unknown-#PadraigMacLochlainn-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	8	Prior to the last election five years ago, the then leaders of Fine Gael and the Labour Party, Deputies Enda Kenny and Eamon Gilmore were asked what their priority issue was and both said it was rights for people with disabilities, particularly the rights of families of children with special needs. This Government has repeatedly introduced legislation in a matter of weeks, with some Bills going through all Stages in a single day, but legislation that would empower and protect people with disabilities and give them tangible and clearly defined rights has not been enacted. I note what the Minister of State said about enthusiasm and energy. In fairness, the current Minister and Minister of State at the Department of Justice and Equality have been in office for just over a year and a half. However, collectively, this Government has failed to address this issue. There are only a few months left in this Government's term and I do not understand why we cannot proceed to ratify the aforementioned convention. What is objectionable within the convention? Why can we not ratify it? Is it a case of civil servants, yet again, in the ear of the Minister of State saying that there may be unknown or unforeseen consequences and urging caution instead of proceeding and doing what is right? This should have been done many years ago.
#AodhanORiordan	unknown-#AodhanORiordan-party	unknown-#AodhanORiordan-dob	unknown-#AodhanORiordan-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	9	I assure the Deputy that nobody is having a word in anyone's ear urging caution. The reality is that Ireland takes a different approach to these matters. There are many countries around the world which will ratify this convention but it will have no meaningful effect. Ireland does these things differently.This means that effectively when Ireland ratifies a convention it has material effect. Other countries can ratify it but it is a meaningless statement. Ireland signed the UN Convention on the Rights of Persons with Disabilities in 2007 and is one of three EU member states yet to ratify. I agree it has taken too long and have no difficulty in accepting that, but different countries take different approaches. We take our international obligations very seriously and we do not ratify until we can guarantee compliance. We sign conventions as a declaration of our commitment that we want to apply the convention concerned in Ireland but we ratify when we can guarantee to our international partners that we are meeting our commitments. We could ratify in the morning, but we still have a number of steps yet to take. Under the Constitution, the conduct of international affairs is the responsibility of Government, and this includes ratification of international conventions. However, the sole prerogative of legislating for the State is vested in the Oireachtas. This is also reflected in Article 29.6 of the Constitution, which states that no international agreement shall be part of the domestic law of the State, save as may be determined by the Oireachtas. That is how we do things in Ireland. When we ratify, it has meaningful import.
#PadraigMacLochlainn	unknown-#PadraigMacLochlainn-party	unknown-#PadraigMacLochlainn-dob	unknown-#PadraigMacLochlainn-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	10	My core criticism still stands. The five-year term of this Government is now almost complete. A range of legislation has been drafted, identified as a Government priority and pushed through ahead of recesses and, sometimes, pushed through all Stages on the one day. We are not going to resolve this by arguing here today. What needs to be agreed by all parties, on all sides of these Houses, is that in the term of the next Government, whatever its make-up, we collectively commit to ratification of this convention and to addressing the legislative issues, and that we give that commitment to people with disabilities and their families, as well as the disability NGOs. As the Minister of State can probably guess, it is the disability NGOs that are demanding the meetings with the political parties. They are saying that we in these Houses have failed to address these matters and, ultimately, this Government has failed. I am not saying the Minister of State or his senior colleague care less about people with disabilities than I do. However, we have to accept there has been a failure in this Government term and it cannot happen again in the term of the next Government. We cannot make people with disabilities a second, third or fourth priority. They need to go to the top of the priority list the next time.
#AodhanORiordan	unknown-#AodhanORiordan-party	unknown-#AodhanORiordan-dob	unknown-#AodhanORiordan-constituency	speech	unkown-language	2015-12-01 00:00:00	Ceisteanna - Questions	11	I can confirm the Assisted Decision-Making (Capacity) Bill will be enacted by the end of the year. While I take the Deputy's point about the ratification of the convention, I have stated the reasons that Ireland has a different approach to other countries. In terms of the equality agenda, in every area I and the Minister, Deputy Fitzgerald, deal with, from LGBT rights to people with disabilities, to Travellers and to migrant issues, employment always comes up as a central issue for all people on the edge of society who want to get involved in the mainstream. In particular, this includes dignity at work, access to the labour market and protection within work. That is why the comprehensive employment strategy was key to the Government's work in this area. If a person has a disability that does not restrict them from entering the workforce, or if a person is in the workforce and acquires a disability, the person can be a part of the workforce. We feel passionately about that, which is why we place so much emphasis on it. That is a key part of this Government's commitment to people with disabilities and will continue to be so.
