#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	0	I have received notice from Senator Fidelma Healy Eames that, on the motion for the Adjournment of the House today, she proposes to raise the following matter:The need for the Minister for Education and Skills to outline the benefits of and need for accreditation for a library-based Saturday literacy hour as a community-based, early intervention model for reluctant readers and writers.I regard the matter raised by the Senator as suitable for discussion on the Adjournment and it will be taken at the conclusion of business.
#MauriceCummins	unknown-#MauriceCummins-party	unknown-#MauriceCummins-dob	unknown-#MauriceCummins-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	1	It is proposed to take No. 1, Access to Central Treasury Funds (Commission for Energy Regulation) Bill 2011 — all Stages, with Second Stage to be taken at 2 p.m., on which the contributions of group spokespersons are not to exceed eight minutes and those of all other Senators are not to exceed five minutes, with the Minister to be called on to reply not later than 3.25 p.m., and Committee and Remaining Stages to be taken at 3.30 p.m.; and No. 13, motion No. 6 re gendercide, to be taken at 4 p.m. and conclude not later than 6 p.m.  Business will be interrupted following the Order of Business until 2 p.m.  We had to change our schedule because the Minister for Education and Skills had further amendments to draft to the Qualifications and Quality Assurance (Education and Training) Bill 2011.  The Minister withdrew the legislation on Monday and stated he would not be in a position to take it today.  I apologise for the resultant changes to the Order of Business today.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	2	Yesterday's debate on the Keane report was useful and I commend the Minister of State, Deputy Brian Hayes, for his contribution.  He made some significant remarks, giving a firm commitment that the implementation strategy to deal with mortgage arrears will be published in advance of the budget and this is welcome.  In fairness to the Minister of State, several items were put to him by all Members and I believe he will take them on board.  The gravity of the mortgage issue crosses all parties here and I was pleased with the Minister of State's contribution and interaction.I did not get an opportunity to ask the Leader about a matter which we might take up if the Minister of State, Deputy Willie Penrose, is due in the House in the coming weeks.  The Housing Finance Agency financed many affordable housing and shared ownership scheme mortgages.  For example, in the case of my county council in Fingal almost 19% of affordable housing and shared ownership mortgages are in arrears.  The county councils are not following the code of conduct applicable to other lenders.  It was outside the original code of conduct and I have anecdotal evidence from constituents not only in Fingal, but in other county councils, that mortgage holders are finding it remarkably difficult to strike deals with local authorities.  We have direct control over the local authorities and the Housing Finance Agency should be on the agenda.  I call on the Leader to find a slot to debate this in the next week or two.I note the change to the Order of Business today and fully accept that there is nothing the Leader could do about the matter with regard to the Minister for Education and Skills.  Several Members have raised the question of scrutiny of European Union legislation in recent weeks, how the Seanad could play a role in it and how we are entitled to play a role in it due to the passing of the Lisbon treaty.  I call on the Leader to pursue this.  The schedule has been light in certain weeks.  We should set aside a minimum number of days every month to consider EU directives and legislation coming down the tracks.  The House can play an important role in scrutinising such legislation.  We have done so with our Bills and the House has done well with several recent Bills and in scrutinising legislation.  We have the capacity to do so and should do so.I am pleased the Minister for Health will be in the House tomorrow.  It is timely because we have seen reports about the slow privatisation of hospitals by stealth, especially in the HSE West region, where a tender has been put out by the HSE with the agreement of the Minister to privatise the management of the Mid-Western Regional Hospital, Limerick, and University College Hospital, Galway.  Fine Gael gave this commitment in its manifesto, effectively privatising the health sector.  We are particularly concerned about this and I will ask the Minister about it tomorrow.All Members should be concerned because the Minister addressed these matters to regional Deputies and Senators late last week but no statement has been given to the House.  I will ask the Minister about it tomorrow but in my view we are creating another layer of private management consultants which, apparently, will interact and share their experience with other hospitals that will not have this private layer of management over them.  This is the start of a privatisation which has outlined the creation of Tory-style hospital trusts in the country, to which we are most opposed.  I will use the opportunity tomorrow to ask the Minister about it directly.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	3	Like Senator O'Brien I welcome the fact that we are having the health debate tomorrow but I listened with growing disbelief to his comments about creeping privatisation.  This, from a member of the party which initiated the co-location principle with Mary Harney as Minister for Health and Children, was an extraordinary comment to make——
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	4	Not really.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	5	——particularly given the commitment in the programme for Government, which is part of a common policy platform that Fine Gael and the Labour Party share, to end the two-tier health system——
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	6	It is to privatise the health system.  That is what the Government is doing.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	7	——and bring in universal health insurance and, for the first time, have an equitable and fair fundamental basis for the health system.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	8	The bearded ones in the unions are not happy with this.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	9	It was extraordinary to hear the Senator speaking about creeping privatisation.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	10	That is what it is.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	11	I renew my calls for a debate on political reform to take place in the House at some point after the referendum tomorrow.  A good deal was said about the referendum yesterday, much of it contrived controversy about the Oireachtas inquiries referendum, legislation for which was passed in the House by an overwhelming majority.  In fact, there was no vote on the Bill and I believe only three Senators voted in favour of a particular amendment.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	12	That was my one.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	13	It really was a contrived controversy.  Senator O'Donovan, who spoke yesterday, was a member of the Oireachtas Joint Committee on the Constitution.
#PaschalMooney	unknown-#PaschalMooney-party	unknown-#PaschalMooney-dob	unknown-#PaschalMooney-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	14	Senator Bacik does a great disservice to all the distinguished people——
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	15	Senator Bacik to continue, without interruption.
#PaschalMooney	unknown-#PaschalMooney-party	unknown-#PaschalMooney-dob	unknown-#PaschalMooney-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	16	——including members of her party and a former Attorney General.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	17	Senator O'Donovan was a member of the Joint Committee on the Constitution.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	18	Senator Bacik has had 24 hours to prepare something she should have said yesterday.  She obviously watched it back and realised what was said.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	19	In January the committee recommended a referendum on this issue and sought submissions from the public exactly 12 months ago, on 21 October 2010.It is also extraordinary that eminent lawyers, including former Attorneys General, are claiming that the referendum will rule out recourse to the courts for anyone who believes his or her constitutional rights has been breached by an Oireachtas committee.  That is not the case and anyone who has a doubt about it should read Professor Gwynn Morgan's excellent article in The
Irish Times today, which points out clearly that other articles of the Constitution preserve the jurisdiction of the High Court to judicially review any decision or procedures of Oireachtas committees.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	20	Are the Attorneys General contriving as well?
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	21	Those concerned about the powers of the Oireachtas should examine the 2004 Commissions of Investigation Act brought in by Michael McDowell which confers all these powers, including the power to seek a search warrant for entry to someone's home in the case of commissions of investigation.  All these powers are in place.  The legislation the Minister, Deputy Howlin, published in September mirrors the legislation from 2004.  A good deal of scaremongering is going on and many people are coming in late and jumping on a bandwagon of opposition to the referendum.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	22	That is ridiculous.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	23	I hope it will be passed.  Then we can debate how best to implement the legislation in this House in November and how to ensure we hold Ministers to account through our parliamentary committees.I offer my congratulations to Claire Loftus on her appointment as Director of Public Prosecutions.  This means for the first time the three senior legal offices in the land, the offices of DPP, the Attorney General and the Chief Justice, are held by women.  This is a significant step forward.  These are three excellent individuals on their own merits, apart from the question of gender.
#PaulBradford	unknown-#PaulBradford-party	unknown-#PaulBradford-dob	unknown-#PaulBradford-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	24	And there are no quotas.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	25	Yesterday I asked that the Minister, Deputy Alan Shatter, come to the House and state whether the Bar Council had been warned that it would be to its disadvantage in the context of its lobbying on the Legal Services Regulation Bill were it to oppose the proposal to give new powers to Oireachtas committees of inquiry.  I have received a courteous letter from the Minister and I am grateful to him for acknowledging that I set about addressing issues with honesty.  He assures me - I am happy to accept his assurance - that at no stage did he warn the Bar Council or any member of it, either expressly or implicitly, against voicing opposition to this referendum.However, I was hoping to raise the issue again because I am in a position to put the question more forensically today and I believe I ought to because it is a question on which we must hear from the Minister, not in his personal capacity but in his capacity as the responsible Minister.  Senator Bacik may be interested in this point as well.  Was it the Minister, Deputy Pat Rabbitte, or some other Labour Party Minister who warned the Bar Council or members of the council that it would be to their disadvantage and that Labour Party Ministers——
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	26	On a point of order, that is an outrageous allegation.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	27	I am asking a question and if Senator Bacik wants parliamentary inquiries, I am sure she will be happy to allow parliamentary questions.
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	28	Senator Bacik, have you a point of order to raise?
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	29	The Senator made an allegation about the Minister, Deputy Shatter, yesterday which he had to withdraw today.  Now he is making a similar allegation about the Minister, Deputy Rabbitte.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	30	That is not a point of order.
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	31	Senator, that is not a point of order.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	32	I presume he will withdraw that tomorrow when it is proved to be incorrect.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	33	First, I did not make an allegation.  I asked a question which it was my duty to do.  As I stated, I am now in a position——
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	34	Does the Senator have a question for the Leader?
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	35	I call on the Minister, Deputy Shatter, to come in and address this issue and to check with his colleagues in government.  It would be a scandal if the Minister, Deputy Rabbitte, or some other Labour Party Minister were to convey any message to members of the Bar Council that it would be to their disadvantage in terms of Labour Party Ministers' attitude to the proposed legal services legislation were they to oppose the referendum on Oireachtas committees of inquiry.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	36	That is absolute rubbish.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	37	The question remains.  It is put more forensically and I believe a Labour Party Minister or Ministers may have a question to answer.
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	38	Is the Senator proposing an amendment to the Order of Business?
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	39	I believe it is a matter which must be of concern to the Minister, Deputy Shatter, as well.  I repeat my request, with absolute respect for the Minister's bona fides in this regard, for him to come in and address this issue in the House.I acknowledge and agree with what Senator Bacik had to say about the appointment of Claire Loftus.  It is very good news and I wish her well in her job.I am disappointed the Government has seen fit to table an amendment to the Private Members' motion on gendercide.  While the amendment correctly condemns female infanticide in the strongest terms, it is a pity its authors cannot stomach the prospect of mentioning forced abortion and fatal neglect of baby girls after birth.  The motion was drawn up with a view to attracting support from all Senators and people of good will.
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	40	Does the Senator have a question for the Leader?  He can raise these points when the House discusses the motion.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	41	It has been tabled in support of Senator Jillian van Turnhout and others.  The Government has missed an opportunity in this regard.  I look forward to the contributions of members of the Government parties, as I am more hopeful they will include more favourable comments about the motion than are reflected in the Government inspired amendment.
#PaulCoghlan	unknown-#PaulCoghlan-party	unknown-#PaulCoghlan-dob	unknown-#PaulCoghlan-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	42	As there is not much difference between the motion and amendment, I expect Members will largely say the same thing.
#RonanMullen	unknown-#RonanMullen-party	unknown-#RonanMullen-dob	unknown-#RonanMullen-constituency	speech	unkown-language	2011-10-26 00:00:00	Prelude	43	The Senator is ever the peacemaker.
