#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	0	I have received notice from Senator Darragh O'Brien that, on the motion for the Adjournment of the House today, he proposes to raise the following matter:The need for the Minister for Education and Skills to reverse his decision to cut the full-time learning support teacher post at the Old Borough national school, Swords.I have also received notice from Senator Fidelma Healy Eames of the following matter:The need for the Minister for Communications, Energy and Natural Resources to clarify the reason oyster fishing licences are being refused for inner Galway Bay without prior consultation with fishermen or without reviewing available historical data.I have also received notice from Senator Marc MacSharry of the following matter:The need for the Minister for Finance to allocate emergency funding to address the coastal erosion disaster at Strandhill, County Sligo, which is posing a major threat to the integrity of the coastline.I have also received notice from Senator Paul Bradford of the following matter:The need for the Minister for the Environment, Community and Local Government to clarify whether he is considering changes to the structures of county and town councils as part of the Government's proposals on political and electoral reform.I have also received notice from Senator Brian Ó Domhnaill of the following matter:The need for the Minister for Education and Skills to clarify the reason he is targeting small rural schools for increased enrolments before the publication of the value for money review of small schools.I have also received notice from Senator Thomas Byrne of the following matter:The need for the Minister for Justice and Equality to outline proposed structural changes to An Garda Síochána in County Meath in terms of Garda district boundaries.I have also received notice from Senator Martin Conway of the following matter:The need for the Minister for Finance to include surf lessons in the 9% VAT rate that was introduced in the tourism sector as part of the jobs initiative last summer.I have also received notice from Senator David Cullinane of the following matter:The need for the Minister for Communications, Energy and Natural Resources to discuss the importance of the postal service in County Waterford and the current status of the service available to the people of Kill, County Waterford.I regard the matters raised by Senators Darragh O'Brien, Healy Eames, MacSharry, Bradford, Ó Domhnaill, Byrne and Conway as suitable for discussion on the Adjournment.  I have selected the matters raised by Senators Darragh O'Brien, Healy Eames, MacSharry and Bradford and they will be taken at the conclusion of business. The other Senators may give notice on another day of the matters they wish to raise. I regret that I must rule out of order the matter raised by Senator Cullinane as the Minister has no responsibility in this matter.
#MauriceCummins	unknown-#MauriceCummins-party	unknown-#MauriceCummins-dob	unknown-#MauriceCummins-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	1	The Order of Business is No. 1, motion of  referral of the Teaching Council Act 2001 (Amendment of Nominating Bodies) Order 2012 to the Joint Committee on Jobs, Social Protection and Education, to be taken without debate at the conclusion of the Order of Business; No. 2, Patents (Amendment) Bill 2011 — Second Stage, to be taken at the conclusion of No. 1 and conclude not later than 1.45 p.m., with the contributions of group spokespersons not to exceed eight minutes and those of all other Senators not to exceed five minutes and the Minister to be called on to reply not later than 1.35 p.m.; No. 3, statements on the Irish language, to be taken at 2 p.m. and conclude not later than 4 p.m., with the contributions of group spokespersons not to exceed eight minutes and those of all other Senators not to exceed five minutes and the Minister to be called on to reply not later than 3.50 p.m.; No. 20, motion No. 6, Private Members' business, to be taken at 4 p.m. and conclude not later than 6 p.m.; and No. 4, statements on suicide prevention (resumed), to be taken for one hour at the conclusion of Private Members' business, with the contributions of Senators not to exceed five minutes and the Minister to be called on to reply no later than ten minutes prior to the conclusion of the debate.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	2	On behalf of the Fianna Fáil Party, I convey our deepest sympathy to the families of those lost off the coast of west Cork in the recent tragedy.  I commend the search and recovery teams for the difficult task they are undertaking.I also wish to convey our sympathy to the family of the editor of the Sunday Independent, Mr. Aengus Fanning.  Not all of us would agree with everything he wrote or stood for, but we all agree that he played a major part in journalism with the most prominent Sunday newspaper.  We are all saddened by his early passing.Every week since September, I have asked when the Government will publish the mortgage arrears implementation strategy.  I learned with great interest this morning that the Minister of State, Deputy Brian Hayes, told the Irish Banking Federation that he would be asking banks to deal with their customers, given that the former have the ability to write down debt.  I remind colleagues across the House of the time when the Minister of State sat in the ministerial chair in this Chamber and made, in his own words, a bold statement to a Government party Senator to the effect that he would publish the mortgage arrears implementation strategy in advance of the 6 December budget.  It was not done.  The Minister for Finance, Deputy Noonan, was to publish it before Christmas, but that was not done either.  We are approaching the end of January.  When will the Government act on the Keane report, which the Minister has had since September?  What will the Government do about it?  Our party's position is clear, in that we should not leave the decision making on this issue to the banks.  At least 10% of mortgages in the residential market are distressed or in arrears.I watched yesterday's report on the debate in the Dáil Chamber with dismay.  The Official Report shows that the Taoiseach confirmed to the leader of my party that the cross-departmental committee which is supposed to be coming up with a position in regard to our role in Europe and the EU treaty negotiations has not even met.  I remind Members opposite that their respective parties have been in government together for almost 12 months.  It takes time to get one's feet under the desk, but it should not take a year.This is a very serious situation.  This morning we heard from RTE that the Taoiseach will tell his EU partners at the upcoming summit, without any preceding Oireachtas debate, whether we require a referendum on the proposed treaty changes.  We in this House do not even know what the Government position is in this regard.  Did the Government submit any position papers as part of the EU treaty negotiations?
#PaddyBurke	unknown-#PaddyBurke-party	unknown-#PaddyBurke-dob	unknown-#PaddyBurke-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	3	Does the Senator have a question for the Leader?
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	4	I do, and it is a very serious question.  Did the Government submit any position papers to our EU partners or is it simply sitting on the sidelines?  It becomes more apparent with each passing week that the Taoiseach is clueless in these matters and that we are simply being told by our EU partners that the treaty must be signed up to by the end of March.  The Oireachtas, on behalf of the people, should be told the Government's position.  Does it intend to use every means at its disposal to ratify a treaty which hands over sweeping fiscal powers to Europe without putting those proposals to the Irish people?
#MaryMWhite	unknown-#MaryMWhite-party	unknown-#MaryMWhite-dob	unknown-#MaryMWhite-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	5	We must have a referendum.
#DarraghOBrien	unknown-#DarraghOBrien-party	unknown-#DarraghOBrien-dob	unknown-#DarraghOBrien-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	6	Has the Government submitted position papers?  What has it said in negotiations?  Is it correct that the Taoiseach intends to tell his EU partners, instead of the Irish people, whether we require a referendum?  The proposed treaty changes have serious ramifications for the future sovereignty of this country.  We must have answers to these questions.
#IvanaBacik	unknown-#IvanaBacik-party	unknown-#IvanaBacik-dob	unknown-#IvanaBacik-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	7	I join Senator O'Brien in conveying the sympathy of the Labour Party Members to the family of the former editor of the Sunday Independent, Aengus Fanning, and to the families of the fishermen lost in the tragedy at sea off west Cork.  We all commend the bravery of the search and rescue teams and the immense solidarity and bravery of the local communities in Union Hall.I take this opportunity to commend the Oireachtas Library and Research Service for its excellent briefing on trends in the economy.  It managed to make the statistics and figures understandable and accessible.  It is important that it should provide such a service to us, particularly in light of the ongoing crisis at European level.  I note the reports today on the attempts at European level to avert default by Greece.  It is of immense concern to us all that such a default be prevented.I welcome the establishment by the Government last week of the expert group on the ABC case, in which the European Court of Human Rights found against Ireland in December 2010 in respect of our abortion law.  It is very welcome that this Government is finally grasping a nettle which previous Governments failed to grasp.  The expert group will examine how to implement the judgment and avoid future litigation against Ireland on this subject.  The group, which is made up of eminent individuals from a range of disciplines, will report within six months.  I ask the Leader to allow for a debate on that report following its publication.Will the Leader arrange for a debate on waste strategy in light of the huge concerns of Dublin residents regarding the takeover of the city's waste disposal service by a private contractor, Greyhound?  There has been immense confusion, a lack of notice to residents and the wishes of councillors has been overridden, as city managers are legally entitled to do.  The process has not been well managed and there is great concern about the need for upfront payments to Greyhound and for people to maintain money in an account before their refuse will be collected.  This could lead to a serious crisis for litter collection in the city.
#JillianVanTurnhout	unknown-#JillianVanTurnhout-party	unknown-#JillianVanTurnhout-dob	unknown-#JillianVanTurnhout-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	8	I join in the expressions of sympathy by colleagues.  Will the Leader call on the Minister for Children and Youth Affairs, Deputy Frances Fitzgerald, to come to the House to address several issues of concern to Members?  There is agreement in regard to child protection and adoption, but several outstanding issues are of great concern to me.  The first of these relates to the promised referendum on children's rights.  Concern has been expressed by various children's organisations and in the media that the amendment to the Constitution (children's referendum) Bill is included under section C of the Government's legislative programme rather than as a priority Bill under section A.  Is this a reflection of a reduced commitment to holding the referendum without delay?  I hope the Minister can provide an assurance to the House that the referendum will take place in 2012 and that she will update us and involve us in the thinking and the process to date.The delay in the construction of the national children's detention centre is a cause of great concern to me and others in this House.  The Government, like its predecessors, is acutely aware that the continued detention of children under the adult regime at St. Patrick's Institution is one of the State's most glaring violations of human rights and children's rights.  This goes back to the Whitaker report of 1985; I will not rehearse all that has been said on the subject since.  The programme for Government includes a firm commitment to end the practice of sending children to St. Patrick's Institution.  An announcement regarding the promised detention centre was expected in the capital expenditure programme, but I was extremely disappointed to discover it was not included.  I understand the situation now is that responsibility for building the detention centre has been passed to the Department of Children and Youth Affairs and that the project must be redrawn in light of current economic circumstances.  I wish to ask the Minister for a timeline for the redrawing of the costs of the project and an indication of when the project is expected to be completed.  She should inform the House of the interim measures her Department intends to put in place to ensure the boys in question are more suitably accommodated until such time as the national detention centre is operational.I am also concerned about the proposed new agency to oversee children and family services and how it will be decoupled from the Health Service Executive.  I understand plans are being drawn up in this regard; it is important that this House be involved in the development of those plans.  The report of the child death review panel was lodged with the Minister before Christmas.  Will the Leader ask the Minister to outline the panel's findings to this House?  Instead of doing so at a media launch, the Minister should give us an opportunity to discuss how we can prevent future deaths of children in the care of the State.
#FergalQuinn	unknown-#FergalQuinn-party	unknown-#FergalQuinn-dob	unknown-#FergalQuinn-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	9	Democracy is a great thing.  It is interesting to observe what is happening in France, where both a parliamentary election and a presidential election are taking place this year.  The range of proposals, suggestions, comments and criticisms that are coming though are very interesting.  Without wishing to encroach on the remit of my colleague, Senator Crown, I was fascinated by some of the proposals coming though in the area of health.  One such is the question of generic drugs.  It amazes me to see the difference between what we in this country pay for drugs compared with the prices in pharmacies in other countries.  The introduction of generics offers an immense opportunity to secure a reduction in costs and prices.Another issue being discussed in France is the cost of laboratory blood tests.  There are demands for dramatic decreases in those costs and in the fees charged by X-ray centres.  France is also attempting to introduce telemedicine.  I do not know a great deal about this but there is great potential in a technology which would enable patients to obtain a doctor's advice in certain circumstances by way of the Internet.  Another proposal is that local health authorities provide health information online.  I hope Senator Crown will comment on these issues, particularly the question of reducing costs through greater use of generic medicines.  We have been very lax in this regard and there are great benefits to be gained from enhanced competition in this area.  Such initiatives have the potential to reduce costs and to lead to a better service.
#FidelmaHealyEames	unknown-#FidelmaHealyEames-party	unknown-#FidelmaHealyEames-dob	unknown-#FidelmaHealyEames-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	10	This is the Order of Business.  I ask that the Leader request the Minister for Education and Skills, Deputy Quinn, to come to this House as soon as possible to discuss the fall-out from the budget to small rural schools, DEIS schools and careers guidance teachers, the positions of which remain unclear.  Concern in this regard is building.  We need to be honest with the people.  It might have been more honest to say there is to be a cut in the pupil-teacher ratio.Let us have a debate on the amalgamation of small rural schools.  We need clarity on this issue, in respect of which current debate is not helpful.  These cuts are proposed against the background of 99 senior academics refusing to take a pay cut at the request of the Minister, Deputy Quinn.  They are on salaries of more than €200,000 and have been asked to take a cut which would bring them down to €200,000.  This is hard to swallow bearing in mind the cuts to basic services at primary and secondary school level.  I want to know who these people are.  They are supposed to be our educational leaders.  Education is the great equaliser.  In refusing to step up to the plate and take cuts like the rest of us — I accept they work hard but so do we and we have taken cuts — they are reinforcing how unequal Irish society is.  I call on the Minister to ensure they take a cut in salary. If he needs our help, we are here. He should, if necessary, bring forward legislation to ensure they take a cut. We must all be in this together if we are to recover, not only in terms of the economy but societally. In this regard, we need our educational leaders, in particular third level top notch people, to play their part.
#TerryLeyden	unknown-#TerryLeyden-party	unknown-#TerryLeyden-dob	unknown-#TerryLeyden-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	11	I ask the Leader to again consider a resumption in the House of the Second Stage debate on the Registration of Wills Bill 2011, which is No. 17 on the Order Paper.  I do not intend the House to resume this debate unless I get some support from the Government side in this regard.  This Bill was approved by the former Leader of the House, Mary O'Rourke——
#FidelmaHealyEames	unknown-#FidelmaHealyEames-party	unknown-#FidelmaHealyEames-dob	unknown-#FidelmaHealyEames-constituency	speech	unkown-language	2012-01-18 00:00:00	Prelude	12	The Bill was discussed in the House at the end of the last session.
