#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	0	I welcome and thank members and the Minister. They are very welcome to the Select Committee on Children and Youth Affairs. The Dáil referred the affordable child care Bill 2017 to our committee on 1 February. Today's meeting of the select committee will consider the Bill on Committee Stage and report back to the Dáil. Before proceeding with the business, I remind members and those in the Public Gallery that mobile phones should be switched off completely or to aeroplane mode for the duration of this meeting as they interfere with our broadcasting systems. Even when on silent mode they tend to do so. I also remind Members of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person or body outside the House or an official either by name or in such a way as to make him, her or it identifiable. I welcome the Minister for Children and Youth Affairs, Deputy Zappone, and the officials from her Department. In advance of the Minister's opening statement, I wish to bring a matter of correspondence to the attention of the committee and the Minister because it relates to Scouting Ireland. As the Minister, Deputy Rabbitte and I will be aware, this matter entered the public domain at the end of last week. All three Members of the Oireachtas present made statements to express concern about the matter. I wish to bring it to members' attention that I received correspondence from Scouting Ireland's chief executive officer, Dr. John Lawlor, yesterday and have had conversations with him since. I have formally requested, with the agreement of members of the committee, to write to Scouting Ireland and request a copy of its child protection procedures for the consideration of this committee. I have no doubt but that this will also be circulated to the Minister. I will make arrangements for this letter to be circulated to all members of the committee because it is addressed to me as Chairman of the committee. I just wanted to put that into the public domain. Whether we consider requesting Scouting Ireland to come before us is a matter which we can consider at a later date. While we do not have compellability powers in respect of Scouting Ireland as an organisation, I have spoken with the organisation and Dr. Lawlor indicated he would not be averse to attending to discuss the matter in the future. I understand matters are under investigation within the organisation. This is no secret; Dr. Lawlor himself has put it on the public record. Therefore, we would not wish to pre-empt or predetermine any of these matters but I wanted to put that on the record for the members present because I was not able to reach a number of members last week. I was out of the country on business pertaining to another committee. I think that concludes that part.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	1	I agree with the Chairman because my understanding is that Scouting Ireland itself is undertaking a review-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	2	Correct.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	3	-----and it will take a few months. Therefore, it would probably be best, if we were to call them in, to do so afterwards-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	4	At a later stage.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	5	-----because they may come in and not be able to answer anything.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	6	I concur with Deputy Mitchell. I think for us to get involved in matters of such importance to the organisation would predetermine them. While I have the greatest of respect for members, a question might be asked in a particular way and answered in a particular way that might prejudice Scouting Ireland's internal findings on the matter.Once a copy of the child protection policy within Scouting Ireland is provided to the committee, I will circulate it to all members and the Minister. I will also copy the Minister on the letter for her information.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	7	I very much welcome the interest of the committee in the issues the Chairman has identified and raised. As the committee, I am sure, is aware I have also sought an urgent report. I welcome the interest of the committee and it can only help us move forward on the matter.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	8	I thank the Minister.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	9	I am pleased to have an opportunity to bring the Childcare Support Bill to Committee Stage. When I introduced the Bill to the House on Second Stage I was very grateful for the strong support I received from all sides of the House and the very constructive tone contained in all suggestions made. I acknowledge and thank Deputies and the Chairman for their support of the Bill and especially for the detailed attention they have given to preparing amendments. In particular, I note in advance that I am pleased to accept in principle an amendment to Schedule 2 to the Bill on the purpose of referrals for child care support from Tusla, the Child and Family Agency. Similar amendments on the issue were proposed by Deputies Rabbitte, Mitchell and Funchion. We can discuss the detail later in the meeting but I want to signal at the outset that I accept the amendments in principle and I thank the Deputies for their valuable contribution. I also want to signal in advance that I plan to propose a small number of further amendments on Report Stage. These amendments will principally involve minor changes to the Child Care Act 1991 to facilitate the registration of school-aged child care services with Tusla. As such, they result from my announcement last December that I planned to introduce the regulation and registration of school-aged child care providers during this year in order that these providers can take part in the affordable child care scheme at the outset. To achieve this outcome, I plan to propose a number of amendments to the definition of school-aged services, which are set out in the Child Care Act 1991, so as to clarify more precisely the scope of such services and to expand the definition to include children up to 15 years of age. The definition is currently limited to primary school children, and the proposed amendment will ensure it aligns instead with the age limit of 15 years as set out in the affordable child care scheme. The introduction of school-aged child care regulations will also have knock-on implications for the exemptions from registration for childminders, which are also set out in the Child Care Act at section 58L. Therefore, I intend to propose two related amendments to section 58L to ensure unintended consequences for childminders do not arise. At the same time, I want to confirm that all registered childminders will be eligible to participate in the affordable child care scheme. We will not only seek to maintain but to grow over time the number of registered childminders. The report of the expert group on childminding, which I commissioned, was submitted to me last month and will be published by the group shortly. I intend to develop an action plan setting out short-, medium- and long-term actions in response to the report to support the childminding sector on a path towards registration.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	10	I note full attendance and I thank the Deputies for their attendance. I intend to try to conclude business on this matter this afternoon. For the information of members, the following amendments are being grouped for the purposes of debate: amendments Nos. 1, 2, 6 and 22; amendments Nos. 5 and 9; amendments Nos. 8 and 26; amendments Nos. 11 and 32; amendments Nos. 12 to 14, inclusive, and 30; amendments Nos. 16 to 18, inclusive; and amendments Nos. 20, 21 and 23. As the members who proposed amendments Nos. 15, 19, 25 and 27 are aware, they have been declared out of order. Other amendments that are not grouped can be discussed individually and as all members are aware, there will be an opportunity to discuss each section. I thank the Minister for her opening remarks.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	11	Amendments Nos. 1, 2, 6 and 22 are related and may be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	12	I move amendment No. 1:In page 5, to delete line 26 and substitute the following:" "civil partner" shall be construed in accordance with section 3 of the Act of 2010;".These amendments are technical drafting amendments. Amendments Nos. 1 and 2, which clarify the definitions of "civil partner" and "cohabitant", are required by virtue of the fact that the definitions of "civil partner" and "cohabitant" in the Civil Partnership and Certain Rights and Obligations of Cohabitants Act 2010 are implicit in the sections of the Act to which the amendments refer, rather than explicit.  Amendment No. 6 to section 6 relates to the outsourcing arrangements for the school scheme administrator. While subsection (1) of amendment No. 6 allows outsourcing of functions conferred on the scheme administrator, subsection (2) specifies that these functions may include the making of payments. However, in subsection (2) there are no particular specified payments to which "the payments" refers. Amendment No. 6, which is purely a drafting amendment, therefore proposes to delete the word "the". Amendment No. 22 is also a technical drafting amendment to provide clarity that the child to whom the paragraph refers is the child for whom an application is being made for financial support under the scheme.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	13	I liked the original wording on line 29, which states, "two persons who are married to each other". Perhaps the Minister will clarify the reason for this change as the section as drafted seemed reasonable and in keeping with the idea of simplifying the language around legislation.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	14	Whereas I appreciate the Deputy's sentiment the phrasing used in the published Bill would be appropriate if the definitions in the 2010 Act took the form of '"X" means etc.'.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	15	I thank the Minister.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	16	I move amendment No. 2:In page 5, to delete line 27 and substitute the following:" "cohabitant" shall be construed in accordance with section 172(1) of the Act of 2010;".
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	17	I move amendment No. 3: In page 6, lines 2 to 4, to delete all words from and including "at" in line 2 down to and including "section 15" in line 4.This amendment ensures that the definition of a couple and, therefore, of a partner, continues to apply at all relevant times and not just at the two points in time specified in the published Bill, namely, when making an application or when commencing payments. While those two points in time are critical, as the definition of a couple determines whose income is assessed when an application is made the current wording omits any reference to the timing of reviews under section 17. If a couple separates after the time they were awarded a subsidy and the applicant then seeks a review of the income, it is the applicant's current status as a lone parent that should matter and not his or her status at the time the application was made, namely, when they were still a couple. By deleting any reference to points in time the proposed amendment ensures that the definition will apply at all relevant times.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	18	I welcome this proposal. It makes sense because entitlement to various schemes is based on previous income and if a couple separates one of them ends up having to argue his or her case in that regard. I welcome the common sense approach being applied to this legislation.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	19	I move amendment No. 4:In page 7, line 9, to delete "2018" and substitute "2019".Section 2 provides for the establishment of the affordable childcare scheme and for the scheme to be funded out of moneys provided by the Oireachtas. As payments under the scheme will not be made in 2018, it is proposed to amend this section to provide that the payments will be made in the first year in which the Oireachtas shall make moneys available to the Minister for the purpose of paying subsidies under the scheme.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	20	Forgive my ignorance on this one if I have missed something in the discourse or in the Minister's Second Stage speech but who does the Minister anticipate will be the body to administer the scheme?
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	21	It will be Pobal.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	22	Okay. I thank the Minister for that.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	23	I wish to give notice that I may submit an amendment to this section on Report Stage.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	24	Amendments Nos. 5 and 9 are related and may be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	25	I move amendment No. 5:In page 8, line 23, to delete “in writing”.This amendment relates to section 6, which concerns the outsourcing arrangements for the scheme administrator. Amendment No. 9 relates to section 8, which limits participation in the scheme to approved child care service providers that have signed a scheme contract with the Minister for Children and Youth Affairs. While references to communications throughout the Bill refer to communications in writing or by electronic means, the references to contracts in sections 6 and 8 refer only to agreements in writing. They do not, therefore, allow for the possibility of contracts that are solely held in electronic form and signed by means of a certified digital signature. To allow for this possibility and to ensure consistency in the approach throughout the Bill, amendments Nos. 5 and 9 delete the words "in writing" and, as a result, a contract would be described simply as an agreement.  At a practical level, I would note that current contracts in place between my Department and child care providers are solely in electronic form. Therefore, this is an important point in terms of administrative efficiency for both child care providers and the State.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	26	On the wider section, I wish to give notice that I may submit an amendment on Report Stage.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	27	I move amendment No. 6:In page 8, line 28, to delete “the”.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	28	I move amendment No. 7:In page 9, line 11, after “parent” to insert “or guardian”. In light of the number of children who are cared for outside of the home, whether in foster care or other family situations, the insertion of the word "guardian" is prudent. 
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	29	I can confirm that the definition of parent in section 1 of the Bill states that for the purposes of this scheme, parent includes "a person acting in loco parentis". As a guardian is acting in
loco parentis, any reference in the Bill to parent must be understood, therefore, to include a guardian. As the proposed amendment is already provided for in the Bill, I will not be accepting it.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	30	As the Minister has clearly outlined that this is already provided for in section 1 of the Bill, I am happy to withdraw my amendment.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	31	Amendments Nos. 8 and 26 are related and will be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	32	I move amendment No. 8:In page 9, line 30, after “section 14” to insert “in respect of that child”.Amendments Nos. 8 and 26 both aim to ensure that the referral of a child by a sponsorship body named in Schedule 2 will not create an obstacle to other relevant applications for financial support under the scheme.Amendment No. 8 provides for amendment to section 7(1)(f) to ensure that, where only one child in a family benefits from a referral by a sponsorship body under section 14, parents may still apply for financial supports under the scheme for other children in the family in the normal way. The wording in the published Bill does not allow for this possibility as it implies that applicants may not apply for financial support if they are benefitting from free child care under section 14 in respect of any child. The amendment therefore proposes to address what is effectively an unintended consequence. Amendment No. 26 relates to section 15(2)(d), the purpose of which is to stipulate that section 14 referrals for child care are an alternative route to support under the scheme. There is no need for subsidised child care in cases where a referral for free child care has already been made. Amendment No. 26 is needed to ensure that, in cases where one parent benefits from free child care as a result of a referral under section 14, the other parent of the child can still apply for financial support under the scheme in the normal way, particularly if the parents are separated and each has care of the child at different times of the week. In other words, while one parent to whom the section 14 referral applies cannot apply for financial support in the normal way, the other parent can apply for financial support on his or her own behalf in the normal way. The amendment therefore proposes to address any unintended negative consequence that could arise for the second parent in this example as a result of a referral arrangement being in place.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	33	I move amendment No. 9:In page 10, line 3, to delete “in writing”.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	34	I move amendment No. 10:In page 10, line 20, to delete “section.” and substitute the following:“section,(i) the inclusion of Tusla-registered non-centre-based childminding services.”The amendment speaks for itself. We have had much discussion in the committee about childminders and including them in this new scheme. It would be good if they were mentioned in the legislation. This amendment proposes to delete the word "section" and substitute “section, (i) the inclusion of Tusla-registered non-centre-based childminding services.” Given that we are trying to encourage childminders into the scheme, it would be good to include specific reference to them in the Bill.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	35	Before the Minister responds, I would like to ask whether this provision would have cost implications for the administration of the scheme.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	36	It is already covered because Tusla-registered childminders can apply for the scheme.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	37	It is a policy objective.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	38	For the purposes of the amendment to the Bill, the answer is "No".
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	39	I thank the Deputies and the Chair.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	40	I thank Deputies Funchion and Mitchell. I certainly agree with their intentions and sentiment but the aim of the proposed amendment is effectively already provided for in the Bill and as a result, I am not accepting the amendment. Let me explain. The definition of “childcare services provider” in section 1 is a "provider of a pre-school service or a school age service whose name is entered in the register of prescribed early years services established and maintained in accordance with section 58C of the Child Care Act 1991". Every childminder registered with Tusla is named on the register established under section 58C of the 1991 Act and is therefore already included within the definition of "childcare services provider" for the purposes of this Bill. Every childminder registered with Tusla who signs a contract with the Minister for Children and Youth Affairs under section 8 of this Bill would therefore be an approved child care services provider for the purposes of the scheme. While I am pleased to assure the Deputies that the Bill will allow all registered childminders to take part in the affordable child care scheme - which is what I am indicating - I am also conscious that very few childminders are currently registered with Tusla.The Deputy is aware than in 2016 I established a working group to examine future options for the regulation and development of childminding. The working group, which was chaired by Childminding Ireland, submitted its report to me on 15 January. I subsequently met representatives of the working group. Following that very positive meeting, my Department is currently considering the report with a view to developing an action plan setting out short-, medium- and long-term actions. 
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	41	I do not see the difficulty with including this if we are trying to encourage childminders to come on board. When I read the Bill it was not clear to me that it included childminders. Including the measure will not increase costs. We will call a vote on the amendment.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	42	For the purpose of illustration, I refer the Deputy to line 25 of the Bill, which the Minister has kindly read into the record.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	43	I have heard that.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	44	That is fine. Is the amendment agreed?
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	45	What is the question?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	46	We are voting on Deputy Funchion's amendment, which is amendment No. 10. The Minister has inferred it is already in the Bill on page 1, line 25.
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	47	The Minister has inferred that it is in the Bill.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	48	It is in the Bill. We are voting on amendment No. 10, from the Sinn Féin members.
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	49	Is it the same thing?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	50	The Minister said it is already contained in the Bill in section 1.
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	51	I am very confused.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	52	It does not state-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	53	The interpretation-----
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	54	I am extremely confused.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	55	It depends on how one interprets it.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	56	I accept the point.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	57	The vote has been called, as I understand it.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	58	I will provide the information to which Deputy Neville is entitled.
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	59	For clarity.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	60	Yes.
#TomNeville	unknown-#TomNeville-party	unknown-#TomNeville-dob	unknown-#TomNeville-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	61	I refer to the interpretation of what it is in the Bill. We are voting on Deputy Funchion's amendment.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	62	Yes.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	63	Amendments Nos. 11 and 32 have been grouped and will be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	64	I move amendment No. 11:In page 11, to delete lines 1 and 2 and substitute the following:“(f) specify the class in which the child is enrolled at school or whether he or she is enrolled in a pre-school programme funded by the Minister or the Minister for Education and Skills,”.Amendments Nos. 11 and 32 relate to the way in which the Bill refers to the ECCE preschool programme. Amendment No. 11 relates to section 9, which sets out the information which must be included in an application for financial support. Section 9(f) requires information on the child's stage in the education system as it is necessary to determine how the hours of child care support will wrap around the hours of school or the ECCE preschool programme. This amendment changes the language from the class the child attends at school and whether he or she participates in preschool to the class in which the child is enrolled at school and whether he or she is enrolled in preschool. The change ensures consistency with language to be used elsewhere in the Bill through the proposed amendments to section 13 and provides clarity that it is a child's enrolment in a class which matters, rather than a child's attendance as attendance may vary, for example, as a result of illness. The amendment also adds a reference to preschool programmes funded by the Minister for Education and Skills as some children take part in the Early Start programme that is funded by the Minister for Education and Skills, rather than the early childhood care and education, ECCE, preschool programme.  Amendment No. 32 relates to the wording of Schedule 2 on HSE referrals, which is intended to allow for section 14 referrals for children who need child care on developmental grounds, who are too young to benefit from free provision either through the ECCE preschool programme or the Early Start programme and who would otherwise not attend a child care service. This amendment is consequential to the amendments to section 13, which seek, effectively, to future-proof the legislation for possible future changes to ECCE rules as a result of which parents could be given flexibility to choose when to take up the ECCE entitlement. To provide this flexibility, instead of referring to the qualifying age for participation in the ECCE, the amendment refers to whether a child is enrolled in a preschool programme, either the ECCE preschool programme or the Early Start programme. The upper age limit of four years for HSE referrals reflects the two-year entitlement to the ECCE preschool programme and the compulsory school starting age of six years old.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	65	Amendment Nos. 12 to 14, inclusive, and amendment No. 30 are related and will be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	66	I move amendment No. 12:In page 11, line 4, after "employer" to insert "or education".Amendments Nos. 12 and 13 relate to information that is to be provided by applicants in the application form, while amendments Nos. 14 and 30 relate to the verification of the identity of applicants. Amendments Nos. 12 and 13 are minor technical drafting amendments. They amend section 9, which specifies the process by which parents may make applications for financial support under the scheme and the details they must provide. One such detail is the name and address of the parent's employer or education and training provider, as appropriate. However, the word "education", which is included in the reference to an employer or education and training provider in section 10, is accidentally omitted in similar references in section 9. These amendments simply rectify that omission.  Unfortunately, following submission of the list of amendments for Committee Stage, a third such omission was identified in the phrase "employer or training provider" in section 9(4)(c). I hope to correct that by proposing a similar minor technical amendment on Report Stage. Moving to amendments Nos. 14 and 30, they both relate to the verification of identity and allow for the inclusion or reference to children alongside existing references to the applicant and his or her partner. The Bill already allows for the possibility of checks to confirm that an application does not involve fraud or misrepresentation and such checks may involve checks on the identity of the applicant and the applicant's partner. These two amendments would allow the possibility that such checks may include the identity of children who have been named in the application.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	67	I move amendment No. 13:In page 11, line 7, after "employer" to insert "or education".
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	68	I move amendment No. 14:In page 11, line 24, after "identity" to insert "or as to the identity of any children named in the application for financial support".
