#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	0	I welcome members and viewers who may be watching the proceedings on Oireachtas TV. On 19 December 2018 the Dáil ordered that the Revised Estimate for Vote 40 - Children and Youth Affairs be referred to the select committee for consideration. After its consideration of the Revised Estimate, the committee will report back to the Dáil. I welcome the Minister for Children and Youth Affairs, Deputy Zappone, and her officials. I thank her for coming before the committee. The proposed format is that the committee deal with the Vote on a programme by programme basis. The Minister will give an overview of the Revised Estimate, outlining pressures likely to impact on her Department's expenditure in 2019. The floor will then be opened to members of the committee to ask questions. I ask them to put their specific questions by programme in order to make progress in an orderly and efficient manner. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the House or an official, either by name or in such a way as to make him or her identifiable.  I remind all attendees to switch off their mobile phones and move them away from microphones as they will interfere with the quality of the recording and broadcast of the proceedings. Members received a briefing document on the Revised Estimate in advance of the meeting. I invite the Minister to make her opening statement.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	1	I am pleased to discuss my Department’s Revised Estimate for 2019 which provides for a taxpayers’ investment of €1.5 billion, which represents an increase of just under €107 million, or 8%, on the allocation for 2018, following the Supplementary Estimate in December. As a result, my Department will spend €1.478 billion in current expenditure and €32 million in capital expenditure during 2019. Approximately half of the Vote is targeted towards public services that protect children and provide for their welfare. Another significant portion is provided to continue our journey to build an accessible, affordable and high quality early learning and care system. In addition to these areas, my Department’s Revised Estimate for 2019 contains a provision of almost €63.6 million for youth services. These resources will fund youth services throughout the country, including services for those at risk of disadvantage, and help to address some of the remaining challenges faced by LGBTI+ young people. The allocation for youth services represents an increase in funding of €3.4 million, or just under 6%, on the allocation for 2018. Other key items of expenditure include €26 million to meet the costs of the Irish Youth Justice Service, including the operational costs of the Oberstown Children Detention Campus; €19 million to meet the operational costs of my Department; €9.5 million for prevention and early intervention programmes which now include the area-based childhood programme and the prevention, partnership and family support programme; €7 million for the intervention programme for children and young people; €5 million for the Adoption Authority of Ireland; €4 million for the Commission of Investigation into Mother and Baby Homes; and just under €3 million for the Office of the Ombudsman for Children. The prevention and early intervention programmes are now fully funded by my Department following the completion of the welcome contributions made by Atlantic Philanthropies in previous years. The select committee will be aware that the single biggest item of expenditure in my Department’s Vote is the budget of Tusla, the Child and Family Agency. I am pleased to confirm that Tusla will receive additional funding of €31 million in 2019, which will bring its overall allocation to €785 million, which represents an increase of 4% on the allocation for 2018. When Tusla was transferred out of the HSE in 2014 to become a statutory agency in its own right, its budget allocation was €609 million. In the five years since its establishment funding has been increased by 29% to its 2019 level of €785 million. In addition, I am making a further €3 million available to it from my Department during 2019 to fund specific developments in the provision of support for family resource centres and to deal with domestic, sexual and gender-based violence. This level of investment underlines my commitment to ensuring Tusla is properly resourced to meet its mission statement in protecting and supporting the most vulnerable children, young people and families. With this level of investment, there is a strong onus on it to deliver on its ambitious business plan for 2019. I will work closely with the new chairperson of Tusla, the interim CEO and his management team to achieve the outcomes we all want to see from this year’s investment.  On early learning and care services, the international evidence is clear that investment in children during their early years results in long-term gains for them, their families, the economy and society in general. I am particularly proud of the increased resources being made available in 2019 for childcare services which we now call early learning and care services. I am on record as acknowledging that the radical transformation we want to see in the sector cannot be achieved in one, two or even three budgets. I have always said it will take time to correct decades of under-investment. As members of the committee will recall, I received additional funding in 2018 for childcare services by way of a Supplementary Estimate which brought funding levels to more than €500 million for the first time. The additional €59 million to be provided in 2019 brings funding for early learning and care services to just under €575 million. Children, parents and providers are all set to benefit.  The increased resources will allow me to continue to meet the growing demand for universal and targeted supports and enable me to widen the thresholds under the new affordable childcare scheme that I will introduce later this year. Under the scheme’s original policy proposals, income-based subsidies would have been available to all families with a net annual income of up to €47,500. This threshold will now increase by 26% to cover all families with a net annual income of up to €60,000. The scheme’s lower income thresholds have also been adjusted, meaning that maximum subsidy rates will be paid to all families with a net annual income of up to €26,000, whereas the previous proposed threshold stood at €22,700. The increased thresholds will mean that thousands of more families will benefit from the scheme once it is launched at the end of the year and see the cost of early leaning and care services tangibly reduce, resulting in a real impact.  I am planning the phased regulation of school-age childcare services and have set side an additional €450,000 for the Tusla early years inspectorate to enable it to begin to register services with effect from 18 February. This will enable school-age childcare services to access the affordable childcare scheme, help to support children’s safety and well-being and assist in the provision of new school-age childcare places, thus improving parental choice and supporting female labour market activation. Our investment in early learning and care services will help to lay the ground for the exciting opportunities presented by the recently published First 5, A Whole-of-Government Strategy for Babies, Young Children and their Families. 
First 5 will provide every child with a good, strong and equal start and represents a whole-of-government approach, with the objective of streamlining and improving parenting supports provided by a range of Departments and State agencies. I am pursuing some important legislation as a matter of priority. I recently announced my intention to table some important amendments to the Adoption (Information and Tracing) Bill 2016 which was passed on Second Stage in the Seanad some time ago. We are also finalising the text of a Bill to amend the Children Act 2001 that will form the basis for major reform of the guardian ad litem system. I know that the select committee shares my ambition to have these important Bills enacted as soon as possible.  The significant increase in resources in my Department’s Vote for 2019 brings great opportunities for the targeted development and improvement of services. I will work closely with Tusla, the early learning and care sector, my Department and all stakeholders across the wide range of services provided to achieve the best possible outcomes and value for money we can achieve. We have made good progress in recent years and I am determined to press ahead with the agenda I have set out.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	2	I thank the Minister for her opening statement. It is positive when any departmental budget increases year on year is positive. I am sure members will have a number of questions about the various expenditure streams. I propose that we proceed in the way I outlined by approaching each programme separately. We will start with programme A - children and family support programmes.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	3	I hope the Chairman will forgive me if my question does not relate directly to the subhead. The additional increase of 4%, giving a total net increase of 8%, is welcome. My question relates to the sanctioning by Tusla of privately provided services for families such as occupational or speech and language therapy. My understanding is Tusla has put in place a new central procurement process for the provision of these services and that it is managed in Dublin. Will the Minister clarify whether the timeline in the provision of these services and being paid for them is short? I have heard of one case and I am trying to determine whether it is systematic where services have been provided for a family but Tusla is returning to court to seek a determination on whether the services should continue. Not only are there legal costs involved, there is also a delay in making payments for the supply of services such as occupational and speech and language therapy. There is the issue of whether the tendering and procurement process has become overly centralised, leading to people and families living in the regions - I refer to Cork in this instance - being affected by a new structure that has resulted in services not being provided for children. On the subhead, the issue concerns the cost of procurement and the provision of services, the delay in paying the service providers and the fact that Tusla is seeking a court direction on a case by case basis on the continuity of services such as occupational and speech and language therapy. Is the case to which I refer systematic? What are the consequences for service provision for individual children?I seek an insight from the Minister in respect of the legal costs that accrue to Tusla for family services and the family support programme, whether services are being provided in a timely fashion, whether payment to those providing the services is processed efficiently, whether the added legal layer is eating into the Department's overall budget and the necessity of seeking court direction in certain cases as that aspect is confusing to me. I seek an insight from the Minister and an understanding of the process.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	4	The issues raised by the Deputy fall under subhead A.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	5	I thank the Deputy. There are at least two layers to his question and he should correct me if I am not being accurate. The first layer regards the question of the costs and the process associated with Tusla possibly challenging certain services being delivered to individual families and going to court in that regard. Is that what the Deputy is asking?
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	6	I must be very careful about the language I use. If I refer to seeking court direction, whether one interprets that as challenging------
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	7	The Deputy is referring to a court determining whether a family ought to be provided with certain services.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	8	I am referring to a court determining the continuity of those services. A child may have access to certain services but Tusla may intervene and decide to seek a direction from a court in that regard. Such court hearings would involve solicitors' fees having to be paid by both sides. I am seeking to determine whether Tusla is going to court on a case-by-case basis to determine the continuity of services such as the occupational therapy and speech and language therapy interventions I mentioned. If it is, that poses a massive question. I am giving voice to a family of which I am aware. I seek clarity as to whether that is happening in the case of one family or on a systematic basis. I realise the Minister may not be able to provide the answer today but it is something that needs to be clarified.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	9	On the first layer of the Deputy's question, in some cases the courts require sight of involvement in decisions of that nature. If it is acceptable to the Deputy, I will make inquiries with Tusla on the matters he has raised, particularly in regard to timelines and in terms of individual families.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	10	Why would-----
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	11	Is the Deputy referring to a specific case involving a specific family?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	12	For clarity, are we discussing a service denial?
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	13	I am raising a potential delaying tactic in the provision of a service for a child. I am trying to couch my language but perhaps I ought to be more direct.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	14	I understand.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	15	I am trying to give the Minister every opportunity to clarify the situation. Allow me to be blunt. If a service is sanctioned for a child but the professional with the requisite skills to provide the service is not paid for that in a timely manner because he or she is a private provider, that is a serious issue for the service in general. If Tusla is now seeking court directions, I question the efficacy of its doing so in respect of interventions for individual families because that places a massive onus on the taxpayer in terms of the legal costs inherent in that process. It is particularly questionable if it has already been determined from professional advice that the child should benefit from very specific services. There is something wrong here and we need to lift the lid on it and get more transparency. The other issue I raised regards the reason for Tusla centralising all procurement services.
